,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Lucas Pérez,7.0,es  ESP,FW,32-156,80,0,0,0,0,4,0,0,0,42,21,1,0,0,0.3,0.3,0.0,0,0,21,31,67.7,4,21,3,1,1
1,Borja Sainz,29.0,es  ESP,FW,20-012,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,1,0,0
2,Joselu,9.0,es  ESP,FW,30-323,80,0,0,0,0,0,0,0,0,37,18,1,1,0,0.0,0.0,0.1,1,0,17,30,56.7,3,14,1,1,1
3,Deyverson,14.0,br  BRA,FW,29-281,10,0,0,0,0,0,0,0,0,6,3,0,0,2,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0
4,Iñigo Córdoba,17.0,es  ESP,LM,23-337,45,0,0,0,0,0,0,0,0,26,21,2,3,3,0.0,0.0,0.0,1,0,7,16,43.8,2,16,5,3,3
5,Luis Rioja,11.0,es  ESP,LM,27-120,45,1,0,0,0,1,1,0,0,18,11,1,1,2,0.2,0.2,0.0,1,1,7,13,53.8,1,16,6,2,3
6,Tomás Pina Isla,8.0,es  ESP,CM,33-122,71,0,0,0,0,0,0,0,0,22,21,4,3,2,0.0,0.0,0.0,0,0,10,13,76.9,2,12,0,1,1
7,Pere Pons,20.0,es  ESP,CM,27-359,19,0,0,0,0,0,0,0,0,13,7,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,1,10,1,0,0
8,Rodrigo Battaglia,6.0,ar  ARG,CM,29-216,90,0,0,0,0,1,1,0,0,36,30,3,1,1,0.1,0.1,0.0,0,0,32,34,94.1,0,23,0,0,0
9,Édgar Méndez,16.0,es  ESP,RM,31-042,90,0,0,0,0,0,0,0,0,22,14,0,1,1,0.0,0.0,0.2,2,0,11,17,64.7,1,15,3,0,0
10,Rubén Duarte,3.0,es  ESP,LB,25-118,90,0,0,0,0,0,0,0,0,49,17,2,1,3,0.0,0.0,0.0,2,0,30,39,76.9,3,25,1,1,1
11,Florian Lejeune,22.0,fr  FRA,CB,29-269,90,0,0,0,0,0,0,0,0,39,11,3,2,2,0.0,0.0,0.0,0,0,21,28,75.0,1,16,0,0,0
12,Tachi,2.0,es  ESP,"CB,RB",23-156,90,0,0,0,0,0,0,1,0,34,13,0,1,2,0.0,0.0,0.0,0,0,23,27,85.2,3,17,1,0,0
13,Martin Agirregabiria,21.0,es  ESP,RB,24-279,45,0,0,0,0,0,0,1,0,14,4,0,4,1,0.0,0.0,0.0,0,0,7,12,58.3,1,10,0,1,1
14,Víctor Laguardia,5.0,es  ESP,"CB,RB",31-100,45,0,0,0,0,0,0,0,0,20,5,1,0,2,0.0,0.0,0.0,0,0,12,16,75.0,0,10,1,0,0
15,Fernando Pacheco,1.0,es  ESP,GK,28-271,90,0,0,0,0,0,0,0,0,31,1,1,0,0,0.0,0.0,0.0,0,0,24,27,88.9,0,6,0,0,0
16,16 Players,,,,,990,1,0,0,0,6,2,2,0,412,200,19,18,21,0.6,0.6,0.3,7,1,236,321,73.5,22,216,23,10,11
