,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,46,3,20,19,11,0,39,0,0,,0,0,25,136,93,3,2,0,1,0,21,20,95.2,1
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,1163,999,1160,4,2,0,978,4,4,100.0,4,0,751,3850,2335,0,1,0,0,0,655,655,100.0,0
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,1205,57,249,522,525,45,1054,27,36,75.0,27,0,795,5416,2864,145,45,12,25,19,849,738,86.9,90
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,731,17,44,322,409,122,709,23,35,65.7,27,2,475,1916,843,51,20,11,43,28,1077,561,52.1,211
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,1058,86,383,472,252,6,896,18,29,62.1,21,1,580,2747,1516,66,16,5,17,14,520,480,92.3,23
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,76,2,8,42,33,11,75,3,4,75.0,3,1,52,150,61,3,2,0,5,2,96,56,58.3,23
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,788,28,207,417,219,11,682,17,24,70.8,17,0,546,2864,1413,56,18,2,15,14,492,461,93.7,32
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,50,0,2,24,29,2,45,0,2,0.0,0,0,39,176,79,6,3,0,0,2,47,37,78.7,6
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,16,5,11,5,0,0,16,0,0,,0,0,7,38,14,0,0,0,0,0,4,4,100.0,0
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,2585,97,680,1120,937,113,2374,17,27,63.0,19,3,1861,7513,3752,144,56,12,32,9,1981,1810,91.4,152
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,19.4,918,130,610,299,30,23,896,1,1,100.0,1,0,542,2111,861,9,0,0,2,0,532,513,96.4,19
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,7.8,309,5,34,151,142,35,301,5,9,55.6,5,1,211,890,333,16,10,3,16,6,329,224,68.1,49
