,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,38,31,7,0,0,1,0,2,0,0,0,0,20,10,8,20,10,1,7,0,29,0,1,1,2
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,1035,848,187,57,0,157,26,0,0,0,0,0,512,35,488,755,161,3,0,96,714,1,32,5,3
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,1006,861,145,7,0,195,39,99,4,0,0,0,528,149,329,118,656,81,134,1,695,2,34,24,40
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,509,490,19,1,0,135,5,16,1,0,0,0,295,110,104,54,307,81,4,16,329,2,13,10,27
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,873,709,164,3,1,170,11,35,0,0,0,0,441,196,236,47,578,76,161,5,598,0,36,31,54
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,56,55,1,0,0,14,0,0,0,0,0,0,34,9,13,9,38,5,0,0,36,1,3,1,2
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,668,559,109,8,0,96,7,16,0,0,0,0,399,81,188,61,476,23,101,3,489,3,18,11,14
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,41,36,5,2,0,6,2,2,3,0,0,0,32,0,9,30,10,1,0,0,32,0,1,0,1
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,11,11,0,0,0,2,0,0,0,0,0,0,4,6,1,1,7,3,0,0,6,0,2,1,0
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,2323,2105,218,23,1,387,22,75,1,0,0,0,1797,284,242,1763,298,57,194,5,1985,8,20,43,79
