,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.19,0.19,0.00,0.19
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30,30,2700,30.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01
2,Aday,es  ESP,"DF,MF",Girona,29,1987,31,20,1840,20.4,2,0,1,1,2,10,0,0.10,0.00,0.10,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.06,0.14
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,33,21,2155,23.9,9,3,6,3,5,5,0,0.38,0.13,0.50,0.25,0.38,10.6,7.1,1.1,8.1,0.44,0.04,0.49,0.30,0.34
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,21,20,1827,20.3,0,4,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.0,0.0,1.2,1.2,0.00,0.06,0.06,0.00,0.06
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,11,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.47,0.03,0.50,0.47,0.50
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,15,14,1152,12.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.0,0.04,0.04,0.08,0.04,0.08
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,3,0,41,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.23,0.00,0.23,0.23,0.23
8,David Alba,es  ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,33,30,2741,30.5,2,6,2,0,0,7,0,0.07,0.20,0.26,0.07,0.26,1.9,1.9,4.1,6.0,0.06,0.13,0.20,0.06,0.20
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,20,19,1747,19.4,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.4,0.07,0.00,0.07,0.07,0.07
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,17,8,698,7.8,4,2,4,0,0,0,0,0.52,0.26,0.77,0.52,0.77,3.0,3.0,2.3,5.3,0.39,0.30,0.69,0.39,0.69
12,Pedro Alcalá,es  ESP,DF,Girona,28,1989,8,8,688,7.6,1,0,1,0,0,4,0,0.13,0.00,0.13,0.13,0.13,0.8,0.8,0.2,1.0,0.10,0.03,0.13,0.10,0.13
13,Steve Aldo One,cm  CMR,DF,La Coruña,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
14,Álex Alegría,es  ESP,FW,Levante,24,1992,9,8,625,6.9,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,0.9,0.9,0.2,1.1,0.13,0.03,0.15,0.13,0.15
15,Iván Alejo,es  ESP,"FW,MF",Eibar,22,1995,22,14,1127,12.5,1,3,1,0,0,5,0,0.08,0.24,0.32,0.08,0.32,0.5,0.5,1.5,2.0,0.04,0.12,0.16,0.04,0.16
16,Alexander,ar  ARG,"FW,MF",Leganés,28,1988,13,13,1056,11.7,2,2,1,1,1,1,0,0.17,0.17,0.34,0.09,0.26,2.7,2.0,2.3,4.3,0.23,0.19,0.42,0.17,0.36
17,Alexis,es  ESP,DF,Alavés,31,1985,28,25,2183,24.3,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.1,1.0,0.04,0.00,0.04,0.04,0.04
18,José Alonso Lara,es  ESP,FW,Sevilla,17,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
19,Sergio Álvarez,es  ESP,GK,Celta Vigo,30,1986,17,16,1479,16.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01
20,Yeray Álvarez,es  ESP,DF,Athletic Club,22,1995,8,7,675,7.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01
21,Eloi Amagat,es  ESP,"FW,MF",Girona,32,1985,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.74,0.00,1.74,1.74,1.74
22,Jordi Amat,es  ESP,"DF,MF",Betis,25,1992,25,24,2047,22.7,0,0,0,0,0,7,3,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.7,0.03,0.00,0.03,0.03,0.03
23,Amath,sn  SEN,"MF,FW",Getafe,21,1996,37,36,2835,31.5,3,0,3,0,0,9,0,0.10,0.00,0.10,0.10,0.10,5.2,5.2,2.0,7.3,0.16,0.06,0.23,0.16,0.23
24,Nordin Amrabat,ma  MAR,"FW,MF",Leganés,30,1987,30,17,1622,18.0,2,1,2,0,0,6,2,0.11,0.06,0.17,0.11,0.17,3.2,3.2,3.1,6.3,0.18,0.17,0.35,0.18,0.35
25,Jon Ander Serantes,es  ESP,GK,Leganés,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
26,Florin Andone,ro  ROU,FW,La Coruña,24,1993,29,16,1636,18.2,7,3,7,0,0,6,0,0.39,0.17,0.55,0.39,0.55,9.2,9.2,1.0,10.3,0.51,0.06,0.57,0.51,0.57
27,Miguel Ángel Guerrero,es  ESP,FW,Leganés,27,1990,22,15,1445,16.1,4,3,4,0,1,3,0,0.25,0.19,0.44,0.25,0.44,5.0,4.2,1.7,5.9,0.31,0.11,0.42,0.26,0.37
28,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,33,1984,9,9,763,8.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
29,Miguel Ángel Rubio,es  ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
