,Player,Nation,Pos,Squad,Age,Born,90s,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,3,1,1,2,0,1,1,100.0,0,9,4,44.4,7,2,0,2,0,0,2,1,4,2,0
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,0,0,0,0,0,0,2,0.0,2,1,1,100.0,1,0,0,1,0,0,1,0,0,2,1
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,15,6,11,2,2,6,20,30.0,14,271,64,23.6,108,103,60,39,5,1,34,21,36,23,2
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,10,8,2,5,3,2,7,28.6,5,348,95,27.3,20,152,176,12,1,0,11,0,10,17,0
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,35,19,22,11,2,12,34,35.3,22,209,63,30.1,125,70,14,33,6,0,27,27,62,36,0
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,0,0,0,0,0,0,3,0.0,3,42,12,28.6,3,20,19,1,0,0,1,0,0,2,0
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,24,15,13,10,1,10,28,35.7,18,173,45,26.0,75,67,31,28,1,0,27,18,42,13,0
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,1,1,0,1,0,0,0,,0,10,1,10.0,2,4,4,2,0,0,2,0,1,0,0
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,1,1,1,0,0,1,1,100.0,0,1,0,0.0,1,0,0,0,0,0,0,0,1,4,0
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,42,30,22,15,5,15,40,37.5,25,483,142,29.4,210,195,78,71,6,0,65,52,94,29,0
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,19.4,16,12,13,3,0,6,16,37.5,10,120,21,17.5,94,21,5,24,17,0,7,13,29,64,0
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,7.8,3,3,1,2,0,0,6,0.0,6,118,34,28.8,11,49,58,10,1,0,9,8,11,2,0
12,Pedro Alcalá,es  ESP,DF,Girona,28,1989,7.6,9,5,6,3,0,3,6,50.0,3,32,10,31.3,21,10,1,10,5,0,5,4,13,22,1
13,Steve Aldo One,cm  CMR,DF,La Coruña,22,1995,1.0,1,0,0,1,0,1,1,100.0,0,6,1,16.7,3,3,0,0,0,0,0,1,2,6,0
14,Álex Alegría,es  ESP,FW,Levante,24,1992,6.9,5,2,1,1,3,1,2,50.0,1,193,32,16.6,10,112,71,5,0,0,5,6,11,7,0
15,Iván Alejo,es  ESP,"FW,MF",Eibar,22,1995,12.5,14,13,4,5,5,0,10,0.0,10,265,85,32.1,43,118,104,13,0,0,13,7,21,0,0
16,Alexander,ar  ARG,"FW,MF",Leganés,28,1988,11.7,14,12,4,10,0,3,8,37.5,5,199,52,26.1,41,103,55,24,1,0,23,13,27,1,0
17,Alexis,es  ESP,DF,Alavés,31,1985,24.3,29,17,21,7,1,18,43,41.9,25,168,41,24.4,115,44,9,46,15,0,31,23,52,72,4
18,José Alonso Lara,es  ESP,FW,Sevilla,17,2000,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,0,0,0
19,Sergio Álvarez,es  ESP,GK,Celta Vigo,30,1986,16.4,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,1,0,0,1,0,0,1,1
20,Yeray Álvarez,es  ESP,DF,Athletic Club,22,1995,7.5,9,4,6,3,0,2,6,33.3,4,41,18,43.9,19,22,0,7,2,0,5,8,17,12,0
21,Eloi Amagat,es  ESP,"FW,MF",Girona,32,1985,0.2,0,0,0,0,0,0,1,0.0,1,5,3,60.0,1,3,1,0,0,0,0,0,0,0,0
22,Jordi Amat,es  ESP,"DF,MF",Betis,25,1992,22.7,29,16,16,12,1,6,19,31.6,13,192,56,29.2,110,75,7,25,3,0,22,23,52,63,2
23,Amath,sn  SEN,"MF,FW",Getafe,21,1996,31.5,66,43,28,30,8,16,76,21.1,60,830,198,23.9,227,406,197,55,4,0,51,23,89,7,0
24,Nordin Amrabat,ma  MAR,"FW,MF",Leganés,30,1987,18.0,14,8,6,7,1,3,20,15.0,17,326,88,27.0,49,134,143,17,0,0,17,5,19,0,0
25,Jon Ander Serantes,es  ESP,GK,Leganés,27,1989,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
26,Florin Andone,ro  ROU,FW,La Coruña,24,1993,18.2,12,9,5,6,1,1,12,8.3,11,379,71,18.7,34,155,190,11,3,0,8,3,15,8,0
27,Miguel Ángel Guerrero,es  ESP,FW,Leganés,27,1990,16.1,7,3,0,1,6,3,9,33.3,6,399,95,23.8,15,202,182,16,1,0,15,5,12,14,0
28,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,33,1984,8.5,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
29,Miguel Ángel Rubio,es  ESP,DF,Getafe,19,1998,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
