,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,3,3.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,4,0.13,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,51,2.51,39,2,2,3,5,0,3,0.15,3,0,0,0,0,0
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,32,1.34,18,1,3,4,5,1,2,0.08,2,0,0,0,0,0
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,21,1.03,16,4,1,0,0,0,4,0.20,4,0,0,0,0,0
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,3,1.21,1,0,0,1,1,0,2,0.81,0,0,0,1,1,0
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,18,1.40,16,0,0,1,1,0,1,0.08,0,0,0,1,0,0
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,3,7.94,3,0,0,0,0,0,1,2.65,1,0,0,0,0,0
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,57,1.87,53,0,0,2,1,1,12,0.39,10,0,0,2,0,0
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,19.4,7,0.36,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,7.8,17,2.21,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0
12,Pedro Alcalá,es  ESP,DF,Girona,28,1989,7.6,4,0.52,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
13,Steve Aldo One,cm  CMR,DF,La Coruña,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Álex Alegría,es  ESP,FW,Levante,24,1992,6.9,10,1.42,6,0,0,0,4,0,2,0.28,1,0,0,0,1,0
15,Iván Alejo,es  ESP,"FW,MF",Eibar,22,1995,12.5,29,2.36,23,0,2,0,4,0,3,0.24,3,0,0,0,0,0
16,Alexander,ar  ARG,"FW,MF",Leganés,28,1988,11.7,27,2.28,20,1,1,2,3,0,3,0.25,2,0,0,0,1,0
17,Alexis,es  ESP,DF,Alavés,31,1985,24.3,13,0.54,11,1,0,1,0,0,1,0.04,1,0,0,0,0,0
18,José Alonso Lara,es  ESP,FW,Sevilla,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Sergio Álvarez,es  ESP,GK,Celta Vigo,30,1986,16.4,2,0.12,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Yeray Álvarez,es  ESP,DF,Athletic Club,22,1995,7.5,9,1.20,7,1,0,0,1,0,1,0.13,1,0,0,0,0,0
21,Eloi Amagat,es  ESP,"FW,MF",Girona,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
22,Jordi Amat,es  ESP,"DF,MF",Betis,25,1992,22.7,17,0.75,15,0,1,1,0,0,1,0.04,1,0,0,0,0,0
23,Amath,sn  SEN,"MF,FW",Getafe,21,1996,31.5,55,1.72,34,0,9,3,8,1,4,0.12,2,0,1,1,0,0
24,Nordin Amrabat,ma  MAR,"FW,MF",Leganés,30,1987,18.0,52,2.89,34,1,9,3,5,0,8,0.44,5,1,2,0,0,0
25,Jon Ander Serantes,es  ESP,GK,Leganés,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
26,Florin Andone,ro  ROU,FW,La Coruña,24,1993,18.2,22,1.21,15,0,0,5,2,0,5,0.28,3,0,0,1,1,0
27,Miguel Ángel Guerrero,es  ESP,FW,Leganés,27,1990,16.1,26,1.63,19,0,2,4,1,0,6,0.38,3,0,0,2,1,0
28,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,33,1984,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
29,Miguel Ángel Rubio,es  ESP,DF,Getafe,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,José Ángel,es  ESP,DF,Eibar,27,1989,26.9,64,2.37,32,22,4,2,2,2,11,0.41,5,4,1,1,0,0
31,Vitorino Antunes,pt  POR,DF,Getafe,30,1987,31.1,52,1.67,27,20,2,1,0,2,3,0.10,2,1,0,0,0,0
32,Alberto Aquilani,it  ITA,MF,Las Palmas,33,1984,14.4,21,1.46,20,0,0,0,1,0,0,0.00,0,0,0,0,0,0
33,Mauro Arambarri,uy  URU,MF,Getafe,21,1995,23.6,17,0.72,11,0,0,2,2,2,2,0.08,1,0,0,1,0,0
34,Guilherme Arana,br  BRA,DF,Sevilla,20,1997,2.1,2,0.94,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
35,Sergio Araujo,ar  ARG,"FW,MF",Las Palmas,25,1992,0.4,2,4.86,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
36,Anaitz Arbilla,es  ESP,DF,Eibar,30,1987,26.8,32,1.19,24,3,1,2,0,2,5,0.19,4,0,0,1,0,0
37,José Arnaiz,es  ESP,MF,Barcelona,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
38,Alejandro Arribas,es  ESP,DF,La Coruña,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
39,Sergio Arribas,es  ESP,FW,Leganés,22,1995,0.3,,,,,,,,,,,,,,,,
40,Kepa Arrizabalaga,es  ESP,GK,Athletic Club,22,1994,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
41,Aythami Artiles,es  ESP,DF,Las Palmas,31,1986,2.1,1,0.49,1,0,0,0,0,0,1,0.49,1,0,0,0,0,0
42,Sergio Asenjo,es  ESP,GK,Villarreal,28,1989,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
43,Marco Asensio,es  ESP,"FW,MF",Real Madrid,21,1996,20.5,100,4.89,80,9,4,4,3,0,13,0.64,13,0,0,0,0,0
44,Iago Aspas,es  ESP,FW,Celta Vigo,29,1987,32.6,114,3.49,89,5,12,3,4,1,15,0.46,11,0,4,0,0,0
45,Carlos Bacca,co  COL,FW,Villarreal,30,1986,27.5,72,2.58,47,0,19,3,3,0,15,0.54,8,0,7,0,0,0
46,Cédric Bakambu,cd  COD,FW,Villarreal,26,1991,14.0,23,1.63,15,0,2,3,2,1,0,0.00,0,0,0,0,0,0
47,Zakaria Bakkali,be  BEL,"FW,MF",La Coruña,21,1996,10.2,27,2.68,19,1,4,1,2,0,2,0.20,0,1,0,1,0,0
48,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,28,1989,19.9,68,3.39,57,0,4,4,3,0,9,0.45,5,0,1,1,2,0
49,Mikel Balenziaga,es  ESP,DF,Athletic Club,29,1988,17.2,13,0.75,12,0,0,0,1,0,2,0.12,2,0,0,0,0,0
50,Éver Banega,ar  ARG,MF,Sevilla,29,1988,26.7,133,5.00,88,31,5,1,4,4,5,0.19,1,4,0,0,0,0
51,Léo Baptistão,br  BRA,"FW,MF",Espanyol,24,1992,29.7,61,2.04,39,1,7,5,4,5,9,0.30,6,1,1,0,0,1
52,Mariano Barbosa,ar  ARG,GK,Villarreal,33,1984,12.5,1,0.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
53,Enis Bardhi,mk  MKD,MF,Levante,22,1995,17.6,52,2.96,34,12,1,1,3,1,7,0.40,7,0,0,0,0,0
54,Antonio Barragán,es  ESP,"DF,MF",Betis,30,1987,26.3,46,1.74,40,1,2,1,1,1,13,0.49,12,0,1,0,0,0
55,Barri,es  ESP,"MF,FW",Getafe,21,1995,1.3,1,0.80,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
56,Marc Bartra,es  ESP,DF,Betis,26,1991,15.8,14,0.89,9,0,2,0,1,2,1,0.06,1,0,0,0,0,0
57,Borja Bastón,es  ESP,FW,Málaga,24,1992,11.0,18,1.66,9,0,1,5,3,0,3,0.28,1,0,0,1,1,0
58,Jon Bautista,es  ESP,"FW,MF",Real Sociedad,22,1995,2.1,2,1.05,1,0,0,1,0,0,1,0.53,0,0,0,1,0,0
59,Paul Baysse,fr  FRA,DF,Málaga,29,1988,13.8,2,0.15,1,0,0,1,0,0,1,0.07,0,0,0,1,0,0
60,Claudio Beauvue,GPE,FW,Leganés,29,1988,18.6,32,1.72,19,0,5,3,5,0,2,0.11,0,0,2,0,0,0
61,Bebé,pt  POR,"MF,FW",Eibar,27,1990,4.1,11,2.73,5,4,1,0,1,0,0,0.00,0,0,0,0,0,0
62,Wissam Ben Yedder,fr  FRA,FW,Sevilla,26,1990,18.9,56,2.97,43,0,6,3,3,1,9,0.48,7,0,1,1,0,0
63,Karim Benzema,fr  FRA,FW,Real Madrid,29,1987,23.9,91,3.80,77,0,8,5,1,0,23,0.96,17,0,2,3,1,0
64,Markel Bergara,es  ESP,MF,Getafe,31,1986,16.2,9,0.55,5,1,0,3,0,0,3,0.18,2,0,0,1,0,0
65,Pedro Bigas,es  ESP,DF,Las Palmas,26,1990,9.9,9,0.90,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
