,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,FK_Standard,PK_Performance,PKatt_Performance,xG_Expected,npxG_Expected,npxG/Sh_Expected,G-xG_Expected,np:G-xG_Expected
348,Jeison Murillo,co  COL,DF,Valencia,25,1992,15.3,0,2,0,0.0,0.13,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
349,Fahad Al-Muwallad,sa  KSA,"FW,MF",Levante,20,1996,0.3,0,,0,,,0.00,,,,,0,0,,,,,
350,Alfred N'Diaye,sn  SEN,"DF,MF",Villarreal,27,1990,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
351,Nacho,es  ESP,DF,Real Madrid,27,1990,23.1,3,12,4,33.3,0.52,0.17,0.25,0.75,11.1,0,0,0,1.7,1.7,0.14,+1.3,+1.3
352,Matías Nahuel,es  ESP,"FW,MF",Betis,20,1996,2.8,0,2,1,50.0,0.71,0.36,0.00,0.00,19.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
353,Naldo,br  BRA,DF,Espanyol,28,1988,10.2,0,1,0,0.0,0.10,0.00,0.00,,7.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1
354,Nano,es  ESP,FW,Levante,22,1995,3.1,0,6,2,33.3,1.91,0.64,0.00,0.00,15.4,0,0,0,1.0,1.0,0.16,-1.0,-1.0
355,Naranjo,es  ESP,"FW,MF",Leganés,23,1994,6.3,1,9,3,33.3,1.43,0.48,0.11,0.33,22.1,3,0,0,0.9,0.9,0.10,+0.1,+0.1
356,Juanjo Narváez,co  COL,MF,Betis,22,1995,3.4,0,3,0,0.0,0.89,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
357,Fernando Navarro,es  ESP,DF,La Coruña,35,1982,11.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
358,Marc Navarro,es  ESP,DF,Espanyol,22,1995,12.3,1,21,5,23.8,1.70,0.41,0.05,0.20,22.3,3,0,0,1.0,1.0,0.05,0.0,0.0
359,Rafa Navarro,es  ESP,DF,Betis,23,1994,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,22.0,0,0,0,0.0,0.0,0.03,0.0,0.0
360,Ximo Navarro,es  ESP,DF,Las Palmas,27,1990,29.0,0,3,1,33.3,0.10,0.03,0.00,0.00,26.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
361,Jesús Navas,es  ESP,"FW,DF",Sevilla,31,1985,19.6,1,20,6,30.0,1.02,0.31,0.05,0.17,19.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4
362,Keylor Navas,cr  CRC,GK,Real Madrid,30,1986,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
363,Raúl Navas,es  ESP,DF,Real Sociedad,29,1988,19.9,0,12,2,16.7,0.60,0.10,0.00,0.00,16.0,0,0,0,0.7,0.7,0.06,-0.7,-0.7
364,Merveille Ndockyt,cg  CGO,MF,Getafe,19,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
