,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Aly Abeid,mr  MTN,DF,Levante,19,1997,0.8,29,38,76.3,521,188,15,16,93.8,10,11,90.9,4,9,44.4,0,0.2,-0.2,2,0,2,1,2
1,Antonio Adán,es  ESP,GK,Betis,30,1987,30.0,714,1035,69.0,21475,13429,86,86,100.0,371,380,97.6,256,566,45.2,0,0.4,-0.4,2,12,1,0,0
2,Aday,es  ESP,"DF,MF",Girona,29,1987,20.4,695,1006,69.1,13470,4438,276,344,80.2,322,431,74.7,94,205,45.9,0,1.8,-1.8,23,41,29,19,66
3,Aritz Aduriz,es  ESP,FW,Athletic Club,36,1981,23.9,329,509,64.6,4876,1115,204,289,70.6,101,160,63.1,18,38,47.4,3,1.1,+1.9,11,36,10,0,32
4,Martin Agirregabiria,es  ESP,DF,Alavés,21,1996,20.3,598,873,68.5,10555,5335,283,359,78.8,249,344,72.4,62,134,46.3,4,1.2,+2.8,11,49,11,7,66
5,Imanol Agirretxe,es  ESP,FW,Real Sociedad,30,1987,2.6,36,56,64.3,542,95,18,26,69.2,16,24,66.7,1,3,33.3,0,0.1,-0.1,1,1,0,0,3
6,Matías Aguirregaray,uy  URU,DF,Las Palmas,28,1989,12.8,489,668,73.2,8715,3823,228,258,88.4,203,276,73.6,54,120,45.0,0,0.6,-0.6,7,39,18,5,54
7,Ager Aketxe,es  ESP,MF,Athletic Club,23,1993,0.5,32,41,78.0,490,90,21,22,95.5,8,9,88.9,3,9,33.3,0,0.0,0.0,0,5,0,0,2
8,David Alba,es  ESP,DF,Getafe,18,1999,0.7,6,11,54.5,171,97,0,3,0.0,3,5,60.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2
9,Jordi Alba,es  ESP,DF,Barcelona,28,1989,30.5,1985,2323,85.4,31666,10815,1041,1132,92.0,805,934,86.2,113,183,61.7,6,4.1,+1.9,38,106,40,10,160
10,Raúl Albentosa,es  ESP,DF,La Coruña,28,1988,19.4,600,782,76.7,14853,5216,109,138,79.0,318,373,85.3,171,260,65.8,0,0.1,-0.1,3,34,3,0,33
11,Paco Alcácer,es  ESP,"FW,MF",Barcelona,23,1993,7.8,193,236,81.8,2770,580,111,128,86.7,65,80,81.3,10,16,62.5,2,2.3,-0.3,10,4,9,2,16
12,Pedro Alcalá,es  ESP,DF,Girona,28,1989,7.6,208,307,67.8,5175,1606,42,57,73.7,111,135,82.2,54,112,48.2,0,0.2,-0.2,1,23,1,0,16
13,Steve Aldo One,cm  CMR,DF,La Coruña,22,1995,1.0,18,22,81.8,385,193,5,6,83.3,9,11,81.8,4,5,80.0,0,0.0,0.0,0,0,0,0,0
14,Álex Alegría,es  ESP,FW,Levante,24,1992,6.9,110,154,71.4,1338,171,77,100,77.0,26,39,66.7,1,6,16.7,1,0.2,+0.8,3,6,2,0,4
15,Iván Alejo,es  ESP,"FW,MF",Eibar,22,1995,12.5,188,354,53.1,3253,1085,94,152,61.8,71,119,59.7,19,63,30.2,3,1.5,+1.5,19,13,26,16,21
16,Alexander,ar  ARG,"FW,MF",Leganés,28,1988,11.7,220,326,67.5,3153,992,135,171,78.9,65,95,68.4,11,39,28.2,2,2.3,-0.3,13,11,11,7,19
17,Alexis,es  ESP,DF,Alavés,31,1985,24.3,523,731,71.5,11153,5251,179,204,87.7,239,336,71.1,102,182,56.0,0,0.1,-0.1,3,28,4,0,33
18,José Alonso Lara,es  ESP,FW,Sevilla,17,2000,0.1,3,4,75.0,45,11,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
19,Sergio Álvarez,es  ESP,GK,Celta Vigo,30,1986,16.4,342,518,66.0,10945,7218,37,39,94.9,188,192,97.9,115,285,40.4,0,0.1,-0.1,1,5,0,0,0
20,Yeray Álvarez,es  ESP,DF,Athletic Club,22,1995,7.5,359,437,82.2,8368,2911,82,98,83.7,185,209,88.5,89,125,71.2,0,0.0,0.0,1,37,1,0,30
21,Eloi Amagat,es  ESP,"FW,MF",Girona,32,1985,0.2,7,8,87.5,137,61,3,3,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
22,Jordi Amat,es  ESP,"DF,MF",Betis,25,1992,22.7,1404,1572,89.3,29632,7563,378,417,90.6,813,871,93.3,210,265,79.2,0,0.1,-0.1,5,81,3,0,70
23,Amath,sn  SEN,"MF,FW",Getafe,21,1996,31.5,402,617,65.2,6528,2067,207,290,71.4,148,209,70.8,37,78,47.4,0,2.0,-2.0,22,41,19,5,61
24,Nordin Amrabat,ma  MAR,"FW,MF",Leganés,30,1987,18.0,308,485,63.5,4915,1128,170,225,75.6,113,176,64.2,21,61,34.4,1,3.1,-2.1,21,19,21,8,34
25,Jon Ander Serantes,es  ESP,GK,Leganés,27,1989,1.0,8,27,29.6,393,338,1,1,100.0,1,1,100.0,6,25,24.0,0,0.0,0.0,0,1,0,0,0
26,Florin Andone,ro  ROU,FW,La Coruña,24,1993,18.2,182,295,61.7,2491,297,112,153,73.2,64,99,64.6,1,18,5.6,3,1.0,+2.0,9,6,7,3,9
27,Miguel Ángel Guerrero,es  ESP,FW,Leganés,27,1990,16.1,274,356,77.0,3920,540,166,203,81.8,91,124,73.4,12,16,75.0,3,1.7,+1.3,14,12,4,0,11
28,Miguel Ángel Moyá,es  ESP,GK,Real Sociedad,33,1984,8.5,204,272,75.0,7021,3967,11,12,91.7,94,95,98.9,98,164,59.8,0,0.0,0.0,0,3,0,0,0
29,Miguel Ángel Rubio,es  ESP,DF,Getafe,19,1998,0.3,3,7,42.9,40,39,2,3,66.7,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1
30,José Ángel,es  ESP,DF,Eibar,27,1989,26.9,987,1634,60.4,23043,10392,280,387,72.4,452,627,72.1,246,572,43.0,7,3.3,+3.7,45,104,38,25,118
31,Vitorino Antunes,pt  POR,DF,Getafe,30,1987,31.1,832,1328,62.7,16638,9040,330,397,83.1,348,501,69.5,141,391,36.1,2,1.9,+0.1,25,88,37,14,106
32,Alberto Aquilani,it  ITA,MF,Las Palmas,33,1984,14.4,826,992,83.3,16796,3967,337,390,86.4,332,378,87.8,149,208,71.6,0,0.7,-0.7,10,78,8,0,64
33,Mauro Arambarri,uy  URU,MF,Getafe,21,1995,23.6,452,658,68.7,10622,2530,127,178,71.3,201,265,75.8,119,200,59.5,2,1.1,+0.9,7,57,4,1,50
34,Guilherme Arana,br  BRA,DF,Sevilla,20,1997,2.1,107,130,82.3,1712,625,50,54,92.6,49,57,86.0,5,13,38.5,0,0.1,-0.1,1,3,1,1,2
35,Sergio Araujo,ar  ARG,"FW,MF",Las Palmas,25,1992,0.4,20,22,90.9,334,62,7,7,100.0,12,12,100.0,1,2,50.0,0,0.0,0.0,0,3,0,0,3
36,Anaitz Arbilla,es  ESP,DF,Eibar,30,1987,26.8,1234,1583,78.0,31812,10975,283,337,84.0,557,655,85.0,380,558,68.1,1,0.5,+0.5,10,145,9,2,143
37,José Arnaiz,es  ESP,MF,Barcelona,22,1995,0.1,3,4,75.0,54,0,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0
