,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-07,14:00,Premier League,Matchweek 1,Sun,Away,W,2,1,Manchester Utd,1.5,1.4,38.0,73711.0,Lewis Dunk,3-3-3-1,Paul Tierney,Match Report,
1,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,D,0,0,Newcastle Utd,1.5,0.2,54.0,31552.0,Lewis Dunk,3-4-1-2,Graham Scott,Match Report,
2,2022-08-21,14:00,Premier League,Matchweek 3,Sun,Away,W,2,0,West Ham,1.7,0.8,50.0,62449.0,Lewis Dunk,3-5-1-1,Anthony Taylor,Match Report,
3,2022-08-24,19:45,EFL Cup,Second round,Wed,Away,W,3,0,FG Rovers,,,53.0,3812.0,Jason Steele,3-4-3,Tim Robinson,Match Report,
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,1,0,Leeds United,2.0,1.8,44.0,30953.0,Lewis Dunk,4-4-2,Michael Salisbury,Match Report,
5,2022-08-30,19:30,Premier League,Matchweek 5,Tue,Away,L,1,2,Fulham,1.4,0.7,61.0,22224.0,Lewis Dunk,3-5-2,Thomas Bramall,Match Report,
6,2022-09-04,14:00,Premier League,Matchweek 6,Sun,Home,W,5,2,Leicester City,2.6,1.4,53.0,31185.0,Lewis Dunk,3-5-2,Tony Harrington,Match Report,
7,2022-09-10,15:00,Premier League,Matchweek 7,Sat,Away,,,,Bournemouth,,,,,,,,,Match Postponed
8,2022-09-17,15:00,Premier League,Matchweek 8,Sat,Home,,,,Crystal Palace,,,,,,,,,Match Postponed
9,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Away,D,3,3,Liverpool,1.4,1.5,46.0,53320.0,Lewis Dunk,3-4-3,Andy Madley,Match Report,
10,2022-10-08,17:30,Premier League,Matchweek 10,Sat,Home,L,0,1,Tottenham,0.7,0.8,59.0,31498.0,Lewis Dunk,3-4-3,Tony Harrington,Match Report,
11,2022-10-14,20:00,Premier League,Matchweek 11,Fri,Away,L,0,2,Brentford,1.9,1.5,72.0,17016.0,Lewis Dunk,4-4-2,Michael Salisbury,Match Report,
12,2022-10-18,19:30,Premier League,Matchweek 12,Tue,Home,D,0,0,Nott'ham Forest,1.7,0.1,70.0,31463.0,Lewis Dunk,3-4-3,Darren England,Match Report,
13,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Away,L,1,3,Manchester City,0.5,1.6,52.0,53223.0,Lewis Dunk,3-4-1-2,Craig Pawson,Match Report,
14,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,W,4,1,Chelsea,2.4,1.4,41.0,31746.0,Lewis Dunk,4-2-3-1,Andy Madley,Match Report,
15,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Away,W,3,2,Wolves,1.5,1.2,71.0,30732.0,Lewis Dunk,4-2-3-1,Graham Scott,Match Report,
16,2022-11-09,19:45,EFL Cup,Third round,Wed,Away,W,3,1,Arsenal,,,43.0,59233.0,Lewis Dunk,4-4-2,Jarred Gillett,Match Report,
17,2022-11-13,14:00,Premier League,Matchweek 16,Sun,Home,L,1,2,Aston Villa,0.6,1.5,65.0,31581.0,Lewis Dunk,4-2-3-1,Chris Kavanagh,Match Report,
18,2022-12-21,19:45,EFL Cup,Fourth round,Wed,Away,D,0  (3),0  (4),Charlton Ath,,,77.0,17464.0,Lewis Dunk,4-2-3-1,Thomas Bramall,Match Report,Charlton Ath won on penalty kicks following normal time
19,2022-12-26,15:00,Premier League,Matchweek 17,Mon,Away,W,3,1,Southampton,0.6,1.9,66.0,31010.0,Lewis Dunk,4-2-3-1,Robert Jones,Match Report,
20,2022-12-31,17:30,Premier League,Matchweek 18,Sat,Home,L,2,4,Arsenal,1.2,2.9,68.0,31647.0,Lewis Dunk,4-2-3-1,Anthony Taylor,Match Report,
21,2023-01-03,19:45,Premier League,Matchweek 19,Tue,Away,W,4,1,Everton,2.2,1.3,51.0,39103.0,Lewis Dunk,4-2-3-1,Andre Marriner,Match Report,
22,2023-01-07,15:00,FA Cup,Third round proper,Sat,Away,W,5,1,Middlesbrough,,,68.0,21982.0,Pascal Groß,4-2-3-1,Simon Hooper,Match Report,
23,2023-01-14,15:00,Premier League,Matchweek 20,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
24,2023-01-21,15:00,Premier League,Matchweek 21,Sat,Away,,,,Leicester City,,,,,,,,Head-to-Head,
25,2023-02-04,15:00,Premier League,Matchweek 22,Sat,Home,,,,Bournemouth,,,,,,,,Head-to-Head,
26,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Away,,,,Crystal Palace,,,,,,,,Head-to-Head,
27,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Home,,,,Fulham,,,,,,,,Head-to-Head,
28,2023-02-25,12:30,Premier League,Matchweek 25,Sat,Away,,,,Newcastle Utd,,,,,,,,Head-to-Head,
29,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Home,,,,West Ham,,,,,,,,Head-to-Head,
