,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Rafa Mir,9.0,es  ESP,"FW,RW",23-199,90,7,12,58.3,107,22,3,4,75.0,3,4,75.0,0,1,0.0,0,0.0,0,0,0,0,1
1,Javier Ontiveros,15.0,es  ESP,LW,23-116,90,41,45,91.1,726,225,23,24,95.8,10,11,90.9,7,8,87.5,0,0.0,0,5,2,0,4
2,Sergio Gómez,10.0,es  ESP,RW,20-121,71,11,19,57.9,220,148,4,7,57.1,4,6,66.7,3,6,50.0,0,0.0,0,1,1,0,2
3,Shinji Okazaki,12.0,jp  JPN,"FW,RW",34-262,19,1,1,100.0,26,0,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
4,Jaime Seoane,20.0,es  ESP,CM,23-347,71,13,21,61.9,239,27,5,8,62.5,5,8,62.5,2,2,100.0,0,0.0,0,0,0,0,0
5,David Ferreiro,7.0,es  ESP,"RB,CM",32-277,19,5,8,62.5,102,21,2,2,100.0,3,4,75.0,0,2,0.0,0,0.0,0,1,0,0,1
6,Pedro Mosquera,5.0,es  ESP,CM,32-257,90,43,49,87.8,992,307,15,16,93.8,19,22,86.4,9,10,90.0,0,0.0,0,7,0,0,3
7,Mikel Rico,17.0,es  ESP,DM,36-060,64,19,21,90.5,369,80,7,8,87.5,7,7,100.0,5,6,83.3,0,0.0,0,1,0,0,3
8,Idrissa Doumbia,2.0,ci  CIV,DM,22-264,26,10,11,90.9,181,21,3,3,100.0,7,7,100.0,0,1,0.0,0,0.0,1,0,0,0,0
9,Javi Galán,11.0,es  ESP,LB,26-045,90,48,59,81.4,811,526,26,30,86.7,16,17,94.1,5,10,50.0,0,0.0,1,1,1,0,6
10,Dimitris Siovas,18.0,gr  GRE,CB,32-109,90,35,41,85.4,721,326,5,5,100.0,25,27,92.6,3,7,42.9,0,0.0,0,2,0,0,1
11,Pablo Insua,4.0,es  ESP,CB,27-116,90,20,22,90.9,422,110,6,7,85.7,10,11,90.9,4,4,100.0,0,0.0,0,0,0,0,0
12,Jorge Pulido,14.0,es  ESP,RB,29-270,71,20,23,87.0,317,165,9,9,100.0,9,9,100.0,1,3,33.3,0,0.0,0,0,0,0,0
13,Juan Carlos,21.0,es  ESP,"CM,RB",29-294,19,4,5,80.0,56,11,3,4,75.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,1
14,Álvaro Fernández,1.0,es  ESP,GK,22-265,90,30,38,78.9,804,280,4,4,100.0,15,16,93.8,11,18,61.1,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,307,375,81.9,6093,2269,115,131,87.8,135,151,89.4,50,78,64.1,0,0.0,2,18,4,0,22
