,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Martin Braithwaite,9.0,dk  DEN,FW,29-212,80,12,0,0,4,9,3,11,0,0,,0,0,7,30,2,1,0,1,2,0,16,9,56.3,4
1,Antoine Griezmann,7.0,fr  FRA,FW,29-288,10,3,0,0,2,1,0,3,1,1,100.0,1,0,3,7,0,0,0,0,0,1,4,2,50.0,1
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-233,90,98,1,4,17,84,11,94,4,7,57.1,4,0,82,463,233,15,3,4,1,0,103,88,85.4,12
3,Lionel Messi,10.0,ar  ARG,RW,33-193,90,106,0,1,35,76,7,104,6,7,85.7,6,0,93,417,188,15,4,0,0,5,110,99,90.0,12
4,Pedri,16.0,es  ESP,CM,18-039,90,91,1,6,30,59,10,89,2,2,100.0,2,0,62,206,114,6,3,1,3,1,89,74,83.1,13
5,Frenkie de Jong,21.0,nl  NED,"CM,DM",23-236,90,81,2,15,48,27,4,81,1,2,50.0,1,0,59,412,250,7,5,0,0,1,71,64,90.1,6
6,Sergio Busquets,5.0,es  ESP,DM,32-171,74,114,1,15,76,28,0,112,0,0,,0,0,86,322,190,9,2,0,1,1,98,96,98.0,2
7,Miralem Pjanić,8.0,ba  BIH,"CM,DM",30-276,16,16,0,4,4,8,0,16,0,0,,0,0,6,31,7,1,0,0,0,0,13,12,92.3,1
8,Jordi Alba,18.0,es  ESP,LB,31-288,90,140,2,27,55,67,4,130,0,0,,0,0,99,460,293,8,2,2,0,0,120,113,94.2,3
9,Clément Lenglet,15.0,fr  FRA,CB,25-200,90,106,7,24,80,11,0,104,0,0,,0,0,84,476,301,17,5,0,0,0,93,93,100.0,0
10,Ronald Araújo,4.0,uy  URU,CB,21-302,90,69,10,22,47,4,0,68,0,0,,0,0,52,263,145,6,2,0,0,0,46,46,100.0,0
11,Sergiño Dest,2.0,us  USA,RB,20-061,74,50,1,4,19,31,5,48,1,2,50.0,1,0,42,200,119,9,3,1,1,2,46,43,93.5,5
12,Óscar Mingueza,28.0,es  ESP,RB,21-235,16,11,0,3,0,8,1,7,0,0,,0,0,5,13,3,0,0,0,0,0,8,6,75.0,1
13,Marc-André ter Stegen,1.0,de  GER,GK,28-248,90,28,24,27,1,0,0,24,0,0,,0,0,16,60,25,0,0,0,0,0,14,14,100.0,0
14,14 Players,,,,,990,925,49,152,418,413,45,891,15,21,71.4,15,0,696,3360,1870,94,29,9,8,11,831,759,91.3,60
