,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Martin Braithwaite,9.0,dk  DEN,FW,29-212,80,9,8,1,0,0,5,0,0,0,0,0,0,6,2,1,1,7,0,0,0,5,0,0,0,1
1,Antoine Griezmann,7.0,fr  FRA,FW,29-288,10,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-233,90,84,79,5,1,0,17,3,4,3,0,0,0,65,11,8,37,45,0,1,1,78,0,2,1,1
3,Lionel Messi,10.0,ar  ARG,RW,33-193,90,90,88,2,1,1,18,0,2,1,0,0,1,71,10,9,82,6,1,0,1,73,1,2,2,2
4,Pedri,16.0,es  ESP,CM,18-039,90,77,75,2,0,0,16,1,1,2,0,0,0,60,11,6,11,66,0,0,0,62,2,0,4,2
5,Frenkie de Jong,21.0,nl  NED,"CM,DM",23-236,90,72,72,0,0,0,7,0,0,0,0,0,0,62,7,3,2,66,2,0,1,68,0,0,1,2
6,Sergio Busquets,5.0,es  ESP,DM,32-171,74,105,103,2,2,0,9,2,0,0,0,0,0,85,8,12,14,88,1,0,0,101,0,0,1,0
7,Miralem Pjanić,8.0,ba  BIH,"CM,DM",30-276,16,14,14,0,0,0,1,0,0,0,0,0,0,12,0,2,2,11,1,0,0,12,0,0,0,1
8,Jordi Alba,18.0,es  ESP,LB,31-288,90,136,126,10,0,0,8,3,4,0,0,0,0,110,14,12,107,19,0,10,0,125,0,1,1,3
9,Clément Lenglet,15.0,fr  FRA,CB,25-200,90,106,104,2,2,0,5,2,1,0,0,0,0,93,5,8,83,18,3,0,0,102,0,0,1,0
10,Ronald Araújo,4.0,uy  URU,CB,21-302,90,64,61,3,3,0,6,3,0,0,0,0,0,51,6,7,1,58,1,0,1,60,0,1,0,0
11,Sergiño Dest,2.0,us  USA,RB,20-061,74,44,42,2,0,0,5,0,1,0,0,0,0,37,6,1,11,30,1,2,0,41,0,1,0,1
12,Óscar Mingueza,28.0,es  ESP,RB,21-235,16,10,6,4,1,0,1,0,1,0,0,0,0,5,3,2,0,7,0,3,0,6,0,0,1,1
13,Marc-André ter Stegen,1.0,de  GER,GK,28-248,90,27,23,4,1,0,2,0,0,0,0,0,0,18,0,9,0,20,0,0,7,25,0,0,0,0
14,14 Players,,,,,990,840,803,37,11,1,100,15,14,6,0,0,1,676,83,81,352,441,10,16,12,759,3,7,12,14
