,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Martin Braithwaite,9.0,dk  DEN,FW,29-212,80,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
1,Antoine Griezmann,7.0,fr  FRA,FW,29-288,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2,Ousmane Dembélé,11.0,fr  FRA,LW,23-233,90,0,0,0,2,4,0,4,0,0,0,0,0,4,0,0,
3,Lionel Messi,10.0,ar  ARG,RW,33-193,90,0,0,0,0,3,1,2,0,0,0,0,0,4,0,0,
4,Pedri,16.0,es  ESP,CM,18-039,90,0,0,0,1,2,0,1,0,1,0,0,0,7,0,1,0.0
5,Frenkie de Jong,21.0,nl  NED,"CM,DM",23-236,90,0,0,0,2,1,0,0,1,4,0,0,0,9,1,0,100.0
6,Sergio Busquets,5.0,es  ESP,DM,32-171,74,0,0,0,2,1,0,0,1,1,0,0,0,9,2,0,100.0
7,Miralem Pjanić,8.0,ba  BIH,"CM,DM",30-276,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
8,Jordi Alba,18.0,es  ESP,LB,31-288,90,0,0,0,0,0,2,4,1,1,0,0,0,13,0,0,
9,Clément Lenglet,15.0,fr  FRA,CB,25-200,90,0,0,0,2,1,0,1,0,0,0,0,0,11,2,1,66.7
10,Ronald Araújo,4.0,uy  URU,CB,21-302,90,0,0,0,0,2,0,0,1,2,0,0,0,14,4,0,100.0
11,Sergiño Dest,2.0,us  USA,RB,20-061,74,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,
12,Óscar Mingueza,28.0,es  ESP,RB,21-235,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
13,Marc-André ter Stegen,1.0,de  GER,GK,28-248,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
14,14 Players,,,,,990,0,0,0,11,14,3,14,4,9,0,0,0,82,10,2,83.3
