,Huesca (4-3-3),Huesca (4-3-3).1
0,1,Álvaro Fernández
1,4,Pablo Insua
2,5,Pedro Mosquera
3,9,Rafa Mir
4,10,Sergio Gómez
5,11,Javi Galán
6,14,Jorge Pulido
7,15,Javier Ontiveros
8,17,Mikel Rico
9,18,Dimitris Siovas
10,20,Jaime Seoane
11,Bench,Bench
12,25,Andrés Fernández
13,2,Idrissa Doumbia
14,7,David Ferreiro
15,8,Eugeni Valderrama
16,12,Shinji Okazaki
17,16,Luisinho
18,19,Pedro López Muñoz
19,21,Juan Carlos
20,23,Dani Escriche
21,26,Kelechi Nwakali
