,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Luuk de Jong,9.0,nl  NED,FW,30-038,83,24,31,77.4,329,35,17,20,85.0,6,9,66.7,1,1,100.0,0,0.0,0,1,0,0,1
1,Carlos Fernández,24.0,es  ESP,FW,24-135,7,4,6,66.7,40,13,2,3,66.7,1,2,50.0,0,0,,0,0.0,0,0,0,0,0
2,Suso,7.0,es  ESP,"LW,RW",26-320,60,35,41,85.4,652,165,16,17,94.1,17,19,89.5,2,4,50.0,0,0.2,2,5,1,1,2
3,Munir El Haddadi,11.0,es  ESP,RW,25-033,30,8,12,66.7,147,36,4,5,80.0,3,3,100.0,1,3,33.3,0,0.1,1,1,0,0,1
4,Lucas Ocampos,5.0,ar  ARG,"RW,LW",26-085,60,11,15,73.3,158,43,5,7,71.4,2,3,66.7,1,1,100.0,0,0.0,0,2,0,0,1
5,Youssef En-Nesyri,15.0,ma  MAR,LW,23-125,30,7,9,77.8,138,25,3,4,75.0,1,2,50.0,2,2,100.0,0,0.0,0,0,0,0,0
6,Joan Jordán,8.0,es  ESP,CM,26-090,84,65,70,92.9,1192,227,30,31,96.8,26,28,92.9,8,9,88.9,0,0.1,1,5,0,0,4
7,Óliver Torres,21.0,es  ESP,CM,25-329,6,4,6,66.7,75,49,3,4,75.0,0,0,,1,2,50.0,0,0.0,0,0,0,0,0
8,Ivan Rakitić,10.0,hr  CRO,CM,32-208,77,25,30,83.3,437,59,11,13,84.6,12,13,92.3,2,3,66.7,0,0.0,0,1,0,0,1
9,Nemanja Gudelj,6.0,rs  SRB,CM,28-323,13,12,12,100.0,241,18,4,4,100.0,6,6,100.0,2,2,100.0,0,0.0,1,0,0,0,0
10,Fernando,25.0,br  BRA,DM,33-071,90,45,48,93.8,790,169,18,18,100.0,24,25,96.0,3,5,60.0,0,0.0,0,1,0,0,1
11,Marcos Acuña,19.0,ar  ARG,LB,28-342,90,45,51,88.2,916,436,11,12,91.7,28,30,93.3,5,8,62.5,0,0.0,0,5,1,0,4
12,Diego Carlos,20.0,br  BRA,CB,27-203,90,57,66,86.4,1405,444,8,8,100.0,37,39,94.9,11,18,61.1,0,0.0,0,1,0,0,2
13,Jules Koundé,12.0,fr  FRA,CB,21-327,90,77,82,93.9,1355,431,25,26,96.2,46,46,100.0,4,8,50.0,0,0.0,0,1,0,0,4
14,Jesús Navas,16.0,es  ESP,RB,34-318,90,48,67,71.6,895,196,18,22,81.8,25,30,83.3,5,11,45.5,0,0.2,2,4,1,1,2
15,Yassine Bounou,13.0,ma  MAR,GK,29-182,90,26,29,89.7,598,272,9,9,100.0,12,12,100.0,5,8,62.5,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,493,575,85.7,9368,2618,184,203,90.6,246,267,92.1,53,85,62.4,0,0.5,7,27,3,2,23
