,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,FW,33-102,90,58,70,82.9,872,218,34,36,94.4,20,23,87.0,3,8,37.5,0,0.3,2,7,0,0,5
1,Ansu Fati,22.0,es  ESP,LW,17-339,60,25,30,83.3,300,70,19,23,82.6,6,6,100.0,0,0,,0,0.3,1,0,1,0,1
2,Pedri,16.0,es  ESP,LW,17-314,30,8,11,72.7,116,19,3,6,50.0,5,5,100.0,0,0,,0,0.0,0,0,0,0,0
3,Antoine Griezmann,7.0,fr  FRA,RW,29-197,60,16,16,100.0,197,62,11,11,100.0,3,3,100.0,0,0,,0,0.0,0,2,1,0,2
4,Francisco Trincão,17.0,pt  POR,RW,20-280,30,14,17,82.4,181,38,8,9,88.9,3,4,75.0,1,1,100.0,0,0.0,0,1,0,0,2
5,Philippe Coutinho,14.0,br  BRA,AM,28-114,74,36,43,83.7,593,120,19,21,90.5,15,16,93.8,2,4,50.0,0,0.0,0,5,1,1,5
6,Miralem Pjanić,8.0,ba  BIH,AM,30-185,16,15,18,83.3,249,56,6,6,100.0,8,9,88.9,1,1,100.0,0,0.0,0,0,0,0,0
7,Frenkie de Jong,21.0,nl  NED,CM,23-145,90,46,56,82.1,796,224,21,27,77.8,20,23,87.0,4,4,100.0,0,0.0,0,6,0,0,5
8,Sergio Busquets,5.0,es  ESP,CM,32-080,90,73,80,91.3,1321,367,34,36,94.4,31,32,96.9,6,7,85.7,0,0.5,4,6,1,0,5
9,Jordi Alba,18.0,es  ESP,LB,31-197,74,45,53,84.9,774,290,20,22,90.9,22,26,84.6,3,5,60.0,0,0.0,0,4,1,0,5
10,Sergiño Dest,2.0,us  USA,LB,19-336,16,13,14,92.9,201,92,9,9,100.0,3,3,100.0,1,2,50.0,0,0.0,1,1,0,0,0
11,Gerard Piqué,3.0,es  ESP,CB,33-245,90,69,74,93.2,1261,368,31,34,91.2,30,30,100.0,8,10,80.0,0,0.0,0,4,0,0,2
12,Ronald Araújo,30.0,uy  URU,CB,21-211,90,59,65,90.8,1292,387,19,20,95.0,29,29,100.0,11,15,73.3,0,0.0,0,5,0,0,0
13,Sergi Roberto,20.0,es  ESP,RB,28-240,90,75,87,86.2,1201,486,38,40,95.0,29,34,85.3,6,8,75.0,0,0.0,0,3,0,0,6
14,Neto,13.0,br  BRA,GK,31-077,90,42,47,89.4,844,368,12,12,100.0,18,18,100.0,10,15,66.7,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,594,681,87.2,10198,3165,284,312,91.0,242,261,92.7,56,80,70.0,0,1.2,8,44,5,1,38
