,Sevilla (4-3-3),Sevilla (4-3-3).1
0,13,Yassine Bounou
1,5,Lucas Ocampos
2,7,Suso
3,8,Joan Jordán
4,9,Luuk de Jong
5,10,Ivan Rakitić
6,12,Jules Koundé
7,16,Jesús Navas
8,19,Marcos Acuña
9,20,Diego Carlos
10,25,Fernando
11,Bench,Bench
12,1,Tomáš Vaclík
13,31,Javier Díaz
14,3,Sergi Gómez
15,6,Nemanja Gudelj
16,11,Munir El Haddadi
17,14,Óscar Rodríguez Arnaiz
18,15,Youssef En-Nesyri
19,17,Alejandro Pozo Pozo
20,18,Sergio Escudero
21,21,Óliver Torres
22,22,Franco Vázquez
23,24,Carlos Fernández
