,playerName,playerId
0,Lionel Messi,11119
1,Miralem Pjanic,30226
2,Neto,76202
3,Philippe Coutinho,80767
4,Rafinha,106590
5,Clément Lenglet,236511
6,Antoine Griezmann,80241
7,Ousmane Dembélé,299513
8,Frenkie de Jong,279423
9,Trincão,368409
10,Riqui Puig,372827
11,Ansu Fati,382234
12,Carles Aleñá,303268
13,Junior Firpo,351252
14,Iñaki Peña,367164
15,Sergi Roberto,90782
16,Jordi Alba,44288
17,Sergio Busquets,44721
18,Gerard Piqué,12712
19,Ronald Araujo,384711
20,Arnau Tenas,396147
21,Pedri,402197
22,Santiago Ramos Mingo,402198
23,Sergiño Dest,379205
24,Braith Waite,73494
25,Ter Stegen,80774
26,Oscar Mingueza,397469
27,Samuel Umtiti,89931
28,Ilaix Moriba,409030
