,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lucas Boyé,9.0,ar  ARG,FW,24-331,90,16,22,72.7,266,30,9,10,90.0,5,7,71.4,2,3,66.7,0,0.1,1,2,0,0,0
1,Emiliano Rigoni,22.0,ar  ARG,LM,27-355,74,18,20,90.0,290,35,12,14,85.7,5,5,100.0,1,1,100.0,0,0.0,0,1,0,0,2
2,Luismi,15.0,es  ESP,CM,28-264,16,3,4,75.0,45,8,2,2,100.0,1,2,50.0,0,0,,0,0.0,0,0,0,0,0
3,Víctor Rodríguez,8.0,es  ESP,CM,31-185,81,27,31,87.1,394,149,13,15,86.7,13,14,92.9,1,1,100.0,0,0.0,0,1,0,0,1
4,Nino,7.0,es  ESP,CM,40-228,9,4,4,100.0,47,5,3,3,100.0,1,1,100.0,0,0,,0,0.0,0,0,0,0,0
5,Raúl Guti,14.0,es  ESP,CM,24-025,73,21,23,91.3,242,37,13,13,100.0,5,7,71.4,0,0,,0,0.0,0,1,1,0,2
6,Tete Morente,11.0,es  ESP,LM,24-051,17,3,4,75.0,23,0,3,4,75.0,0,0,,0,0,,0,0.0,0,0,0,0,0
7,Josan,17.0,es  ESP,RM,31-052,90,10,20,50.0,134,52,6,10,60.0,4,7,57.1,0,2,0.0,0,0.0,0,0,0,0,0
8,Iván Marcone,4.0,ar  ARG,DM,30-235,90,34,38,89.5,733,168,9,10,90.0,21,21,100.0,4,7,57.1,0,0.0,0,2,0,0,1
9,Johan Mojica,25.0,co  COL,LB,28-156,90,30,44,68.2,454,246,16,18,88.9,11,15,73.3,1,6,16.7,0,0.2,1,0,1,1,0
10,Diego González,2.0,es  ESP,CB,25-362,90,37,42,88.1,764,276,12,12,100.0,19,20,95.0,6,9,66.7,0,0.0,0,0,0,0,0
11,Gonzalo Verdú,5.0,es  ESP,CB,32-095,90,46,54,85.2,1184,619,13,13,100.0,20,20,100.0,13,20,65.0,0,0.0,0,3,0,0,1
12,Antonio Barragán,19.0,es  ESP,RB,33-226,90,38,43,88.4,575,211,20,22,90.9,14,16,87.5,2,3,66.7,0,0.0,0,1,0,0,3
13,Édgar Badía,13.0,es  ESP,GK,28-347,90,40,49,81.6,717,386,8,8,100.0,18,18,100.0,5,14,35.7,0,0.0,0,0,0,0,0
14,14 Players,,,,,990,327,398,82.2,5868,2222,139,154,90.3,137,153,89.5,35,66,53.0,0,0.2,2,11,2,1,10
