,Possession_Elche,Possession_Barcelona
0,35%,65%
1,Passing Accuracy,Passing Accuracy
2,327 of 398 —  82%,90%  — 656 of 732
3,Shots on Target,Shots on Target
4,2 of 4 —  50%,47%  — 7 of 15
5,Saves,Saves
6,5 of 7 —  71%,100%  — 2 of 2
7,Cards,Cards
8,,
