,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Antoine Griezmann,7.0,fr  FRA,FW,29-309,90,1,0,0,2,1,1,3,1,0,0,0,0,2,0,0,
1,Martin Braithwaite,9.0,dk  DEN,LW,29-233,90,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,
2,Ousmane Dembélé,11.0,fr  FRA,RW,23-254,73,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,
3,Francisco Trincão,17.0,pt  POR,RW,21-026,17,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
4,Pedri,16.0,es  ESP,CM,18-060,86,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0
5,Riqui Puig,12.0,es  ESP,CM,21-164,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
6,Frenkie de Jong,21.0,nl  NED,CM,23-257,90,0,0,0,0,2,0,2,3,2,0,0,0,6,0,0,
7,Sergio Busquets,5.0,es  ESP,DM,32-192,90,1,0,0,4,2,0,0,1,2,0,0,0,13,0,0,
8,Jordi Alba,18.0,es  ESP,LB,31-309,90,0,0,0,0,0,0,3,4,1,0,0,0,13,0,0,
9,Samuel Umtiti,23.0,fr  FRA,CB,27-071,90,0,0,0,2,0,0,0,2,0,0,0,0,6,2,0,100.0
10,Ronald Araújo,4.0,uy  URU,CB,21-323,90,0,0,0,1,3,0,0,3,1,0,0,0,5,1,1,50.0
11,Óscar Mingueza,28.0,es  ESP,RB,21-256,90,0,0,0,1,2,0,3,2,2,0,0,0,4,0,0,
12,Marc-André ter Stegen,1.0,de  GER,GK,28-269,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,13 Players,,,,,990,2,0,0,10,17,1,18,16,9,0,0,0,65,5,2,71.4
