,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Antoine Griezmann,7.0,fr  FRA,FW,29-309,90,44,0,0,20,27,8,41,1,1,100.0,1,0,30,112,45,3,2,0,0,0,47,34,72.3,9
1,Martin Braithwaite,9.0,dk  DEN,LW,29-233,90,32,0,2,12,21,5,32,0,0,,0,0,22,112,91,6,2,1,2,1,36,29,80.6,6
2,Ousmane Dembélé,11.0,fr  FRA,RW,23-254,73,66,0,0,22,51,3,59,5,8,62.5,6,0,53,261,134,10,4,2,3,2,59,54,91.5,8
3,Francisco Trincão,17.0,pt  POR,RW,21-026,17,22,0,1,8,15,4,21,0,0,,0,0,18,120,105,4,2,1,1,2,20,18,90.0,3
4,Pedri,16.0,es  ESP,CM,18-060,86,64,0,1,31,39,3,63,2,2,100.0,2,0,55,307,165,12,5,1,4,1,63,54,85.7,10
5,Riqui Puig,12.0,es  ESP,CM,21-164,4,6,0,0,4,2,1,5,0,0,,0,0,3,10,1,0,0,0,0,0,5,5,100.0,1
6,Frenkie de Jong,21.0,nl  NED,CM,23-257,90,87,0,5,54,33,5,87,0,0,,0,0,68,443,247,10,3,1,0,2,82,74,90.2,9
7,Sergio Busquets,5.0,es  ESP,DM,32-192,90,103,1,10,76,22,0,101,1,1,100.0,1,0,63,165,75,3,2,0,0,0,79,79,100.0,0
8,Jordi Alba,18.0,es  ESP,LB,31-309,90,73,1,4,45,27,3,65,1,2,50.0,1,0,47,244,80,4,1,0,0,0,47,44,93.6,2
9,Samuel Umtiti,23.0,fr  FRA,CB,27-071,90,112,6,37,86,0,0,111,0,0,,0,0,91,514,409,17,0,0,0,0,99,98,99.0,0
10,Ronald Araújo,4.0,uy  URU,CB,21-323,90,109,8,33,79,2,1,108,0,0,,0,0,87,489,396,16,1,0,0,0,95,94,98.9,0
11,Óscar Mingueza,28.0,es  ESP,RB,21-256,90,75,1,7,40,30,0,68,1,1,100.0,1,0,55,189,112,8,0,0,0,1,59,55,93.2,1
12,Marc-André ter Stegen,1.0,de  GER,GK,28-269,90,29,20,29,0,0,0,23,0,0,,0,0,15,33,22,0,0,0,0,0,18,18,100.0,0
13,13 Players,,,,,990,822,37,129,477,269,33,784,11,15,73.3,12,0,607,2999,1882,93,22,6,10,9,709,656,92.5,49
