,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-05,20:00,Premier League,Matchweek 1,Fri,Home,L,0,2,Arsenal,1.2,1.0,56.0,25286.0,Marc Guéhi,4-2-3-1,Anthony Taylor,Match Report,
1,2022-08-15,20:00,Premier League,Matchweek 2,Mon,Away,D,1,1,Liverpool,1.0,2.0,28.0,52970.0,Joel Ward,5-4-1,Paul Tierney,Match Report,
2,2022-08-20,15:00,Premier League,Matchweek 3,Sat,Home,W,3,1,Aston Villa,2.6,0.9,51.0,22012.0,Joel Ward,4-3-3,Andy Madley,Match Report,
3,2022-08-23,19:45,EFL Cup,Second round,Tue,Away,W,2,0,Oxford United,,,69.0,9564.0,Luka Milivojević,4-3-3,Peter Bankes,Match Report,
4,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Away,L,2,4,Manchester City,0.1,2.2,26.0,53112.0,Joel Ward,5-4-1,Darren England,Match Report,
5,2022-08-30,19:30,Premier League,Matchweek 5,Tue,Home,D,1,1,Brentford,1.0,1.4,49.0,25043.0,Joel Ward,4-1-4-1,Simon Hooper,Match Report,
6,2022-09-03,15:00,Premier League,Matchweek 6,Sat,Away,D,0,0,Newcastle Utd,1.0,2.8,48.0,51863.0,Joel Ward,4-3-3,Michael Salisbury,Match Report,
7,2022-09-17,15:00,Premier League,Matchweek 8,Sat,Away,,,,Brighton,,,,,,,,,Match Postponed
8,2022-10-01,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Chelsea,0.4,1.1,36.0,25198.0,Joel Ward,4-3-3,Chris Kavanagh,Match Report,
9,2022-10-09,14:00,Premier League,Matchweek 10,Sun,Home,W,2,1,Leeds United,1.1,1.0,54.0,25042.0,Joel Ward,4-3-3,Paul Tierney,Match Report,
10,2022-10-15,12:30,Premier League,Matchweek 11,Sat,Away,D,0,0,Leicester City,0.4,1.0,46.0,31298.0,Joel Ward,4-3-3,Andy Madley,Match Report,
11,2022-10-18,20:15,Premier League,Matchweek 12,Tue,Home,W,2,1,Wolves,1.2,0.8,51.0,25125.0,Joel Ward,4-3-3,David Coote,Match Report,
12,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Away,L,0,3,Everton,0.9,1.4,54.0,38939.0,Luka Milivojević,4-1-4-1,Simon Hooper,Match Report,
13,2022-10-29,15:00,Premier League,Matchweek 14,Sat,Home,W,1,0,Southampton,0.9,1.3,44.0,25130.0,Luka Milivojević,4-3-3,Michael Salisbury,Match Report,
14,2022-11-06,14:00,Premier League,Matchweek 15,Sun,Away,W,2,1,West Ham,1.0,0.3,58.0,62451.0,Marc Guéhi,4-3-3,Paul Tierney,Match Report,
15,2022-11-09,19:45,EFL Cup,Third round,Wed,Away,D,0  (2),0  (3),Newcastle Utd,,,34.0,51660.0,Luka Milivojević,3-4-3,Graham Scott,Match Report,Newcastle Utd won on penalty kicks following extra time
16,2022-11-12,15:00,Premier League,Matchweek 16,Sat,Away,L,0,1,Nott'ham Forest,1.2,1.1,68.0,29045.0,Marc Guéhi,4-3-3,John Brooks,Match Report,
17,2022-12-26,15:00,Premier League,Matchweek 17,Mon,Home,L,0,3,Fulham,0.4,2.5,36.0,25176.0,Joachim Andersen,4-3-3,Andy Madley,Match Report,
18,2022-12-31,15:00,Premier League,Matchweek 18,Sat,Away,W,2,0,Bournemouth,1.6,0.6,41.0,9972.0,Joel Ward,4-2-3-1,Andre Marriner,Match Report,
19,2023-01-04,20:00,Premier League,Matchweek 19,Wed,Home,L,0,4,Tottenham,0.8,1.4,47.0,25132.0,Joel Ward,4-2-3-1,Michael Oliver,Match Report,
20,2023-01-07,12:30,FA Cup,Third round proper,Sat,Home,L,1,2,Southampton,,,55.0,,Joel Ward,4-3-3,Darren Bond,Match Report,
21,2023-01-15,14:00,Premier League,Matchweek 20,Sun,Away,,,,Chelsea,,,,,,,,Head-to-Head,
22,2023-01-18,20:00,Premier League,Matchweek 7,Wed,Home,,,,Manchester Utd,,,,,,,,Head-to-Head,
23,2023-01-21,17:30,Premier League,Matchweek 21,Sat,Home,,,,Newcastle Utd,,,,,,,,Head-to-Head,
24,2023-02-04,15:00,Premier League,Matchweek 22,Sat,Away,,,,Manchester Utd,,,,,,,,Head-to-Head,
25,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,,,,Brighton,,,,,,,,Head-to-Head,
26,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,,,,Brentford,,,,,,,,Head-to-Head,
27,2023-02-25,19:45,Premier League,Matchweek 25,Sat,Home,,,,Liverpool,,,,,,,,Head-to-Head,
28,2023-03-04,15:00,Premier League,Matchweek 26,Sat,Away,,,,Aston Villa,,,,,,,,Head-to-Head,
29,2023-03-11,15:00,Premier League,Matchweek 27,Sat,Home,,,,Manchester City,,,,,,,,Head-to-Head,
30,2023-03-18,15:00,Premier League,Matchweek 28,Sat,Away,,,,Arsenal,,,,,,,,Head-to-Head,
31,2023-04-01,15:00,Premier League,Matchweek 29,Sat,Home,,,,Leicester City,,,,,,,,Head-to-Head,
32,2023-04-08,15:00,Premier League,Matchweek 30,Sat,Away,,,,Leeds United,,,,,,,,Head-to-Head,
33,2023-04-15,15:00,Premier League,Matchweek 31,Sat,Away,,,,Southampton,,,,,,,,Head-to-Head,
34,2023-04-22,15:00,Premier League,Matchweek 32,Sat,Home,,,,Everton,,,,,,,,Head-to-Head,
35,2023-04-25,19:45,Premier League,Matchweek 33,Tue,Away,,,,Wolves,,,,,,,,Head-to-Head,
36,2023-04-29,15:00,Premier League,Matchweek 34,Sat,Home,,,,West Ham,,,,,,,,Head-to-Head,
37,2023-05-06,15:00,Premier League,Matchweek 35,Sat,Away,,,,Tottenham,,,,,,,,Head-to-Head,
38,2023-05-13,15:00,Premier League,Matchweek 36,Sat,Home,,,,Bournemouth,,,,,,,,Head-to-Head,
39,2023-05-20,15:00,Premier League,Matchweek 37,Sat,Away,,,,Fulham,,,,,,,,Head-to-Head,
40,2023-05-28,15:00,Premier League,Matchweek 38,Sun,Home,,,,Nott'ham Forest,,,,,,,,Head-to-Head,
