,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Adrián,es  ESP,GK,West Ham,27,1987,38,38,3392,37.7,47,1.25,171,124,72.5,12,10,15,8,21.1,,,,,
1,Jak Alnwick,eng  ENG,GK,Newcastle Utd,21,1993,6,5,495,5.5,14,2.55,23,9,39.1,2,1,3,0,0.0,,,,,
2,Asmir Begović,ba  BIH,GK,Stoke City,27,1987,35,35,3150,35.0,43,1.23,129,86,66.7,14,8,13,7,20.0,,,,,
3,Jack Butland,eng  ENG,GK,Stoke City,21,1993,3,3,270,3.0,2,0.67,10,8,80.0,1,1,1,2,66.7,,,,,
4,Willy Caballero,ar  ARG,GK,Manchester City,32,1981,2,2,180,2.0,4,2.00,9,5,55.6,2,0,0,0,0.0,,,,,
5,Petr Čech,cz  CZE,GK,Chelsea,32,1982,7,6,607,6.7,2,0.30,18,16,88.9,7,0,0,5,83.3,,,,,
6,Thibaut Courtois,be  BEL,GK,Chelsea,22,1992,32,32,2813,31.3,30,0.96,103,73,70.9,19,9,3,12,37.5,,,,,
7,Kelvin Davis,eng  ENG,GK,Southampton,37,1976,7,6,617,6.9,9,1.31,22,13,59.1,2,1,4,2,33.3,,,,,
8,Rob Elliot,ie  IRL,GK,Newcastle Utd,28,1986,3,3,225,2.5,2,0.80,7,5,71.4,1,1,1,1,33.3,,,,,
9,Łukasz Fabiański,pl  POL,GK,Swansea City,29,1985,37,37,3308,36.8,46,1.25,181,135,74.6,16,8,13,13,35.1,,,,,
10,Fraser Forster,eng  ENG,GK,Southampton,26,1988,30,30,2623,29.1,21,0.72,80,59,73.8,15,5,9,13,43.3,,,,,
11,Ben Foster,eng  ENG,GK,West Brom,31,1983,28,28,2485,27.6,34,1.23,108,74,68.5,7,8,12,11,39.3,,,,,
12,Paulo Gazzaniga,ar  ARG,GK,Southampton,22,1992,2,2,180,2.0,3,1.50,7,4,57.1,1,0,1,0,0.0,,,,,
13,David de Gea,es  ESP,GK,Manchester Utd,23,1990,37,37,3313,36.8,36,0.98,127,91,71.7,20,9,8,11,29.7,,,,,
14,Shay Given,ie  IRL,GK,Aston Villa,38,1976,3,3,270,3.0,8,2.67,17,9,52.9,2,0,1,1,33.3,,,,,
15,Robert Green,eng  ENG,GK,QPR,34,1980,36,36,3183,35.4,65,1.84,192,127,66.1,7,6,22,5,13.9,,,,,
16,Brad Guzan,us  USA,GK,Aston Villa,29,1984,34,34,3060,34.0,48,1.41,148,100,67.6,8,8,18,9,26.5,,,,,
17,Ben Hamer,eng  ENG,GK,Leicester City,26,1987,8,8,720,8.0,8,1.00,29,21,72.4,3,1,4,3,37.5,,,,,
18,Steve Harper,eng  ENG,GK,Hull City,39,1975,10,10,852,9.5,10,1.06,40,30,75.0,3,2,5,4,40.0,,,,,
19,Joe Hart,eng  ENG,GK,Manchester City,27,1987,36,36,3240,36.0,34,0.94,119,85,71.4,22,7,7,14,38.9,,,,,
20,Tom Heaton,eng  ENG,GK,Burnley,28,1986,38,38,3420,38.0,53,1.39,178,125,70.2,7,12,19,10,26.3,,,,,
21,Wayne Hennessey,wal  WAL,GK,Crystal Palace,27,1987,3,2,216,2.4,2,0.83,6,4,66.7,1,1,0,1,50.0,,,,,
22,Tim Howard,us  USA,GK,Everton,35,1979,32,32,2835,31.5,44,1.40,107,63,58.9,11,8,12,7,21.9,,,,,
23,Jussi Jääskeläinen,fi  FIN,GK,West Ham,39,1975,1,0,28,0.3,0,0.00,3,3,100.0,0,1,0,1,,,,,,
24,Eldin Jakupović,ch  SUI,GK,Hull City,29,1984,3,2,228,2.5,2,0.79,11,9,81.8,0,2,1,1,50.0,,,,,
25,Brad Jones,au  AUS,GK,Liverpool,32,1982,3,3,195,2.2,5,2.31,9,4,44.4,1,1,0,0,0.0,,,,,
26,Tim Krul,nl  NED,GK,Newcastle Utd,26,1988,30,30,2700,30.0,47,1.57,131,84,64.1,7,7,15,7,23.3,,,,,
27,Hugo Lloris,fr  FRA,GK,Tottenham,27,1986,35,35,3063,34.0,48,1.41,153,105,68.6,17,6,11,8,22.9,,,,,
28,Vito Mannone,it  ITA,GK,Sunderland,26,1988,10,10,900,10.0,20,2.00,52,32,61.5,1,5,4,2,20.0,,,,,
