,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes
351,Jores Okore,dk  DEN,DF,Aston Villa,21,1992,23,22,2010,22.3,1,0,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04
352,Nélson Oliveira,pt  POR,FW,Swansea City,22,1991,10,4,389,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23
353,Jonas Olsson,se  SWE,DF,West Brom,31,1983,13,9,825,9.2,1,0,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11
354,Nedum Onuoha,eng  ENG,DF,QPR,27,1986,23,22,1927,21.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00
355,Oscar,br  BRA,MF,Chelsea,22,1991,28,26,2020,22.4,6,8,6,0,0,5,0,0.27,0.36,0.62,0.27,0.62
356,Leon Osman,eng  ENG,MF,Everton,33,1981,21,13,1279,14.2,2,2,2,0,0,0,0,0.14,0.14,0.28,0.14,0.28
357,David Ospina,co  COL,GK,Arsenal,25,1988,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
358,Bryan Oviedo,cr  CRC,"DF,MF",Everton,24,1990,6,2,320,3.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
359,Alex Oxlade-Chamberlain,eng  ENG,MF,Arsenal,20,1993,23,17,1490,16.6,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12
360,Mesut Özil,de  GER,MF,Arsenal,25,1988,22,21,1856,20.6,4,5,4,0,0,0,0,0.19,0.24,0.44,0.19,0.44
361,Costel Pantilimon,ro  ROU,GK,Sunderland,27,1987,28,28,2520,28.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
362,Paulinho,br  BRA,MF,Tottenham,26,1988,15,3,489,5.4,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18
363,Gabriel Paulista,br  BRA,DF,Arsenal,23,1990,6,4,350,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
364,Graziano Pellè,it  ITA,FW,Southampton,29,1985,38,37,3281,36.5,12,2,12,0,0,6,0,0.33,0.05,0.38,0.33,0.38
365,Andreas Pereira,br  BRA,MF,Manchester Utd,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
366,Ayoze Pérez,es  ESP,"FW,MF",Newcastle Utd,21,1993,36,25,2369,26.3,7,0,7,0,0,0,0,0.27,0.00,0.27,0.27,0.27
367,Robin van Persie,nl  NED,FW,Manchester Utd,30,1983,27,25,2108,23.4,10,2,9,1,2,5,0,0.43,0.09,0.51,0.38,0.47
368,Matt Phillips,sco  SCO,MF,QPR,23,1991,25,20,1821,20.2,3,8,3,0,0,1,0,0.15,0.40,0.54,0.15,0.54
369,Steven Pienaar,za  RSA,MF,Everton,32,1982,9,3,317,3.5,0,2,0,0,0,1,0,0.00,0.57,0.57,0.00,0.57
370,Erik Pieters,nl  NED,"DF,MF",Stoke City,25,1988,31,29,2562,28.5,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07
371,Sébastien Pocognoli,be  BEL,"DF,MF",West Brom,26,1987,15,15,1209,13.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
372,Lukas Podolski,de  GER,"FW,MF",Arsenal,29,1985,7,0,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
373,Nick Powell,eng  ENG,"FW,MF",Leicester City,20,1994,3,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
374,Diego Poyet,uy  URU,MF,West Ham,19,1995,3,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
375,José Pozo,es  ESP,"FW,MF",Manchester City,18,1996,3,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
376,Jason Puncheon,eng  ENG,MF,Crystal Palace,28,1986,37,31,2824,31.4,6,7,6,0,0,8,1,0.19,0.22,0.41,0.19,0.41
377,Stephen Quinn,ie  IRL,MF,Hull City,28,1986,28,17,1639,18.2,1,3,1,0,0,3,1,0.05,0.16,0.22,0.05,0.22
378,Rafael,br  BRA,"DF,MF",Manchester Utd,24,1990,10,6,592,6.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
379,Ramires,br  BRA,MF,Chelsea,27,1987,23,11,1107,12.3,2,4,2,0,0,4,0,0.16,0.33,0.49,0.16,0.49
380,Aaron Ramsey,wal  WAL,MF,Arsenal,23,1990,29,23,2007,22.3,6,5,6,0,0,6,0,0.27,0.22,0.49,0.27,0.49
381,Àngel Rangel,es  ESP,DF,Swansea City,31,1982,27,22,2037,22.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
382,Harrison Reed,eng  ENG,MF,Southampton,19,1995,9,5,460,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
383,Steven Reid,ie  IRL,"DF,MF",Burnley,33,1981,6,1,109,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
384,Winston Reid,nz  NZL,DF,West Ham,26,1988,30,29,2502,27.8,1,0,1,0,0,10,0,0.04,0.00,0.04,0.04,0.04
385,Anthony Réveillère,fr  FRA,DF,Sunderland,34,1979,16,15,1327,14.7,0,2,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14
386,Jazz Richards,wal  WAL,"DF,MF",Swansea City,23,1991,10,7,636,7.1,0,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14
