,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
0,Patrick van Aanholt,nl  NED,DF,Sunderland,23,1990,25.6,4,0,,21,,,,,,,,
1,Rolando Aarons,eng  ENG,MF,Newcastle Utd,18,1995,1.5,1,0,,1,,,,,,,,
2,Mehdi Abeid,dz  ALG,MF,Newcastle Utd,21,1992,7.4,0,0,,12,,,,,,,,
3,Charlie Adam,sco  SCO,MF,Stoke City,28,1985,16.8,5,0,,37,,,,,,,,
4,Emmanuel Adebayor,tg  TOG,FW,Tottenham,30,1984,9.0,1,0,,13,,,,,,,,
5,Adrián,es  ESP,GK,West Ham,27,1987,37.7,3,1,,,,,,,,,,
6,Gabby Agbonlahor,eng  ENG,"FW,MF",Aston Villa,27,1986,29.9,7,1,,42,,,,,,,,
7,Sergio Agüero,ar  ARG,FW,Manchester City,26,1988,28.1,4,0,,17,,,,,,,,
8,Nathan Aké,nl  NED,"DF,MF",Chelsea,19,1995,0.2,0,0,,1,,,,,,,,
9,Chuba Akpom,eng  ENG,FW,Arsenal,18,1995,0.3,0,0,,1,,,,,,,,
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,24,1989,11.5,3,0,,15,,,,,,,,
11,Antolín Alcaraz,py  PAR,DF,Everton,32,1982,5.9,2,1,,5,,,,,,,,
12,Toby Alderweireld,be  BEL,DF,Southampton,25,1989,25.1,3,0,,12,,,,,,,,
13,Joe Allen,wal  WAL,MF,Liverpool,24,1990,16.3,3,0,,20,,,,,,,,
14,Jak Alnwick,eng  ENG,GK,Newcastle Utd,21,1993,5.5,0,0,,0,,,,,,,,
15,Jozy Altidore,us  USA,FW,Sunderland,24,1989,3.5,0,0,,7,,,,,,,,
16,Sone Aluko,ng  NGA,"FW,MF",Hull City,25,1989,13.8,2,0,,15,,,,,,,,
17,Ricky Álvarez,ar  ARG,MF,Sunderland,26,1988,5.5,3,0,,5,,,,,,,,
18,Morgan Amalfitano,fr  FRA,MF,West Ham,29,1985,13.2,3,0,,9,,,,,,,,
