,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success
0,Patrick van Aanholt,nl  NED,DF,Sunderland,23,1990,28,2307,82,67.5,25.6,26,,25,2,,0,1.04,22,39,-17,-0.66,-0.26
1,Rolando Aarons,eng  ENG,MF,Newcastle Utd,18,1995,4,132,33,3.9,1.5,0,,0,4,,1,1.00,3,2,+1,+0.68,+1.34
2,Mehdi Abeid,dz  ALG,MF,Newcastle Utd,21,1992,13,664,51,19.4,7.4,7,,5,6,,7,1.23,7,9,-2,-0.27,+0.41
3,Charlie Adam,sco  SCO,MF,Stoke City,28,1985,29,1511,52,44.2,16.8,15,,6,14,,9,1.45,24,15,+9,+0.54,+0.82
4,Emmanuel Adebayor,tg  TOG,FW,Tottenham,30,1984,13,813,63,23.8,9.0,9,,4,4,,2,1.31,11,9,+2,+0.22,+0.12
5,Adrián,es  ESP,GK,West Ham,27,1987,38,3392,89,99.2,37.7,38,,37,0,,0,1.24,44,47,-3,-0.08,-0.08
6,Gabby Agbonlahor,eng  ENG,"FW,MF",Aston Villa,27,1986,34,2693,79,78.7,29.9,30,,23,4,,0,1.00,22,42,-20,-0.67,+0.07
7,Liam Agnew,eng  ENG,MF,Sunderland,19,1995,0,,,,,0,,0,0,,4,,,,,,
8,Sergio Agüero,ar  ARG,FW,Manchester City,26,1988,33,2531,77,74.0,28.1,30,,18,3,,0,2.00,62,31,+31,+1.10,-0.31
9,Karim El Ahmadi,ma  MAR,MF,Aston Villa,29,1985,0,,,,,0,,0,0,,1,,,,,,
10,Semi Ajayi,ng  NGA,"DF,MF",Arsenal,20,1993,0,,,,,0,,0,0,,3,,,,,,
11,Nathan Aké,nl  NED,"DF,MF",Chelsea,19,1995,1,18,18,0.5,0.2,0,,0,1,,9,0.00,0,0,0,0.00,-1.08
12,Chuba Akpom,eng  ENG,FW,Arsenal,18,1995,3,30,10,0.9,0.3,0,,0,3,,2,1.00,2,0,+2,+6.00,+5.12
13,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,24,1989,18,1031,57,30.1,11.5,10,,7,8,,2,1.44,21,9,+12,+1.05,+1.84
14,Antolín Alcaraz,py  PAR,DF,Everton,32,1982,8,527,66,15.4,5.9,6,,4,2,,23,1.38,11,6,+5,+0.85,+1.07
15,Toby Alderweireld,be  BEL,DF,Southampton,25,1989,26,2261,87,66.1,25.1,26,,24,0,,1,1.65,43,23,+20,+0.80,+0.72
16,Joe Allen,wal  WAL,MF,Liverpool,24,1990,21,1470,70,43.0,16.3,16,,10,5,,7,1.52,21,22,-1,-0.06,-0.29
17,Jak Alnwick,eng  ENG,GK,Newcastle Utd,21,1993,6,495,83,14.5,5.5,5,,5,1,,3,1.17,10,14,-4,-0.73,-0.14
18,Jozy Altidore,us  USA,FW,Sunderland,24,1989,11,311,28,9.1,3.5,2,,0,9,,8,0.82,4,4,0,0.00,+0.64
19,Sone Aluko,ng  NGA,"FW,MF",Hull City,25,1989,25,1242,50,36.3,13.8,13,,1,12,,7,0.72,10,19,-9,-0.65,-0.28
20,Ricky Álvarez,ar  ARG,MF,Sunderland,26,1988,13,497,38,14.5,5.5,5,,0,8,,4,0.77,6,11,-5,-0.91,-0.38
21,Morgan Amalfitano,fr  FRA,MF,West Ham,29,1985,24,1184,49,34.6,13.2,14,,6,10,,8,1.38,17,18,-1,-0.08,0.00
22,Jordi Amat,es  ESP,DF,Swansea City,22,1992,10,588,59,17.2,6.5,7,,6,3,,13,2.10,10,7,+3,+0.46,+0.65
23,Thierry Ambrose,fr  FRA,"FW,MF",Manchester City,17,1997,0,,,,,0,,0,0,,1,,,,,,
24,Sammy Ameobi,eng  ENG,"FW,MF",Newcastle Utd,22,1992,25,1418,57,41.5,15.8,15,,3,10,,5,1.04,15,13,+2,+0.13,+1.25
25,Shola Ameobi,ng  NGA,FW,Crystal Palace,32,1981,4,42,11,1.2,0.5,0,,0,4,,4,1.50,1,1,0,0.00,+0.11
