,minute,team,player,x,y,xG,result,shotType,assist
0,4,Espanyol,Sergi Gómez,0.9069999694824219,0.34900001525878904,0.015659233555197716,BlockedShot,Head,Sergi Darder
1,5,Espanyol,Adrià Pedrosa,0.88,0.6680000305175782,0.048701222985982895,BlockedShot,LeftFoot,Raúl de Tomás
2,5,Espanyol,Raúl de Tomás,0.8440000152587891,0.5540000152587891,0.06684711575508118,MissedShots,LeftFoot,Tonny Vilhena
3,38,Espanyol,Javi Puado,0.8330000305175781,0.7280000305175781,0.02502891793847084,SavedShot,RightFoot,Yangel Herrera
4,39,Espanyol,Sergi Darder,0.8080000305175781,0.61,0.03676287829875946,Goal,RightFoot,Raúl de Tomás
5,43,Espanyol,Sergi Darder,0.7519999694824219,0.375,0.03830423578619957,MissedShots,RightFoot,Yangel Herrera
6,63,Espanyol,Raúl de Tomás,0.9,0.5379999923706055,0.31920480728149414,Goal,RightFoot,Sergi Darder
7,67,Espanyol,Raúl de Tomás,0.6609999847412109,0.5259999847412109,0.019667858257889748,SavedShot,RightFoot,Diego López
8,77,Espanyol,Raúl de Tomás,0.8809999847412109,0.725999984741211,0.04724743962287903,MissedShots,LeftFoot,Nicolás Melamed
9,93,Espanyol,Raúl de Tomás,0.33099998474121095,0.13399999618530273,0.0068426881916821,MissedShots,RightFoot,None
10,1,Barcelona,Pedri,0.95,0.46299999237060546,0.5428425073623657,Goal,RightFoot,Jordi Alba
11,13,Barcelona,Adama Traoré,0.8780000305175781,0.26399999618530273,0.044775594025850296,MissedShots,LeftFoot,Ronald Araújo
12,24,Barcelona,Adama Traoré,0.8730000305175781,0.3,0.048355720937252045,MissedShots,LeftFoot,Jordi Alba
13,36,Barcelona,Adama Traoré,0.8930000305175781,0.37099998474121093,0.061781469732522964,SavedShot,RightFoot,Gavi
14,37,Barcelona,Ferrán Torres,0.91,0.41200000762939454,0.09460735321044922,MissedShots,Head,Jordi Alba
15,40,Barcelona,Ferrán Torres,0.935,0.4640000152587891,0.4583262801170349,MissedShots,Head,Adama Traoré
16,52,Barcelona,Gavi,0.8419999694824218,0.555,0.09639958292245865,BlockedShot,RightFoot,None
17,55,Barcelona,Jordi Alba,0.754000015258789,0.5570000076293945,0.022967346012592316,MissedShots,LeftFoot,Pedri
18,66,Barcelona,Pedri,0.815,0.4470000076293945,0.044063735753297806,SavedShot,RightFoot,Gerard Piqué
19,71,Barcelona,Ferrán Torres,0.8980000305175782,0.57,0.06027965620160103,MissedShots,Head,Jordi Alba
20,90,Barcelona,Luuk de Jong,0.9259999847412109,0.4640000152587891,0.05899549275636673,MissedShots,Head,Ousmane Dembélé
21,95,Barcelona,Luuk de Jong,0.8980000305175782,0.5259999847412109,0.08881329745054245,Goal,Head,Adama Traoré
