,minute,team,player,x,y,xG,result,shotType,assist
0,1,Celta Vigo,Iago Aspas,0.89,0.37099998474121093,0.2574884593486786,MissedShots,LeftFoot,Nolito
1,10,Celta Vigo,Hugo Mallo,0.9230000305175782,0.565,0.08541004359722137,MissedShots,Head,Iago Aspas
2,20,Celta Vigo,Thiago Galhardo,0.8380000305175781,0.4520000076293945,0.022290807217359543,MissedShots,Head,Iago Aspas
3,30,Celta Vigo,Iago Aspas,0.730999984741211,0.39599998474121095,0.05382942780852318,MissedShots,LeftFoot,None
4,30,Celta Vigo,Hugo Mallo,0.8330000305175781,0.34200000762939453,0.045687511563301086,BlockedShot,RightFoot,Nolito
5,32,Celta Vigo,Joseph Aidoo,0.89,0.5470000076293945,0.03581596165895462,MissedShots,OtherBodyPart,Iago Aspas
6,32,Celta Vigo,Renato Tapia,0.9490000152587891,0.6,0.40477511286735535,MissedShots,RightFoot,Joseph Aidoo
7,42,Celta Vigo,Javi Galán,0.9069999694824219,0.7090000152587891,0.038957785815000534,MissedShots,RightFoot,None
8,47,Celta Vigo,Thiago Galhardo,0.9390000152587891,0.37400001525878906,0.014282049611210823,MissedShots,Head,Denis Suárez
9,47,Celta Vigo,Renato Tapia,0.855999984741211,0.41200000762939454,0.0640537440776825,BlockedShot,RightFoot,Iago Aspas
10,51,Celta Vigo,Javi Galán,0.874000015258789,0.6790000152587891,0.05700065568089485,SavedShot,LeftFoot,Iago Aspas
11,51,Celta Vigo,Iago Aspas,0.9259999847412109,0.5279999923706055,0.4557994306087494,Goal,LeftFoot,None
12,72,Celta Vigo,Javi Galán,0.7280000305175781,0.549000015258789,0.019218849018216133,BlockedShot,LeftFoot,Iago Aspas
13,73,Celta Vigo,Nolito,0.8919999694824219,0.4620000076293945,0.07618609815835953,Goal,Head,Franco Cervi
14,89,Celta Vigo,Néstor Araújo,0.8009999847412109,0.6880000305175781,0.018693404272198677,MissedShots,RightFoot,Joseph Aidoo
15,91,Celta Vigo,Nolito,0.855,0.4370000076293945,0.05490265414118767,MissedShots,RightFoot,Kevin
16,91,Celta Vigo,Javi Galán,0.8869999694824219,0.645,0.059381358325481415,MissedShots,LeftFoot,None
17,95,Celta Vigo,Iago Aspas,0.8230000305175781,0.6140000152587891,0.05064382031559944,Goal,LeftFoot,Javi Galán
18,4,Barcelona,Anssumane Fati,0.9,0.7230000305175781,0.032572582364082336,Goal,RightFoot,Jordi Alba
19,15,Barcelona,Eric Garcia,0.9059999847412109,0.5279999923706055,0.0548514686524868,SavedShot,Head,Sergio Busquets
20,17,Barcelona,Sergio Busquets,0.7930000305175782,0.47299999237060547,0.049913711845874786,Goal,RightFoot,Nico González
21,21,Barcelona,Anssumane Fati,0.950999984741211,0.705,0.08366647362709045,MissedShots,LeftFoot,Memphis Depay
22,33,Barcelona,Memphis Depay,0.935,0.55,0.44673237204551697,Goal,Head,Jordi Alba
23,37,Barcelona,Anssumane Fati,0.9,0.5790000152587891,0.13863572478294373,MissedShots,RightFoot,Frenkie de Jong
24,76,Barcelona,Riqui Puig,0.7709999847412109,0.39099998474121095,0.033320214599370956,MissedShots,RightFoot,Álex Balde
25,77,Barcelona,Riqui Puig,0.845,0.38799999237060545,0.08521010726690292,SavedShot,RightFoot,Memphis Depay
26,84,Barcelona,Abdessamad Ezzalzouli,0.8619999694824219,0.509000015258789,0.11312223225831985,SavedShot,RightFoot,Sergio Busquets
27,85,Barcelona,Frenkie de Jong,0.8180000305175781,0.49900001525878906,0.10122050344944,ShotOnPost,LeftFoot,Sergio Busquets
