,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Away,D,0,0,Barcelona,0.5,1.9,33.0,81104.0,Óscar Trejo,4-2-3-1,Alejandro Hernández,Match Report,
1,2022-08-19,20:00,La Liga,Matchweek 2,Fri,Away,W,2,0,Espanyol,1.4,0.8,46.0,16071.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Match Report,
2,2022-08-27,19:30,La Liga,Matchweek 3,Sat,Home,L,0,2,Mallorca,0.7,0.8,65.0,10944.0,Óscar Trejo,4-2-3-1,José Sánchez,Match Report,
3,2022-09-04,14:00,La Liga,Matchweek 4,Sun,Away,L,1,2,Osasuna,0.2,2.0,53.0,18745.0,Óscar Trejo,4-2-3-1,Alejandro Muñíz,Match Report,
4,2022-09-10,14:00,La Liga,Matchweek 5,Sat,Home,W,2,1,Valencia,1.7,1.7,46.0,12085.0,Óscar Trejo,4-2-3-1,Jesús Gil,Match Report,
5,2022-09-17,21:00,La Liga,Matchweek 6,Sat,Away,L,2,3,Athletic Club,0.7,1.9,61.0,43484.0,Óscar Trejo,4-2-3-1,Antonio Matéu Lahoz,Match Report,
6,2022-10-03,21:00,La Liga,Matchweek 7,Mon,Home,W,2,1,Elche,0.9,1.1,70.0,11662.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Match Report,
7,2022-10-08,14:00,La Liga,Matchweek 8,Sat,Away,L,1,3,Almería,0.8,1.2,63.0,10783.0,Óscar Trejo,4-4-2,Pablo González,Match Report,
8,2022-10-14,21:00,La Liga,Matchweek 9,Fri,Home,D,0,0,Getafe,1.6,0.4,65.0,13076.0,Óscar Trejo,4-2-3-1,Mario Melero,Match Report,
9,2022-10-18,21:00,La Liga,Matchweek 10,Tue,Away,D,1,1,Atlético Madrid,1.8,1.1,48.0,46803.0,Catena,4-2-3-1,Javier Villanueva,Match Report,
10,2022-10-22,14:00,La Liga,Matchweek 11,Sat,Home,W,5,1,Cádiz,3.7,0.2,62.0,12975.0,Óscar Trejo,4-4-2,Alejandro Muñíz,Match Report,
11,2022-10-29,18:30,La Liga,Matchweek 12,Sat,Away,W,1,0,Sevilla,0.7,1.2,38.0,36601.0,Santi Comesaña,4-2-3-1,Antonio Matéu Lahoz,Match Report,
12,2022-11-07,21:00,La Liga,Matchweek 13,Mon,Home,W,3,2,Real Madrid,1.5,2.4,46.0,14216.0,Óscar Trejo,4-2-3-1,Juan Martínez,Match Report,
13,2022-11-10,19:00,La Liga,Matchweek 14,Thu,Home,D,0,0,Celta Vigo,0.4,0.9,59.0,12419.0,Santi Comesaña,4-2-3-1,José Luis Munuera,Match Report,
14,2022-11-13,12:00,Copa del Rey,First round,Sun,Away,W,3,1,CFJ Mollerussa,,,73.0,3800.0,Mario Suárez,4-4-2,César Soto,Match Report,
15,2022-12-21,19:00,Copa del Rey,Second round,Wed,Away,D,0  (3),0  (1),Atlético Saguntino,,,77.0,2000.0,Óscar Trejo,4-2-3-1,Guillermo Cuadra,Match Report,Rayo Vallecano won on penalty kicks following extra time
16,2022-12-29,17:00,La Liga,Matchweek 15,Thu,Away,D,2,2,Girona,1.0,2.3,41.0,11451.0,Óscar Trejo,4-2-3-1,Jorge Figueroa,Match Report,
17,2023-01-03,21:00,Copa del Rey,Round of 32,Tue,Away,L,0,2,Sporting Gijón,,,61.0,17423.0,Catena,4-2-3-1,Juan Pulido,Match Report,
18,2023-01-08,16:15,La Liga,Matchweek 16,Sun,Home,L,1,2,Betis,1.5,0.8,62.0,13119.0,Óscar Trejo,4-4-1-1,Isidro Díaz de Mera,Match Report,
19,2023-01-14,14:00,La Liga,Matchweek 17,Sat,Away,,,,Valladolid,,,,,,,,Head-to-Head,
20,2023-01-22,,La Liga,Matchweek 18,Sun,Home,,,,Real Sociedad,,,,,,,,Head-to-Head,
21,2023-01-29,,La Liga,Matchweek 19,Sun,Away,,,,Villarreal,,,,,,,,Head-to-Head,
22,2023-02-05,,La Liga,Matchweek 20,Sun,Home,,,,Almería,,,,,,,,Head-to-Head,
23,2023-02-12,,La Liga,Matchweek 21,Sun,Away,,,,Getafe,,,,,,,,Head-to-Head,
24,2023-02-19,,La Liga,Matchweek 22,Sun,Home,,,,Sevilla,,,,,,,,Head-to-Head,
25,2023-02-26,,La Liga,Matchweek 23,Sun,Away,,,,Cádiz,,,,,,,,Head-to-Head,
26,2023-03-05,,La Liga,Matchweek 24,Sun,Home,,,,Athletic Club,,,,,,,,Head-to-Head,
27,2023-03-12,,La Liga,Matchweek 25,Sun,Away,,,,Celta Vigo,,,,,,,,Head-to-Head,
28,2023-03-19,,La Liga,Matchweek 26,Sun,Home,,,,Girona,,,,,,,,Head-to-Head,
29,2023-04-02,,La Liga,Matchweek 27,Sun,Away,,,,Valencia,,,,,,,,Head-to-Head,
30,2023-04-09,,La Liga,Matchweek 28,Sun,Home,,,,Atlético Madrid,,,,,,,,Head-to-Head,
31,2023-04-16,,La Liga,Matchweek 29,Sun,Home,,,,Osasuna,,,,,,,,Head-to-Head,
32,2023-04-23,,La Liga,Matchweek 30,Sun,Away,,,,Real Sociedad,,,,,,,,Head-to-Head,
33,2023-04-26,,La Liga,Matchweek 31,Wed,Home,,,,Barcelona,,,,,,,,Head-to-Head,
34,2023-04-30,,La Liga,Matchweek 32,Sun,Away,,,,Elche,,,,,,,,Head-to-Head,
35,2023-05-03,,La Liga,Matchweek 33,Wed,Home,,,,Valladolid,,,,,,,,Head-to-Head,
36,2023-05-14,,La Liga,Matchweek 34,Sun,Away,,,,Betis,,,,,,,,Head-to-Head,
37,2023-05-21,,La Liga,Matchweek 35,Sun,Home,,,,Espanyol,,,,,,,,Head-to-Head,
38,2023-05-24,,La Liga,Matchweek 36,Wed,Away,,,,Real Madrid,,,,,,,,Head-to-Head,
39,2023-05-28,,La Liga,Matchweek 37,Sun,Home,,,,Villarreal,,,,,,,,Head-to-Head,
40,2023-06-04,,La Liga,Matchweek 38,Sun,Away,,,,Mallorca,,,,,,,,Head-to-Head,
