,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
0,2019-08-25,Sun,Serie A,Matchweek 1,Away,L 0–1,Milan,Udinese,Y,GK,90,6,1,5,83.3,0,1.4,0,0,0,0,4,9,44.4,19,7,36.8,29.4,7,28.6,36.1,9,1,11.1,3,19.5,Match Report
1,2019-08-31,Sat,Serie A,Matchweek 2,Home,W 1–0,Milan,Brescia,Y,GK,90,1,0,1,100.0,1,0.2,0,0,0,0,9,22,40.9,33,5,45.5,37.9,9,77.8,52.0,6,2,33.3,1,20.3,Match Report
2,2019-09-05,Thu,Euro Qualifying,Group stage,Away,W 3–1,it  Italy,am  Armenia,Y,GK,90,3,1,2,66.7,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
3,2019-09-08,Sun,Euro Qualifying,Group stage,Away,W 2–1,it  Italy,fi  Finland,Y,GK,90,0,1,0,,0,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
4,2019-09-15,Sun,Serie A,Matchweek 3,Away,W 1–0,Milan,Hellas Verona,Y,GK,90,1,0,1,100.0,1,0.3,0,0,0,0,4,8,50.0,15,1,33.3,36.8,6,50.0,37.7,6,0,0.0,0,,Match Report
5,2019-09-21,Sat,Serie A,Matchweek 4,Home,L 0–2,Milan,Inter,Y,GK,90,7,2,5,71.4,0,2.0,0,0,0,0,3,8,37.5,21,6,33.3,33.0,8,12.5,24.4,13,0,0.0,1,16.4,Match Report
6,2019-09-26,Thu,Serie A,Matchweek 5,Away,L 1–2,Milan,Torino,Y,GK,90,4,2,2,50.0,0,1.2,0,0,0,0,3,13,23.1,23,7,21.7,33.0,11,72.7,46.5,13,2,15.4,2,15.1,Match Report
7,2019-09-29,Sun,Serie A,Matchweek 6,Home,L 1–3,Milan,Fiorentina,Y,GK,90,5,3,3,60.0,0,2.9,2,1,1,0,7,18,38.9,31,3,45.2,37.0,7,57.1,43.6,6,0,0.0,2,15.5,Match Report
8,2019-10-12,Sat,Euro Qualifying,Group stage,Home,W 2–0,it  Italy,gr  Greece,Y,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
9,2019-10-20,Sun,Serie A,Matchweek 8,Home,D 2–2,Milan,Lecce,Y,GK,90,5,2,3,60.0,0,1.1,1,0,1,0,5,13,38.5,22,7,50.0,35.7,5,40.0,33.4,8,1,12.5,2,19.7,Match Report
