,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PSxG_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,AvgDist_Sweeper,Match Report
25,2017-11-13,Mon,WCQ — UEFA (M),Second round,Home,D 0–0,it  Italy,se  Sweden,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
26,2017-11-18,Sat,Serie A,Matchweek 13,Away,L 1–2,Milan,Napoli,Y,GK,90,10,2,8,80.0,0,2.3,0,0,0,0,9,17,52.9,35,3,37.1,30.2,6,66.7,47.5,5,0,0.0,0,12.5,Match Report
27,2017-11-23,Thu,Europa Lg,Group stage,Home,W 5–1,it  Milan,at  Austria Wien,Y,GK,90,3,1,2,66.7,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
28,2017-11-26,Sun,Serie A,Matchweek 14,Home,D 0–0,Milan,Torino,Y,GK,90,1,0,1,100.0,1,0.3,0,0,0,0,13,26,50.0,31,4,71.0,44.6,4,100.0,62.3,5,0,0.0,0,18.0,Match Report
29,2017-12-03,Sun,Serie A,Matchweek 15,Away,D 2–2,Milan,Benevento,Y,GK,90,6,2,4,66.7,0,2.3,0,0,0,0,2,10,20.0,15,4,26.7,33.4,6,100.0,56.8,15,3,20.0,0,8.5,Match Report
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2017-12-10,Sun,Serie A,Matchweek 16,Home,W 2–1,Milan,Bologna,Y,GK,90,3,1,2,66.7,0,1.0,0,0,0,0,5,11,45.5,29,10,27.6,28.3,7,42.9,37.1,6,3,50.0,0,14.2,Match Report
32,2017-12-13,Wed,Coppa Italia,Round of 16,Home,W 3–0,Milan,Hellas Verona,Y,,90,2,0,2,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
33,2017-12-17,Sun,Serie A,Matchweek 17,Away,L 0–3,Milan,Hellas Verona,Y,GK,90,4,3,1,25.0,0,2.4,0,0,0,0,1,4,25.0,20,4,15.0,25.3,4,25.0,30.8,5,0,0.0,0,20.0,Match Report
34,2017-12-23,Sat,Serie A,Matchweek 18,Home,L 0–2,Milan,Atalanta,Y,GK,90,7,2,5,71.4,0,2.7,0,0,0,0,6,9,66.7,21,3,23.8,28.6,4,100.0,53.8,4,0,0.0,0,,Match Report
35,2017-12-27,Wed,Coppa Italia,Quarter-finals,Home,W 1–0,Milan,Inter,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
36,2017-12-30,Sat,Serie A,Matchweek 19,Away,D 1–1,Milan,Fiorentina,Y,GK,90,6,1,5,83.3,0,1.6,0,0,0,0,13,18,72.2,23,7,43.5,37.1,12,66.7,45.0,11,0,0.0,0,12.0,Match Report
37,2018-01-06,Sat,Serie A,Matchweek 20,Home,W 1–0,Milan,Crotone,Y,GK,90,3,0,3,100.0,1,0.8,0,0,0,0,4,8,50.0,21,4,23.8,29.3,3,100.0,61.7,11,2,18.2,0,11.0,Match Report
38,2018-01-21,Sun,Serie A,Matchweek 21,Away,W 2–1,Milan,Cagliari,Y,GK,90,2,1,1,50.0,0,0.4,0,0,0,0,5,18,27.8,32,4,43.8,35.7,9,44.4,37.0,9,0,0.0,3,14.9,Match Report
39,2018-01-28,Sun,Serie A,Matchweek 22,Home,W 2–1,Milan,Lazio,Y,GK,90,4,1,3,75.0,0,1.2,0,0,0,0,8,11,72.7,19,4,31.6,30.9,7,71.4,44.3,9,1,11.1,0,14.5,Match Report
40,2018-01-31,Wed,Coppa Italia,Semi-finals,Home,D 0–0,Milan,Lazio,Y,,90,5,0,5,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
41,2018-02-04,Sun,Serie A,Matchweek 23,Away,D 1–1,Milan,Udinese,Y,GK,90,3,1,3,66.7,0,1.1,0,0,0,0,6,14,42.9,14,2,42.9,35.3,9,88.9,51.3,15,0,0.0,0,15.5,Match Report
42,2018-02-10,Sat,Serie A,Matchweek 24,Away,W 4–0,Milan,SPAL,Y,GK,90,0,0,0,,1,0.0,0,0,0,0,5,10,50.0,25,3,32.0,32.2,8,25.0,33.0,8,0,0.0,0,12.5,Match Report
43,2018-02-15,Thu,Europa Lg,Round of 32,Neutral,W 3–0,it  Milan,bg  Ludogorets,Y,GK,90,1,0,1,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
44,2018-02-18,Sun,Serie A,Matchweek 25,Home,W 1–0,Milan,Sampdoria,Y,GK,90,2,0,2,100.0,1,0.1,0,0,0,0,4,14,28.6,27,4,44.4,38.1,3,66.7,55.0,6,1,16.7,1,22.5,Match Report
45,2018-02-22,Thu,Europa Lg,Round of 32,Neutral,W 1–0,it  Milan,bg  Ludogorets,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
46,2018-02-25,Sun,Serie A,Matchweek 26,Away,W 2–0,Milan,Roma,Y,GK,90,3,0,3,100.0,1,0.2,0,0,0,0,8,15,53.3,25,3,48.0,35.8,5,60.0,45.0,19,1,5.3,0,11.0,Match Report
47,2018-02-28,Wed,Coppa Italia,Semi-finals,Away,D 0  (5)  –0  (4),Milan,Lazio,Y,,120,6,0,6,100.0,1,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
48,2018-03-08,Thu,Europa Lg,Round of 16,Home,L 0–2,it  Milan,eng  Arsenal,Y,GK,90,4,2,2,50.0,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
49,2018-03-11,Sun,Serie A,Matchweek 28,Away,W 1–0,Milan,Genoa,Y,GK,90,2,0,2,100.0,1,0.7,0,0,0,0,2,3,66.7,13,4,23.1,26.8,1,0.0,25.0,9,0,0.0,0,8.7,Match Report
50,2018-03-15,Thu,Europa Lg,Round of 16,Away,L 1–3,it  Milan,eng  Arsenal,Y,GK,90,8,3,6,75.0,0,,1,1,0,0,,,,,,,,,,,,,,,,Match Report
51,2018-03-18,Sun,Serie A,Matchweek 29,Home,W 3–2,Milan,Chievo,Y,GK,90,3,2,1,33.3,0,1.5,0,0,0,0,1,5,20.0,22,3,13.6,22.2,3,66.7,61.3,10,1,10.0,0,15.0,Match Report
52,2018-03-23,Fri,Friendlies (M),Friendlies (M),Away,L 0–2,it  Italy,ar  Argentina,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
53,2018-03-27,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,it  Italy,eng  England,Y,GK,90,,1,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
54,2018-03-31,Sat,Serie A,Matchweek 30,Away,L 1–3,Milan,Juventus,Y,GK,90,4,3,1,25.0,0,0.8,0,0,0,0,3,13,23.1,23,2,39.1,33.9,4,100.0,58.0,6,0,0.0,0,15.8,Match Report
55,2018-04-04,Wed,Serie A,Matchweek 27,Home,D 0–0,Milan,Inter,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,4,11,36.4,27,5,33.3,32.8,6,33.3,34.2,13,2,15.4,0,11.0,Match Report
56,2018-04-08,Sun,Serie A,Matchweek 31,Home,D 1–1,Milan,Sassuolo,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,3,4,75.0,27,4,14.8,23.7,0,,,4,0,0.0,0,15.2,Match Report
57,2018-04-15,Sun,Serie A,Matchweek 32,Home,D 0–0,Milan,Napoli,Y,GK,90,4,0,4,100.0,1,1.2,0,0,0,0,10,11,90.9,37,4,27.0,27.1,2,50.0,36.0,9,1,11.1,1,15.8,Match Report
58,2018-04-18,Wed,Serie A,Matchweek 33,Away,D 1–1,Milan,Torino,Y,GK,90,5,1,4,80.0,0,1.3,1,0,0,1,3,9,33.3,30,3,26.7,28.9,2,50.0,44.5,6,1,16.7,0,13.5,Match Report
59,2018-04-21,Sat,Serie A,Matchweek 34,Home,L 0–1,Milan,Benevento,Y,GK,90,1,1,0,0.0,0,0.2,0,0,0,0,0,1,0.0,20,3,5.0,20.7,1,0.0,24.0,2,1,50.0,0,10.5,Match Report
60,2018-04-29,Sun,Serie A,Matchweek 35,Away,W 2–1,Milan,Bologna,Y,GK,90,6,1,5,83.3,0,1.8,0,0,0,0,7,13,53.8,21,2,23.8,27.6,12,66.7,43.4,9,0,0.0,0,4.0,Match Report
61,2018-05-05,Sat,Serie A,Matchweek 36,Home,W 4–1,Milan,Hellas Verona,Y,GK,90,2,1,1,50.0,0,0.5,0,0,0,0,4,5,80.0,16,3,25.0,30.4,5,20.0,30.0,8,1,12.5,0,5.0,Match Report
62,2018-05-09,Wed,Coppa Italia,Final,Neutral,L 0–4,Milan,Juventus,Y,,90,11,4,7,63.6,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
63,2018-05-13,Sun,Serie A,Matchweek 37,Away,D 1–1,Milan,Atalanta,Y,GK,90,5,1,4,80.0,0,1.0,0,0,0,0,9,16,56.3,25,3,36.0,34.4,16,43.8,40.2,6,1,16.7,0,16.3,Match Report
64,2018-05-20,Sun,Serie A,Matchweek 38,Home,W 5–1,Milan,Fiorentina,Y,GK,90,3,1,2,66.7,0,1.0,0,0,0,0,6,8,75.0,35,3,20.0,28.3,5,20.0,30.6,3,0,0.0,1,16.6,Match Report
65,2018-05-28,Mon,Friendlies (M),Friendlies (M),Away,W 2–1,it  Italy,sa  Saudi Arabia,Y,GK,90,,1,,,0,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2018-06-04,Mon,Friendlies (M),Friendlies (M),Home,D 1–1,it  Italy,nl  Netherlands,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
68,,,,,,27-15-13,,,55/55,,4980,183,57,133,72.1,21,40.8,5,4,0,1,192,402,47.8,892,136,33.0,31.5,194,55.7,42.2,305,23,7.5,14,14.4,
