,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA_Performance,GA_Performance,Saves_Performance,Save%_Performance,CS_Performance,PKatt_Penalty Kicks,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Match Report
0,2016-08-21,Sun,Serie A,Matchweek 1,Home,W 3–2,Milan,Torino,Y,GK,90,2,2,1,0.0,0,2,0,1,1,Match Report
1,2016-08-27,Sat,Serie A,Matchweek 2,Away,L 2–4,Milan,Napoli,Y,GK,90,8,4,4,50.0,0,0,0,0,0,Match Report
2,2016-09-01,Thu,Friendlies (M),Friendlies (M),Home,L 1–3,it  Italy,fr  France,N,,45,,,,,0,0,0,0,0,Match Report
3,2016-09-05,Mon,WCQ — UEFA (M),First round,Away,W 3–1,it  Italy,il  Israel,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
4,2016-09-11,Sun,Serie A,Matchweek 3,Home,L 0–1,Milan,Udinese,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report
5,2016-09-16,Fri,Serie A,Matchweek 4,Away,W 1–0,Milan,Sampdoria,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
6,2016-09-20,Tue,Serie A,Matchweek 5,Home,W 2–0,Milan,Lazio,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
7,2016-09-25,Sun,Serie A,Matchweek 6,Away,D 0–0,Milan,Fiorentina,Y,GK,90,5,0,5,100.0,1,1,0,0,1,Match Report
8,2016-10-02,Sun,Serie A,Matchweek 7,Home,W 4–3,Milan,Sassuolo,Y,GK,90,5,3,2,40.0,0,0,0,0,0,Match Report
9,2016-10-06,Thu,WCQ — UEFA (M),First round,Home,D 1–1,it  Italy,es  Spain,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2016-10-09,Sun,WCQ — UEFA (M),First round,Away,W 3–2,it  Italy,mk  North Macedonia,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
11,2016-10-16,Sun,Serie A,Matchweek 8,Away,W 3–1,Milan,Chievo,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
12,2016-10-22,Sat,Serie A,Matchweek 9,Home,W 1–0,Milan,Juventus,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report
13,2016-10-25,Tue,Serie A,Matchweek 10,Away,L 0–3,Milan,Genoa,Y,GK,90,4,3,1,25.0,0,0,0,0,0,Match Report
14,2016-10-30,Sun,Serie A,Matchweek 11,Home,W 1–0,Milan,Pescara,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report
15,2016-11-06,Sun,Serie A,Matchweek 12,Away,W 2–1,Milan,Palermo,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
16,2016-11-12,Sat,WCQ — UEFA (M),First round,Away,W 4–0,it  Italy,li  Liechtenstein,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
17,2016-11-15,Tue,Friendlies (M),Friendlies (M),Home,D 0–0,it  Italy,de  Germany,N,,45,,,,,1,0,0,0,0,Match Report
18,2016-11-20,Sun,Serie A,Matchweek 13,Home,D 2–2,Milan,Inter,Y,GK,90,7,2,5,71.4,0,0,0,0,0,Match Report
19,2016-11-26,Sat,Serie A,Matchweek 14,Away,W 4–1,Milan,Empoli,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
20,2016-12-04,Sun,Serie A,Matchweek 15,Home,W 2–1,Milan,Crotone,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report
21,2016-12-12,Mon,Serie A,Matchweek 16,Away,L 0–1,Milan,Roma,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
22,2016-12-17,Sat,Serie A,Matchweek 17,Home,D 0–0,Milan,Atalanta,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report
23,2016-12-23,Fri,Supercoppa Italiana,Supercoppa Italiana,Away,D 1  (4)  –1  (3),Milan,Juventus,Y,GK,120,0,1,0,,,0,0,0,0,Match Report
24,2017-01-08,Sun,Serie A,Matchweek 19,Home,W 1–0,Milan,Cagliari,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report
25,2017-01-12,Thu,Coppa Italia,Round of 16,Home,W 2–1,Milan,Torino,Y,,90,,1,,,0,0,0,0,0,Match Report
26,2017-01-16,Mon,Serie A,Matchweek 20,Away,D 2–2,Milan,Torino,Y,GK,90,5,2,4,60.0,0,1,0,1,0,Match Report
27,2017-01-21,Sat,Serie A,Matchweek 21,Home,L 1–2,Milan,Napoli,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
28,2017-01-25,Wed,Coppa Italia,Quarter-finals,Away,L 1–2,Milan,Juventus,Y,,90,,2,,,0,0,0,0,0,Match Report
29,2017-01-29,Sun,Serie A,Matchweek 22,Away,L 1–2,Milan,Udinese,Y,GK,90,5,2,3,60.0,0,0,0,0,0,Match Report
30,2017-02-05,Sun,Serie A,Matchweek 23,Home,L 0–1,Milan,Sampdoria,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
31,2017-02-08,Wed,Serie A,Matchweek 18,Away,W 1–0,Milan,Bologna,Y*,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report
32,2017-02-13,Mon,Serie A,Matchweek 24,Away,D 1–1,Milan,Lazio,Y,GK,90,9,1,9,100.0,0,1,1,0,0,Match Report
33,2017-02-19,Sun,Serie A,Matchweek 25,Home,W 2–1,Milan,Fiorentina,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
34,2017-02-26,Sun,Serie A,Matchweek 26,Away,W 1–0,Milan,Sassuolo,Y,GK,90,5,0,5,100.0,1,1,0,0,1,Match Report
35,2017-03-04,Sat,Serie A,Matchweek 27,Home,W 3–1,Milan,Chievo,Y,GK,90,2,1,2,100.0,0,1,1,0,0,Match Report
36,2017-03-10,Fri,Serie A,Matchweek 28,Away,L 1–2,Milan,Juventus,Y,GK,90,10,2,9,90.0,0,1,1,0,0,Match Report
37,2017-03-18,Sat,Serie A,Matchweek 29,Home,W 1–0,Milan,Genoa,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
38,2017-03-24,Fri,WCQ — UEFA (M),First round,Home,W 2–0,it  Italy,al  Albania,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
39,2017-03-28,Tue,Friendlies (M),Friendlies (M),Away,W 2–1,it  Italy,nl  Netherlands,Y,GK,90,,1,,,0,0,0,0,0,Match Report
40,2017-04-02,Sun,Serie A,Matchweek 30,Away,D 1–1,Milan,Pescara,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report
41,2017-04-09,Sun,Serie A,Matchweek 31,Home,W 4–0,Milan,Palermo,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report
42,2017-04-15,Sat,Serie A,Matchweek 32,Away,D 2–2,Milan,Inter,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report
43,2017-04-23,Sun,Serie A,Matchweek 33,Home,L 1–2,Milan,Empoli,Y,GK,90,7,2,5,71.4,0,0,0,0,0,Match Report
44,2017-04-30,Sun,Serie A,Matchweek 34,Away,D 1–1,Milan,Crotone,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report
45,2017-05-07,Sun,Serie A,Matchweek 35,Home,L 1–4,Milan,Roma,Y,GK,90,9,4,6,66.7,0,1,1,0,0,Match Report
46,2017-05-13,Sat,Serie A,Matchweek 36,Away,D 1–1,Milan,Atalanta,Y,GK,90,7,1,6,85.7,0,0,0,0,0,Match Report
47,2017-05-21,Sun,Serie A,Matchweek 37,Home,W 3–0,Milan,Bologna,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report
48,2017-05-28,Sun,Serie A,Matchweek 38,Away,L 1–2,Milan,Cagliari,Y,GK,90,9,2,7,77.8,0,0,0,0,0,Match Report
49,2017-06-07,Wed,Friendlies (M),Friendlies (M),Home,W 3–0,it  Italy,uy  Uruguay,Y,GK,90,,0,,,1,0,0,0,0,Match Report
50,2017-06-11,Sun,WCQ — UEFA (M),First round,Home,W 5–0,it  Italy,li  Liechtenstein,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
51,,,,,,21-11-13,,,43/45,,3990,182,50,144,77.5,14,10,5,2,3,
