,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,3,204,68,6.0,2.3,3,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.6,2.9,-1.3,-0.58,-0.40
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,39,42,-3,-0.08,,40.6,44.9,-4.3,-0.11,
2,Aymen Abdennour,tn  TUN,DF,Marseille,28,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
3,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,26,2023,78,59.2,22.5,23,84,16,3,27,1,0.81,18,30,-12,-0.53,+0.56,22.2,34.7,-12.4,-0.55,+0.03
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,3,32,11,0.9,0.4,0,,0,3,10,4,1.67,0,0,0,0.00,-0.48,0.9,1.5,-0.6,-1.76,-1.92
5,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,23,1994,87,58.3,22.2,22,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,19.0,26.7,-7.6,-0.34,-0.07
6,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,7,216,31,6.3,2.4,2,73,0,5,14,3,0.57,0,2,-2,-0.83,-0.66,1.8,2.6,-0.8,-0.33,0.00
7,Amir Adouyev,ru  RUS,MF,Montpellier,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
8,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,13,1050,81,30.7,11.7,12,87,10,1,2,7,0.85,11,17,-6,-0.51,+0.36,10.3,17.4,-7.1,-0.61,-0.06
9,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,29,2528,87,73.9,28.1,29,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,34.8,32.8,+2.0,+0.07,+0.07
