,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,2.3,3,0,0,6,0,0,5,5,4,0,0,0,22,1,4,20.0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38.0,2,0,0,33,21,1,0,46,35,0,1,1,327,88,47,65.2
2,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,22.5,6,0,0,57,29,1,13,24,40,0,0,0,256,16,14,53.3
3,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,0.4,0,0,0,2,1,0,0,1,4,0,0,0,6,2,1,66.7
4,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,22.2,7,1,1,33,21,2,0,19,24,0,0,1,249,42,37,53.2
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,2.4,1,0,0,4,1,0,7,1,1,0,0,0,21,2,1,66.7
6,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,11.7,4,1,0,20,8,1,1,4,14,0,0,0,90,30,12,71.4
7,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,28.1,8,0,0,38,41,1,81,26,55,0,1,0,269,25,28,47.2
8,Jean-Eudes Aholou,ci  CIV,MF,Monaco,24,1994,11.9,2,0,0,26,17,0,2,11,17,0,0,0,119,12,12,50.0
9,Rayan Aït Nouri,fr  FRA,DF,Angers,17,2001,0.6,1,0,0,1,1,0,1,0,2,0,1,0,3,0,2,0.0
10,Ludovic Ajorque,re  REU,FW,Strasbourg,24,1994,17.0,5,0,0,45,17,3,8,6,7,1,0,0,63,87,52,62.6
11,Sofiane Alakouch,fr  FRA,DF,Nîmes,20,1998,21.1,4,0,0,29,31,0,26,29,36,0,0,0,202,12,22,35.3
