,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,2.3,2,0.88,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38.0,20,0.53,15,0,3,2,0,0,1,0.03,1,0,0,0,0,0
2,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,22.5,43,1.91,32,5,3,1,1,1,2,0.09,2,0,0,0,0,0
3,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0
4,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,22.2,7,0.32,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,2.4,7,2.92,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,11.7,6,0.51,4,1,1,0,0,0,0,0.00,0,0,0,0,0,0
7,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,28.1,98,3.49,74,7,5,2,7,3,9,0.32,5,0,1,1,1,1
8,Jean-Eudes Aholou,ci  CIV,MF,Monaco,24,1994,11.9,20,1.67,16,0,0,3,0,1,2,0.17,1,0,0,1,0,0
9,Rayan Aït Nouri,fr  FRA,DF,Angers,17,2001,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Ludovic Ajorque,re  REU,FW,Strasbourg,24,1994,17.0,31,1.82,19,0,1,3,6,2,5,0.29,2,0,1,1,0,1
11,Sofiane Alakouch,fr  FRA,DF,Nîmes,20,1998,21.1,43,2.04,32,4,3,0,4,0,4,0.19,3,0,0,0,1,0
12,Alexis Alegue,fr  FRA,FW,Nantes,21,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,23,1995,25.0,2,0.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Rachid Alioui,ma  MAR,FW,Nîmes,26,1992,13.9,32,2.30,24,0,3,4,0,1,1,0.07,1,0,0,0,0,0
15,Bobby Allain,fr  FRA,GK,Dijon,26,1991,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Mickaël Alphonse,GPE,DF,Dijon,29,1989,6.3,14,2.21,11,2,0,1,0,0,1,0.16,0,0,0,1,0,0
17,Dani Alves,br  BRA,"MF,DF",Paris S-G,35,1983,18.0,56,3.11,51,1,0,1,2,1,11,0.61,10,0,0,0,0,1
18,Romain Amalfitano,fr  FRA,"MF,FW",Dijon,28,1989,28.0,33,1.18,26,0,1,2,3,1,2,0.07,1,0,0,1,0,0
19,Jordan Amavi,fr  FRA,DF,Marseille,24,1994,24.2,42,1.74,33,3,2,1,1,2,3,0.12,3,0,0,0,0,0
20,Kelvin Amian,fr  FRA,DF,Toulouse,20,1998,32.0,25,0.78,18,4,2,1,0,0,1,0.03,1,0,0,0,0,0
21,Yanis Ammour,fr  FRA,MF,Montpellier,19,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
22,Benjamin André,fr  FRA,MF,Rennes,27,1990,27.7,59,2.13,44,1,2,1,8,3,5,0.18,4,0,0,0,1,0
23,Yoann Andreu,fr  FRA,DF,Angers,29,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Houssem Aouar,fr  FRA,MF,Lyon,20,1998,34.0,111,3.26,83,0,4,11,9,4,19,0.56,10,0,0,3,5,1
25,Luiz Araújo,br  BRA,"FW,MF",Lille,22,1996,8.7,26,3.00,18,3,2,2,1,0,4,0.46,3,0,1,0,0,0
26,Alphonse Areola,fr  FRA,GK,Paris S-G,25,1993,21.0,1,0.05,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
27,Yoël Armougom,fr  FRA,"DF,MF",Caen,20,1998,20.6,27,1.31,24,0,0,1,1,1,1,0.05,1,0,0,0,0,0
28,Youcef Attal,dz  ALG,"DF,MF",Nice,22,1996,25.1,75,2.98,44,3,17,2,8,1,2,0.08,1,0,0,1,0,0
29,Ludovic Baal,gf  GUF,DF,Rennes,32,1986,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Stéphane Bahoken,cm  CMR,FW,Angers,26,1992,27.4,51,1.86,36,1,2,4,4,4,3,0.11,2,0,0,1,0,0
31,Florent Balmont,fr  FRA,MF,Dijon,38,1980,12.0,29,2.43,23,6,0,0,0,0,1,0.08,1,0,0,0,0,0
32,Abdoulaye Bamba,ci  CIV,DF,Angers,28,1990,28.6,33,1.15,30,2,0,0,1,0,6,0.21,6,0,0,0,0,0
33,Jonathan Bamba,fr  FRA,"FW,MF",Lille,22,1996,33.4,94,2.82,77,2,2,3,7,3,9,0.27,5,0,1,1,1,1
34,Yacine Bammou,ma  MAR,"FW,MF",Caen,26,1991,10.3,18,1.76,16,0,1,1,0,0,1,0.10,1,0,0,0,0,0
35,Danilo Barbosa,br  BRA,MF,Nice,22,1996,17.2,34,1.98,21,1,2,4,6,0,1,0.06,0,0,0,0,1,0
36,Antonio Barreca,it  ITA,DF,Monaco,23,1995,6.6,9,1.37,8,0,0,0,1,0,1,0.15,1,0,0,0,0,0
37,Toma Bašić,hr  CRO,MF,Bordeaux,21,1996,14.8,30,2.03,17,10,0,1,2,0,0,0.00,0,0,0,0,0,0
38,Thomas Basila,fr  FRA,DF,Nantes,19,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
39,Claudio Beauvue,GPE,FW,Caen,30,1988,16.7,25,1.50,14,1,3,2,4,1,4,0.24,0,0,2,1,1,0
40,Hatem Ben Arfa,fr  FRA,"MF,FW",Rennes,31,1987,22.6,94,4.16,54,9,17,5,9,0,4,0.18,2,2,0,0,0,0
41,Diego Benaglio,ch  SUI,GK,Monaco,34,1983,22.9,1,0.04,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
42,Nicolas Benezet,fr  FRA,"MF,FW",Guingamp,27,1991,18.5,81,4.38,46,21,5,4,5,0,4,0.22,2,2,0,0,0,0
