,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per 90 Minutes,xA_Per 90 Minutes,xG+xA_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xA_Per 90 Minutes
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.20,0.20,0.00,0.20
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.8,0.04,0.00,0.05,0.04,0.05
2,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,26,23,2023,22.5,3,0,2,1,1,6,0,0.13,0.00,0.13,0.09,0.09,3.1,2.4,1.5,3.8,0.14,0.06,0.20,0.11,0.17
3,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.45,0.00,0.45,0.45,0.45
4,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,23,22,1994,22.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.04,0.00,0.04,0.04,0.04
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39
6,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.00,0.13,0.13,0.13
7,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14
8,Jean-Eudes Aholou,ci  CIV,MF,Monaco,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07
9,Rayan Aït Nouri,fr  FRA,DF,Angers,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
10,Ludovic Ajorque,re  REU,FW,Strasbourg,24,1994,25,18,1531,17.0,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.8,0.34,0.06,0.40,0.34,0.40
11,Sofiane Alakouch,fr  FRA,DF,Nîmes,20,1998,25,23,1895,21.1,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.08,0.11,0.03,0.11
12,Alexis Alegue,fr  FRA,FW,Nantes,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
