,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,GA_Performance,GA90_Performance,SoTA_Performance,Saves_Performance,Save%_Performance,W,D,L,CS_Performance,CS%_Performance,PKatt_Performance,PKA_Penalty Kicks,PKsv_Penalty Kicks,PKm_Penalty Kicks,Save%_Penalty Kicks
0,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,23,1995,25,25,2250,25.0,44,1.76,96,55,56.3,7,5,13,5,20.0,2,2,0,0,0.0
1,Bobby Allain,fr  FRA,GK,Dijon,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0
2,Alphonse Areola,fr  FRA,GK,Paris S-G,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0
3,Diego Benaglio,ch  SUI,GK,Monaco,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0
4,Walter Benítez,ar  ARG,GK,Nice,25,1993,35,35,3150,35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0
5,Paul Bernardoni,fr  FRA,GK,Nîmes,21,1997,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0
6,Dimitry Bertaud,fr  FRA,GK,Montpellier,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
7,Zacharie Boucher,fr  FRA,GK,Angers,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
8,Gianluigi Buffon,it  ITA,GK,Paris S-G,40,1978,17,17,1530,17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0
9,Ludovic Butelle,fr  FRA,GK,Angers,35,1983,36,36,3239,36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0
