,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,2.3,80,122,65.6,1603,786,33,40,82.5,36,59,61.0,11,18,61.1,0,0.5,-0.5,1,6,2,2,12
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38.0,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59
2,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,22.5,919,1081,85.0,17137,3889,403,438,92.0,377,431,87.5,121,183,66.1,0,1.5,-1.5,23,87,11,2,72
3,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,0.4,6,16,37.5,58,15,5,7,71.4,1,4,25.0,0,3,0.0,0,0.0,0.0,0,0,2,0,2
4,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,22.2,842,967,87.1,19080,6527,203,230,88.3,453,486,93.2,179,239,74.9,0,0.1,-0.1,3,62,4,0,63
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,2.4,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16
6,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,11.7,452,577,78.3,10088,4103,130,143,90.9,233,260,89.6,85,162,52.5,0,0.1,-0.1,2,37,3,1,24
7,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,28.1,1328,1642,80.9,22716,9218,666,747,89.2,541,646,83.7,112,204,54.9,4,3.2,+0.8,46,77,47,24,145
8,Jean-Eudes Aholou,ci  CIV,MF,Monaco,24,1994,11.9,465,552,84.2,8682,2135,177,207,85.5,228,251,90.8,51,80,63.8,1,0.2,+0.8,4,48,4,0,53
9,Rayan Aït Nouri,fr  FRA,DF,Angers,17,2001,0.6,30,33,90.9,364,152,23,23,100.0,6,9,66.7,0,0,,0,0.0,0.0,0,2,1,0,1
10,Ludovic Ajorque,re  REU,FW,Strasbourg,24,1994,17.0,355,467,76.0,5737,672,204,261,78.2,105,133,78.9,38,50,76.0,1,1.0,0.0,12,18,7,2,20
11,Sofiane Alakouch,fr  FRA,DF,Nîmes,20,1998,21.1,837,1104,75.8,13415,6145,476,547,87.0,290,366,79.2,58,142,40.8,0,1.8,-1.8,23,54,15,3,72
12,Alexis Alegue,fr  FRA,FW,Nantes,21,1996,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
13,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,23,1995,25.0,581,831,69.9,20037,13462,58,61,95.1,258,265,97.4,264,502,52.6,0,0.0,0.0,0,13,0,0,0
14,Rachid Alioui,ma  MAR,FW,Nîmes,26,1992,13.9,273,383,71.3,3904,805,171,208,82.2,73,113,64.6,13,32,40.6,0,1.2,-1.2,19,16,16,3,30
15,Bobby Allain,fr  FRA,GK,Dijon,26,1991,13.0,288,466,61.8,11722,9063,20,20,100.0,97,103,94.2,171,343,49.9,0,0.0,0.0,0,10,0,0,0
16,Mickaël Alphonse,GPE,DF,Dijon,29,1989,6.3,197,307,64.2,3517,1385,89,106,84.0,78,112,69.6,28,79,35.4,0,0.4,-0.4,8,18,4,2,22
17,Dani Alves,br  BRA,"MF,DF",Paris S-G,35,1983,18.0,1327,1589,83.5,21324,7177,725,784,92.5,466,544,85.7,106,187,56.7,7,7.0,0.0,33,143,50,12,165
18,Romain Amalfitano,fr  FRA,"MF,FW",Dijon,28,1989,28.0,839,1071,78.3,17547,4607,308,369,83.5,355,413,86.0,163,260,62.7,0,0.9,-0.9,15,107,29,6,108
19,Jordan Amavi,fr  FRA,DF,Marseille,24,1994,24.2,967,1295,74.7,18118,5676,377,449,84.0,458,586,78.2,123,212,58.0,2,2.0,0.0,24,58,20,14,100
20,Kelvin Amian,fr  FRA,DF,Toulouse,20,1998,32.0,938,1188,79.0,15948,6779,493,552,89.3,328,413,79.4,98,174,56.3,1,0.7,+0.3,8,75,10,3,86
21,Yanis Ammour,fr  FRA,MF,Montpellier,19,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
22,Benjamin André,fr  FRA,MF,Rennes,27,1990,27.7,1182,1479,79.9,20444,5361,557,650,85.7,492,595,82.7,108,173,62.4,1,1.2,-0.2,22,111,23,2,132
23,Yoann Andreu,fr  FRA,DF,Angers,29,1989,0.0,1,1,100.0,10,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
24,Houssem Aouar,fr  FRA,MF,Lyon,20,1998,34.0,1801,2069,87.0,32190,7580,833,929,89.7,731,798,91.6,210,269,78.1,7,3.3,+3.7,40,202,38,0,191
25,Luiz Araújo,br  BRA,"FW,MF",Lille,22,1996,8.7,232,311,74.6,4587,1114,113,132,85.6,75,99,75.8,42,69,60.9,2,1.2,+0.8,12,19,10,5,26
26,Alphonse Areola,fr  FRA,GK,Paris S-G,25,1993,21.0,437,508,86.0,11542,7081,75,75,100.0,235,238,98.7,127,194,65.5,0,0.0,0.0,0,1,0,0,0
27,Yoël Armougom,fr  FRA,"DF,MF",Caen,20,1998,20.6,636,910,69.9,12063,5322,274,327,83.8,267,353,75.6,87,204,42.6,1,1.4,-0.4,15,54,19,10,58
28,Youcef Attal,dz  ALG,"DF,MF",Nice,22,1996,25.1,1027,1278,80.4,16417,4718,528,615,85.9,409,486,84.2,67,127,52.8,0,3.3,-3.3,27,51,24,10,78
29,Ludovic Baal,gf  GUF,DF,Rennes,32,1986,1.4,70,90,77.8,1145,600,33,37,89.2,31,35,88.6,5,15,33.3,0,0.0,0.0,0,3,1,1,5
30,Stéphane Bahoken,cm  CMR,FW,Angers,26,1992,27.4,349,512,68.2,5108,834,203,272,74.6,114,165,69.1,20,36,55.6,1,2.9,-1.9,25,18,12,6,22
31,Florent Balmont,fr  FRA,MF,Dijon,38,1980,12.0,579,711,81.4,10531,3443,254,280,90.7,249,276,90.2,69,136,50.7,1,0.9,+0.1,16,76,13,4,62
32,Abdoulaye Bamba,ci  CIV,DF,Angers,28,1990,28.6,976,1276,76.5,16250,7266,485,546,88.8,414,520,79.6,69,172,40.1,4,1.6,+2.4,17,61,20,10,83
33,Jonathan Bamba,fr  FRA,"FW,MF",Lille,22,1996,33.4,962,1224,78.6,15260,4445,521,610,85.4,339,403,84.1,70,137,51.1,3,6.0,-3.0,43,78,37,10,114
34,Yacine Bammou,ma  MAR,"FW,MF",Caen,26,1991,10.3,227,317,71.6,3423,823,134,157,85.4,73,96,76.0,16,43,37.2,0,0.5,-0.5,7,2,6,4,19
35,Danilo Barbosa,br  BRA,MF,Nice,22,1996,17.2,581,671,86.6,9156,2065,314,350,89.7,220,246,89.4,35,51,68.6,0,0.7,-0.7,14,47,5,0,49
36,Antonio Barreca,it  ITA,DF,Monaco,23,1995,6.6,204,289,70.6,3782,1842,78,101,77.2,111,136,81.6,15,41,36.6,1,0.4,+0.6,7,9,6,3,18
37,Toma Bašić,hr  CRO,MF,Bordeaux,21,1996,14.8,480,620,77.4,9545,2502,196,229,85.6,197,231,85.3,81,141,57.4,0,2.2,-2.2,23,47,7,3,49
38,Thomas Basila,fr  FRA,DF,Nantes,19,1999,1.0,22,26,84.6,483,208,5,5,100.0,14,17,82.4,3,4,75.0,0,0.0,0.0,0,2,0,0,1
39,Claudio Beauvue,GPE,FW,Caen,30,1988,16.7,248,389,63.8,4032,863,136,191,71.2,81,127,63.8,24,48,50.0,0,1.5,-1.5,14,15,10,6,23
40,Hatem Ben Arfa,fr  FRA,"MF,FW",Rennes,31,1987,22.6,747,926,80.7,13215,3314,382,431,88.6,262,299,87.6,95,172,55.2,2,3.1,-1.1,35,77,28,2,89
41,Diego Benaglio,ch  SUI,GK,Monaco,34,1983,22.9,459,618,74.3,13523,8579,63,63,100.0,248,250,99.2,148,304,48.7,0,0.0,0.0,0,2,0,0,0
42,Nicolas Benezet,fr  FRA,"MF,FW",Guingamp,27,1991,18.5,624,911,68.5,10504,3225,335,422,79.4,211,304,69.4,68,151,45.0,1,3.7,-2.7,45,46,18,3,67
43,Walter Benítez,ar  ARG,GK,Nice,25,1993,35.0,895,1143,78.3,25176,15598,133,133,100.0,472,479,98.5,288,528,54.5,0,0.0,0.0,0,2,0,0,0
44,Yassine Benrahou,fr  FRA,"MF,DF",Bordeaux,19,1999,2.0,81,111,73.0,1080,178,52,60,86.7,26,29,89.7,2,17,11.8,0,0.1,-0.1,2,4,1,0,3
45,Ramy Bensebaini,dz  ALG,DF,Rennes,23,1995,23.9,991,1267,78.2,18660,7581,437,496,88.1,419,505,83.0,126,225,56.0,0,1.1,-1.1,12,60,13,8,99
46,Yassine Benzia,dz  ALG,MF,Lille,23,1994,1.8,81,100,81.0,1661,609,36,45,80.0,33,37,89.2,11,15,73.3,1,0.6,+0.4,5,17,3,0,20
47,Robert Berić,si  SVN,FW,Saint-Étienne,27,1991,13.1,137,194,70.6,1730,350,75,100,75.0,40,55,72.7,5,10,50.0,1,1.3,-0.3,9,8,4,1,10
48,Paul Bernardoni,fr  FRA,GK,Nîmes,21,1997,38.0,627,1113,56.3,23900,17715,68,69,98.6,251,256,98.0,308,786,39.2,0,0.3,-0.3,5,23,1,0,0
49,Juan Bernat,es  ESP,"DF,MF",Paris S-G,25,1993,20.4,1063,1202,88.4,16651,3878,592,635,93.2,400,447,89.5,61,91,67.0,2,3.4,-1.4,23,54,18,5,57
50,Antoine Bernede,fr  FRA,MF,Paris S-G,19,1999,1.9,158,166,95.2,2709,828,62,64,96.9,89,92,96.7,6,9,66.7,0,0.1,-0.1,1,29,1,0,18
51,Dimitry Bertaud,fr  FRA,GK,Montpellier,20,1998,1.0,18,36,50.0,735,535,2,2,100.0,5,5,100.0,11,28,39.3,0,0.0,0.0,0,0,0,0,0
52,Giulian Biancone,fr  FRA,DF,Monaco,18,2000,1.0,35,48,72.9,643,280,16,20,80.0,15,19,78.9,4,8,50.0,0,0.0,0.0,0,1,3,1,3
53,Ludovic Blas,fr  FRA,"MF,FW",Guingamp,20,1997,26.4,716,939,76.3,14528,3846,270,342,78.9,318,393,80.9,118,171,69.0,6,2.5,+3.5,18,110,18,3,96
54,Alexis Blin,fr  FRA,MF,Amiens,21,1996,22.1,761,928,82.0,13277,3953,369,431,85.6,298,352,84.7,81,114,71.1,1,0.4,+0.6,9,73,8,1,78
55,Antonin Bobichon,fr  FRA,MF,Nîmes,22,1995,23.9,729,891,81.8,13580,3665,330,375,88.0,284,322,88.2,106,173,61.3,2,2.3,-0.3,28,77,7,1,73
56,Yann Bodiger,fr  FRA,MF,Toulouse,23,1995,0.1,9,13,69.2,126,49,4,8,50.0,4,4,100.0,0,0,,0,0.0,0.0,0,2,0,0,1
57,Mathieu Bodmer,fr  FRA,"MF,FW",Amiens,35,1982,11.9,446,636,70.1,7868,2219,215,280,76.8,164,237,69.2,61,95,64.2,0,1.0,-1.0,16,47,12,1,62
58,Sacha Boey,fr  FRA,"DF,MF",Rennes,17,2000,0.2,1,2,50.0,16,15,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1
59,Olivier Boscagli,fr  FRA,"DF,MF",Nice,20,1997,9.6,503,648,77.6,10122,3460,204,243,84.0,206,250,82.4,89,146,61.0,1,0.8,+0.2,11,36,5,3,45
60,Gabriel Boschilia,br  BRA,"FW,MF",Nantes,22,1996,14.7,422,554,76.2,6570,2158,256,297,86.2,122,146,83.6,37,91,40.7,4,2.5,+1.5,33,36,16,3,44
61,John Bostock,tt  TRI,MF,Toulouse,26,1992,10.9,508,606,83.8,8910,2605,247,266,92.9,192,220,87.3,62,106,58.5,0,0.5,-0.5,8,47,3,0,49
62,Denis Bouanga,ga  GAB,"FW,MF",Nîmes,23,1994,29.3,456,678,67.3,6945,2105,294,377,78.0,109,166,65.7,43,101,42.6,2,2.8,-0.8,31,34,23,12,48
63,Zacharie Boucher,fr  FRA,GK,Angers,26,1992,2.0,30,54,55.6,1061,705,2,3,66.7,14,14,100.0,14,37,37.8,0,0.0,0.0,0,0,0,0,0
64,Arnold Bouka Moutou,cg  CGO,"DF,FW",Dijon,29,1988,0.7,20,28,71.4,343,201,8,9,88.9,8,11,72.7,2,5,40.0,0,0.0,0.0,0,1,0,0,2
65,Benjamin Bourigeaud,fr  FRA,"MF,FW",Rennes,24,1994,26.9,922,1227,75.1,19042,4882,364,427,85.2,368,444,82.9,175,310,56.5,5,2.9,+2.1,37,90,24,8,100
