,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Ismael Aaneba,fr  FRA,DF,Strasbourg,19,1999,2.3,122,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,80,0,6,0,10
1,Yunis Abdelhamid,ma  MAR,DF,Reims,30,1987,38.0,1576,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,1318,4,36,9,22
2,Mehdi Abeid,dz  ALG,MF,Dijon,25,1992,22.5,1081,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,919,4,26,7,15
3,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,18,2000,0.4,16,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,6,0,1,2,1
4,Khaled Adénon,bj  BEN,DF,Amiens,33,1985,22.2,967,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,842,1,23,6,7
5,Yacine Adli,fr  FRA,"MF,FW",Bordeaux,18,2000,2.4,151,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,111,1,3,2,5
6,Nayef Aguerd,ma  MAR,DF,Dijon,22,1996,11.7,577,539,38,17,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,452,3,17,9,10
7,Ruben Aguilar,fr  FRA,"DF,MF",Montpellier,25,1993,28.1,1642,1355,287,12,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,1328,9,19,32,59
8,Jean-Eudes Aholou,ci  CIV,MF,Monaco,24,1994,11.9,552,541,11,9,0,76,12,2,0,0,0,0,425,58,69,428,81,32,1,1,465,0,12,10,6
9,Rayan Aït Nouri,fr  FRA,DF,Angers,17,2001,0.6,33,31,2,0,0,3,0,1,0,0,0,0,29,2,2,28,3,0,2,0,30,0,0,1,0
10,Ludovic Ajorque,re  REU,FW,Strasbourg,24,1994,17.0,467,441,26,0,0,169,13,8,0,0,0,0,244,144,79,251,85,45,1,15,355,2,8,10,12
11,Sofiane Alakouch,fr  FRA,DF,Nîmes,20,1998,21.1,1104,858,246,6,3,155,8,26,0,0,0,0,598,267,239,72,737,47,239,3,837,4,27,18,42
12,Alexis Alegue,fr  FRA,FW,Nantes,21,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
13,Rúnar Alex Rúnarsson,is  ISL,GK,Dijon,23,1995,25.0,831,554,277,74,0,48,36,0,0,0,0,0,391,37,403,75,618,3,0,105,581,3,30,1,4
14,Rachid Alioui,ma  MAR,FW,Nîmes,26,1992,13.9,383,364,19,0,0,104,8,23,0,0,0,0,233,88,62,67,244,36,4,6,273,0,15,9,11
