,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2020-09-27,12:00,Segunda División,Matchweek 3,Sun,Away,W,2,0,Lugo,63.0,,César de la Hoz,4-3-3,Aitor Gorostegui,Match Report,
1,2020-10-04,18:15,Segunda División,Matchweek 4,Sun,Home,L,0,1,Sporting Gijón,67.0,,César de la Hoz,4-2-3-1,Rubén Ávalos,Match Report,
2,2020-10-10,16:00,Segunda División,Matchweek 5,Sat,Away,L,0,1,UD Logroñés,63.0,,Fernando,4-2-3-1,Oliver De La Fuente,Match Report,
3,2020-10-17,17:15,Segunda División,Matchweek 6,Sat,Away,L,0,2,Las Palmas,63.0,,Fernando,4-2-3-1,Iñaki Bikandi,Match Report,
4,2020-10-21,21:30,Segunda División,Matchweek 7,Wed,Home,D,1,1,Cartagena,59.0,,César de la Hoz,4-2-3-1,David Gálvez,Match Report,
5,2020-10-24,20:30,Segunda División,Matchweek 8,Sat,Home,W,3,0,Fuenlabrada,59.0,,José Corpas,4-2-3-1,Saúl Ais,Match Report,
6,2020-10-28,19:00,Segunda División,Matchweek 9,Wed,Away,W,2,1,Castellón,49.0,,José Corpas,4-2-3-1,Eduardo Prieto,Match Report,
7,2020-11-01,21:00,Segunda División,Matchweek 10,Sun,Home,D,0,0,Girona,74.0,,José Corpas,4-2-3-1,Dámaso Arcediano,Match Report,
8,2020-11-05,19:00,Segunda División,Matchweek 1,Thu,Away,W,2,1,Sabadell,47.0,,Fernando,4-2-3-1,Iosu Galech,Match Report,
9,2020-11-08,16:00,Segunda División,Matchweek 11,Sun,Away,W,1,0,Rayo Vallecano,62.0,,José Corpas,4-2-3-1,Javier Villanueva,Match Report,
10,2020-11-14,16:15,Segunda División,Matchweek 12,Sat,Home,W,2,1,CD Mirandés,46.0,,Fernando,4-2-3-1,Rafael Sánchez,Match Report,
11,2020-11-23,21:00,Segunda División,Matchweek 13,Mon,Away,W,2,1,Albacete,51.0,,José Corpas,4-2-3-1,Juan Pulido,Match Report,
12,2020-11-26,21:30,Segunda División,Matchweek 14,Thu,Home,W,2,0,Tenerife,58.0,,Fernando,4-2-3-1,Álvaro Moreno,Match Report,
13,2020-11-30,21:00,Segunda División,Matchweek 15,Mon,Away,W,2,1,Oviedo,48.0,,José Corpas,4-2-3-1,David Gálvez,Match Report,
14,2020-12-03,19:00,Segunda División,Matchweek 16,Thu,Home,L,0,1,Mallorca,55.0,,Fernando,4-2-3-1,Alejandro Muñíz,Match Report,
15,2020-12-06,14:00,Segunda División,Matchweek 17,Sun,Away,W,1,0,Alcorcón,60.0,,José Corpas,4-2-3-1,José López,Match Report,
16,2020-12-09,19:00,Segunda División,Matchweek 2,Wed,Home,W,1,0,Zaragoza,52.0,,Fernando,4-2-3-1,Aitor Gorostegui,Match Report,
17,2020-12-13,16:00,Segunda División,Matchweek 18,Sun,Home,W,3,1,Málaga,55.0,,José Corpas,4-2-3-1,Daniel Trujillo,Match Report,
18,2020-12-16,18:00,Copa del Rey,First round,Wed,Away,W,4,1,CE L'Hospitalet,,,César de la Hoz,4-2-3-1,José López,Match Report,
19,2020-12-20,16:00,Segunda División,Matchweek 19,Sun,Away,L,1,2,Espanyol,59.0,,José Corpas,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
20,2021-01-03,20:30,Segunda División,Matchweek 20,Sun,Home,W,3,1,Ponferradina,58.0,,Iván Balliu,4-2-3-1,Eduardo Prieto,Match Report,
21,2021-01-06,12:00,Copa del Rey,Second round,Wed,Away,W,2,1,Numancia,,,Fernando,4-2-3-1,Iosu Galech,Match Report,
22,2021-01-16,12:00,Copa del Rey,Round of 32,Sat,Home,W,5,0,Alavés,59.0,,José Corpas,4-2-3-1,Alberola Rojas,Match Report,
23,2021-01-24,14:00,Segunda División,Matchweek 22,Sun,Home,D,2,2,Sabadell,56.0,,José Corpas,4-2-3-1,Daniel Ocón,Match Report,
24,2021-01-27,21:00,Copa del Rey,Round of 16,Wed,Home,D,0  (5),0  (4),Osasuna,56.0,,,4-2-3-1,Santiago Jaime,Match Report,Almería won on penalty kicks following extra time
25,2021-01-30,21:00,Segunda División,Matchweek 23,Sat,Home,W,3,1,Castellón,76.0,,José Corpas,4-2-3-1,Iñaki Bikandi,Match Report,
26,2021-02-02,21:00,Copa del Rey,Quarter-finals,Tue,Home,L,0,1,Sevilla,39.0,,Fernando,4-4-2,Javier Estrada,Match Report,
