,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
32,2022-03-04,21:00,Segunda División,Matchweek 30,Fri,Away,L,0,2,Zaragoza,61.0,14000,César de la Hoz,4-4-2,Daniel Trujillo,Match Report,
33,2022-03-12,18:15,Segunda División,Matchweek 31,Sat,Home,D,3,3,Lugo,62.0,10053,César de la Hoz,4-2-3-1,Juan Pulido,Match Report,
34,2022-03-21,20:00,Segunda División,Matchweek 32,Mon,Away,W,1,0,Tenerife,51.0,15007,César de la Hoz,3-5-2,Oliver De La Fuente,Match Report,
35,2022-03-27,21:00,Segunda División,Matchweek 33,Sun,Home,L,0,1,Girona,60.0,9260,César de la Hoz,4-2-3-1,Gorka Sagues,Match Report,
36,2022-04-03,18:15,Segunda División,Matchweek 34,Sun,Away,D,1,1,Huesca,55.0,5832,César de la Hoz,4-2-3-1,José López,Match Report,
37,2022-04-11,21:00,Segunda División,Matchweek 35,Mon,Home,W,3,0,Ponferradina,48.0,9836,César de la Hoz,4-3-3,Daniel Trujillo,Match Report,
38,2022-04-16,18:15,Segunda División,Matchweek 36,Sat,Away,D,2,2,Valladolid,43.0,19608,Lucas Robertone,4-2-3-1,Francisco Hernández,Match Report,
39,2022-04-25,21:00,Segunda División,Matchweek 37,Mon,Home,W,1,0,Sporting Gijón,59.0,9897,César de la Hoz,4-2-3-1,Jon González,Match Report,
40,2022-04-30,20:30,Segunda División,Matchweek 38,Sat,Away,W,2,0,Burgos,54.0,8479,Lucas Robertone,4-2-3-1,Juan Pulido,Match Report,
41,2022-05-07,18:15,Segunda División,Matchweek 39,Sat,Home,W,3,0,SD Amorebieta,55.0,13478,César de la Hoz,4-2-3-1,Javier Villanueva,Match Report,
42,2022-05-13,21:00,Segunda División,Matchweek 40,Fri,Away,W,2,0,Real Sociedad B,45.0,8140,César de la Hoz,4-2-3-1,Iván Caparrós,Match Report,
43,2022-05-21,22:00,Segunda División,Matchweek 41,Sat,Home,D,1,1,Alcorcón,63.0,14759,César de la Hoz,4-2-3-1,Raúl González,Match Report,
44,2022-05-29,20:00,Segunda División,Matchweek 42,Sun,Away,D,2,2,Leganés,65.0,8654,César de la Hoz,4-2-3-1,Dámaso Arcediano,Match Report,
