,id,minute,teamId,playerId,x,y,expandedMinute,qualifiers,satisfiedEventsTypes,isTouch,period.value,period.displayName,type.value,type.displayName,outcomeType.value,outcomeType.displayName,eventId,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,cardType.value,cardType.displayName,isOwnGoal,venue,opponent
0,1413619123.1,0,130,29474.0,86.5,80.4,0,[],[60],False,1,FirstHalf,10000,OffsideGiven,0,Unsuccessful,,,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
1,1112014559.0,0,130,,0.0,0.0,0,[],[],False,1,FirstHalf,32,Start,1,Successful,2.0,0.0,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
2,2031134915.0,0,875,,0.0,0.0,0,[],[],False,1,FirstHalf,32,Start,1,Successful,2.0,0.0,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
3,1149753562.0,0,130,,0.0,0.0,0,"[{'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '260843,302812,83809,321910,320374,70033,115868,279423,8013,275035,29474,301024,349932,333251,83337,22300,68850,362732,353695,355134'}, {'type': {'value': 194, 'displayName': 'CaptainPlayerId'}, 'value': '320374'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '8'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '24, 2, 31, 15, 4, 17, 22, 21, 9, 6, 10, 5, 12, 41, 19, 20, 26, 27, 30, 39'}]",[],False,1,FirstHalf,40,FormationChange,1,Successful,525.0,1.0,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
4,1551548106.0,0,875,30121.0,50.0,50.0,0,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.6'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '26.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.0'}]","[90, 116, 29, 34, 37, 214, 217]",True,1,FirstHalf,1,Pass,1,Successful,3.0,1.0,27.0,33.0,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
5,1334748052.0,0,875,,0.0,0.0,0,"[{'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '12, 5, 22, 20, 13, 3, 17, 7, 9, 6, 23, 15, 1, 2, 4, 8, 11, 25, 26, 30'}, {'type': {'value': 194, 'displayName': 'CaptainPlayerId'}, 'value': '30121'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '7'}, {'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '361867,361868,108283,244455,302776,361870,110200,243917,18234,30121,245626,294525,34261,297136,121666,113087,97722,254253,68590,120690'}]",[],False,1,FirstHalf,40,FormationChange,1,Successful,38.0,1.0,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
6,1662951728.0,0,875,302776.0,36.9,24.9,0,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.5'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.5'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '29.2'}]","[90, 118, 116, 29, 35, 36, 215, 217]",True,1,FirstHalf,1,Pass,1,Successful,4.0,8.0,62.5,41.5,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
7,2092807929.0,0,875,30121.0,62.5,41.5,0,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '10.4'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[90, 119, 28, 35, 37, 216, 217]",True,1,FirstHalf,1,Pass,0,Unsuccessful,5.0,10.0,71.2,34.2,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
8,1536936623.0,0,130,70033.0,29.6,67.4,0,[],[92],False,1,FirstHalf,49,BallRecovery,1,Successful,3.0,11.0,,,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
9,1567263841.0,0,130,70033.0,29.8,70.7,0,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '13.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.3'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.0'}]","[90, 116, 29, 34, 37, 214, 217]",True,1,FirstHalf,1,Pass,1,Successful,4.0,12.0,13.8,54.0,,,,,,,,,,,,Johan Cruijff Arena,FC Emmen
