,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Lionel Messi,10.0,ar  ARG,"FW,RW,AM",33-178,90,62,81,76.5,1045,322,31,34,91.2,27,30,90.0,3,9,33.3,0,0.5,3,7,7,0,13
1,Martin Braithwaite,9.0,dk  DEN,"LM,FW,LW",29-197,90,33,38,86.8,414,23,24,27,88.9,6,7,85.7,2,3,66.7,0,0.0,0,2,0,0,0
2,Philippe Coutinho,14.0,br  BRA,"CM,LW",28-190,78,69,72,95.8,978,175,38,39,97.4,23,24,95.8,4,5,80.0,0,0.0,1,3,3,0,5
3,Clément Lenglet,15.0,fr  FRA,CB,25-185,12,4,4,100.0,104,24,1,1,100.0,2,2,100.0,1,1,100.0,0,0.0,0,0,0,0,0
4,Pedri,16.0,es  ESP,"CM,DM",18-024,85,64,74,86.5,1116,139,32,33,97.0,24,27,88.9,7,10,70.0,0,0.1,2,6,1,0,3
5,Miralem Pjanić,8.0,ba  BIH,CM,30-261,5,4,7,57.1,76,21,1,1,100.0,2,2,100.0,1,3,33.3,0,0.0,1,1,0,0,1
6,Antoine Griezmann,7.0,fr  FRA,"RM,AM",29-273,72,38,44,86.4,631,113,22,25,88.0,11,11,100.0,5,6,83.3,0,0.0,1,2,4,0,5
7,Francisco Trincão,17.0,pt  POR,RW,20-356,18,5,7,71.4,68,19,3,4,75.0,2,2,100.0,0,0,,0,0.0,0,0,0,0,0
8,Sergio Busquets,5.0,es  ESP,DM,32-156,45,61,64,95.3,1104,385,26,26,100.0,25,27,92.6,9,9,100.0,0,0.0,1,10,1,0,10
9,Frenkie de Jong,21.0,nl  NED,CM,23-221,45,45,47,95.7,879,353,17,19,89.5,20,20,100.0,7,7,100.0,0,0.2,3,9,0,0,6
10,Jordi Alba,18.0,es  ESP,"LB,WB",31-273,90,104,127,81.9,1405,445,68,73,93.2,31,40,77.5,3,8,37.5,0,0.2,4,3,2,0,8
11,Óscar Mingueza,28.0,es  ESP,CB,21-220,90,60,66,90.9,963,330,29,31,93.5,22,24,91.7,6,7,85.7,0,0.1,1,3,1,0,2
12,Ronald Araújo,4.0,uy  URU,CB,21-287,90,40,45,88.9,750,189,11,12,91.7,23,27,85.2,4,4,100.0,0,0.0,0,2,0,0,2
13,Sergiño Dest,2.0,us  USA,"RB,WB",20-046,90,51,53,96.2,711,118,32,32,100.0,17,19,89.5,1,1,100.0,0,0.0,0,1,1,0,1
14,Marc-André ter Stegen,1.0,de  GER,GK,28-233,90,27,31,87.1,737,490,3,3,100.0,16,16,100.0,8,12,66.7,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,667,760,87.8,10981,3146,338,360,93.9,251,278,90.3,61,85,71.8,0,1.2,17,49,20,0,56
