,Valencia (4-4-2),Valencia (4-4-2).1
0,1,Jaume Doménech
1,5,Gabriel Paulista
2,7,Gonçalo Guedes
3,8,Carlos Soler
4,12,Mouctar Diakhaby
5,14,José Luis Gayà
6,17,Denis Cheryshev
7,18,Daniel Wass
8,19,Uroš Račić
9,22,Maxi Gómez
10,30,Yunus Musah
11,Bench,Bench
12,25,Cristian
13,42,Unai Etxebarría
14,2,Thierry Correia
15,4,Eliaquim Mangala
16,11,Rubén Sobrino
17,20,Lee Kangin
18,21,Manu Vallejo
19,23,Jason
20,26,Esquerdo
21,27,Koba Koindredi
22,31,Guillem Molina Gutiérrez
23,37,Alejandro Blanco
