,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Gonçalo Guedes,7.0,pt  POR,FW,24-020,86,25,33,75.8,388,128,15,18,83.3,8,8,100.0,1,3,33.3,0,0.3,2,1,6,0,6
1,Manu Vallejo,21.0,es  ESP,FW,23-309,4,1,2,50.0,10,3,1,1,100.0,0,0,,0,1,0.0,0,0.0,0,0,0,0,0
2,Maxi Gómez,22.0,uy  URU,FW,24-127,90,14,19,73.7,220,45,9,9,100.0,2,4,50.0,2,3,66.7,0,0.0,0,0,0,0,1
3,Denis Cheryshev,17.0,ru  RUS,LM,29-359,89,14,20,70.0,274,129,8,9,88.9,2,5,40.0,3,4,75.0,0,0.3,2,3,0,0,2
4,Lee Kangin,20.0,kr  KOR,LM,19-304,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0,0,0,0,0
5,Uroš Račić,19.0,rs  SRB,CM,22-277,90,32,39,82.1,652,131,12,14,85.7,12,12,100.0,7,8,87.5,0,0.0,0,5,0,0,3
6,Carlos Soler,8.0,es  ESP,CM,23-352,90,22,28,78.6,461,165,11,11,100.0,5,8,62.5,6,7,85.7,1,0.3,2,1,2,0,2
7,Yunus Musah,30.0,us  USA,RM,18-020,41,10,14,71.4,142,39,5,6,83.3,5,5,100.0,0,1,0.0,0,0.2,1,1,0,0,0
8,Alejandro Blanco,37.0,es  ESP,RM,22-003,49,6,11,54.5,60,9,6,9,66.7,0,1,0.0,0,0,,0,0.0,1,0,0,0,0
9,José Luis Gayà,14.0,es  ESP,LB,25-208,90,26,33,78.8,540,281,6,10,60.0,17,17,100.0,2,4,50.0,0,0.0,0,4,3,1,4
10,Mouctar Diakhaby,12.0,fr  FRA,CB,24-000,90,11,12,91.7,257,100,4,4,100.0,6,6,100.0,1,2,50.0,0,0.0,0,2,0,0,1
11,Gabriel Paulista,5.0,br  BRA,CB,30-023,90,22,27,81.5,464,169,5,5,100.0,12,13,92.3,4,8,50.0,0,0.0,0,0,0,0,1
12,Daniel Wass,18.0,dk  DEN,RB,31-202,90,28,42,66.7,514,350,11,15,73.3,14,17,82.4,3,8,37.5,0,0.0,1,0,0,0,0
13,Jaume Doménech,1.0,es  ESP,GK,30-044,90,16,29,55.2,739,578,4,4,100.0,0,0,,12,25,48.0,0,0.0,0,0,0,0,0
14,14 Players,,,,,990,227,309,73.5,4721,2127,97,115,84.3,83,96,86.5,41,74,55.4,1,1.2,9,17,11,1,20
