,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Gonçalo Guedes,7.0,pt  POR,FW,24-020,86,50,1,12,18,24,3,46,3,5,60.0,3,0,41,252,167,9,2,2,3,3,45,34,75.6,6
1,Manu Vallejo,21.0,es  ESP,FW,23-309,4,4,0,0,1,3,0,4,0,0,,0,0,3,11,3,0,0,0,0,1,3,2,66.7,1
2,Maxi Gómez,22.0,uy  URU,FW,24-127,90,30,1,7,19,5,3,30,1,1,100.0,1,0,21,54,9,0,0,0,1,2,39,20,51.3,0
3,Denis Cheryshev,17.0,ru  RUS,LM,29-359,89,30,2,9,6,17,8,29,0,0,,0,0,19,80,61,3,1,1,1,0,26,17,65.4,7
4,Lee Kangin,20.0,kr  KOR,LM,19-304,1,1,0,1,0,0,0,1,0,0,,0,0,1,11,3,0,0,0,0,0,1,1,100.0,0
5,Uroš Račić,19.0,rs  SRB,CM,22-277,90,51,9,26,22,6,2,51,1,1,100.0,1,0,31,165,93,2,0,0,0,0,29,27,93.1,0
6,Carlos Soler,8.0,es  ESP,CM,23-352,90,41,6,19,14,9,1,37,0,0,,0,0,24,113,47,4,1,0,3,0,30,24,80.0,1
7,Yunus Musah,30.0,us  USA,RM,18-020,41,18,2,8,8,3,2,18,0,0,,0,0,15,45,25,1,0,1,3,1,22,13,59.1,0
8,Alejandro Blanco,37.0,es  ESP,RM,22-003,49,22,2,10,7,8,5,22,1,1,100.0,1,0,10,44,32,1,0,0,2,1,17,12,70.6,3
9,José Luis Gayà,14.0,es  ESP,LB,25-208,90,40,8,18,16,10,3,35,0,0,,0,0,21,157,82,0,0,0,0,0,19,18,94.7,1
10,Mouctar Diakhaby,12.0,fr  FRA,CB,24-000,90,23,8,15,6,4,2,22,0,0,,0,0,11,72,50,1,1,0,0,0,13,11,84.6,0
11,Gabriel Paulista,5.0,br  BRA,CB,30-023,90,38,12,30,13,1,1,38,0,0,,0,0,22,151,94,0,0,0,0,0,19,18,94.7,0
12,Daniel Wass,18.0,dk  DEN,RB,31-202,90,53,11,22,22,9,3,43,0,0,,0,0,21,66,25,0,0,0,0,0,24,22,91.7,1
13,Jaume Doménech,1.0,es  ESP,GK,30-044,90,34,29,34,0,0,0,20,0,0,,0,0,12,79,32,0,0,0,0,0,10,8,80.0,0
14,14 Players,,,,,990,435,91,211,152,99,33,396,6,8,75.0,6,0,252,1300,723,21,5,4,13,8,297,227,76.4,20
