,Player,#,Nation,Pos,Age,Min,Att,Live_Pass Types,Dead_Pass Types,FK_Pass Types,TB_Pass Types,Press_Pass Types,Sw_Pass Types,Crs_Pass Types,CK_Pass Types,In_Corner Kicks,Out_Corner Kicks,Str_Corner Kicks,Ground_Height,Low_Height,High_Height,Left_Body Parts,Right_Body Parts,Head_Body Parts,TI_Body Parts,Other_Body Parts,Cmp_Outcomes,Off_Outcomes,Out_Outcomes,Int_Outcomes,Blocks_Outcomes
0,Gonçalo Guedes,7.0,pt  POR,FW,24-020,86,33,29,4,0,0,4,0,2,0,0,0,0,23,3,7,2,29,1,1,0,25,0,0,2,4
1,Manu Vallejo,21.0,es  ESP,FW,23-309,4,2,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,0
2,Maxi Gómez,22.0,uy  URU,FW,24-127,90,19,19,0,0,0,4,2,0,0,0,0,0,11,1,7,5,10,1,0,1,14,0,1,0,2
3,Denis Cheryshev,17.0,ru  RUS,LM,29-359,89,20,19,1,1,0,6,1,2,0,0,0,0,9,8,3,17,2,1,0,0,14,0,0,0,1
4,Lee Kangin,20.0,kr  KOR,LM,19-304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Uroš Račić,19.0,rs  SRB,CM,22-277,90,39,39,0,0,0,7,2,0,0,0,0,0,29,5,5,5,32,1,0,0,32,0,0,2,3
6,Carlos Soler,8.0,es  ESP,CM,23-352,90,28,24,4,1,0,4,2,0,3,0,2,0,18,2,8,2,26,0,0,0,22,0,1,1,1
7,Yunus Musah,30.0,us  USA,RM,18-020,41,14,14,0,0,0,0,0,0,0,0,0,0,12,1,1,3,11,0,0,0,10,0,0,1,1
8,Alejandro Blanco,37.0,es  ESP,RM,22-003,49,11,11,0,0,0,0,0,1,0,0,0,0,7,1,3,6,2,3,0,0,6,0,1,0,1
9,José Luis Gayà,14.0,es  ESP,LB,25-208,90,33,28,5,2,0,8,1,2,0,0,0,0,22,5,6,24,4,1,3,0,26,0,1,1,2
10,Mouctar Diakhaby,12.0,fr  FRA,CB,24-000,90,12,11,1,1,0,0,0,0,0,0,0,0,9,1,2,2,10,0,0,0,11,0,1,0,0
11,Gabriel Paulista,5.0,br  BRA,CB,30-023,90,27,27,0,0,0,3,0,0,0,0,0,0,20,3,4,3,24,0,0,0,22,1,1,0,0
12,Daniel Wass,18.0,dk  DEN,RB,31-202,90,42,32,10,1,0,2,1,1,0,0,0,0,12,18,12,3,23,5,9,0,28,0,4,1,2
13,Jaume Doménech,1.0,es  ESP,GK,30-044,90,29,15,14,5,0,0,2,0,0,0,0,0,5,0,24,0,23,0,0,1,16,0,1,1,0
14,14 Players,,,,,990,309,270,39,11,0,38,12,9,3,0,2,0,178,48,83,72,198,13,13,2,227,1,12,9,17
