,Player,#,Nation,Pos,Age,Min,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs Dribbles,Att_Vs Dribbles,Tkl%_Vs Dribbles,Past_Vs Dribbles,Press_Pressures,Succ_Pressures,%_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err
0,Lionel Messi,10.0,ar  ARG,"FW,RW,AM",33-178,90,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0
1,Martin Braithwaite,9.0,dk  DEN,"LM,FW,LW",29-197,90,0,0,0,0,0,0,0,,0,12,3,25.0,0,3,9,1,0,0,1,1,1,1,0
2,Philippe Coutinho,14.0,br  BRA,"CM,LW",28-190,78,0,0,0,0,0,0,0,,0,8,3,37.5,1,3,4,1,0,0,1,1,1,0,0
3,Clément Lenglet,15.0,fr  FRA,CB,25-185,12,1,1,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,1,0
4,Pedri,16.0,es  ESP,"CM,DM",18-024,85,2,2,0,0,2,0,3,0.0,3,22,10,45.5,6,8,8,5,0,0,5,1,3,0,0
5,Miralem Pjanić,8.0,ba  BIH,CM,30-261,5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
6,Antoine Griezmann,7.0,fr  FRA,"RM,AM",29-273,72,0,0,0,0,0,0,1,0.0,1,5,0,0.0,1,3,1,0,0,0,0,1,1,0,0
7,Francisco Trincão,17.0,pt  POR,RW,20-356,18,0,0,0,0,0,0,0,,0,6,0,0.0,0,3,3,1,0,0,1,0,0,0,0
8,Sergio Busquets,5.0,es  ESP,DM,32-156,45,0,0,0,0,0,0,0,,0,9,0,0.0,0,5,4,1,0,0,1,0,0,0,0
9,Frenkie de Jong,21.0,nl  NED,CM,23-221,45,0,0,0,0,0,0,0,,0,6,2,33.3,3,3,0,0,0,0,0,1,1,2,0
10,Jordi Alba,18.0,es  ESP,"LB,WB",31-273,90,0,0,0,0,0,0,1,0.0,1,8,4,50.0,1,3,4,3,0,0,3,0,0,2,0
11,Óscar Mingueza,28.0,es  ESP,CB,21-220,90,3,3,1,2,0,0,1,0.0,1,16,8,50.0,8,8,0,3,1,0,2,3,6,3,0
12,Ronald Araújo,4.0,uy  URU,CB,21-287,90,1,1,0,1,0,1,1,100.0,0,7,2,28.6,2,5,0,4,2,0,2,1,2,5,0
13,Sergiño Dest,2.0,us  USA,"RB,WB",20-046,90,3,3,3,0,0,1,1,100.0,0,9,3,33.3,6,1,2,1,0,0,1,0,3,0,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-233,90,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
15,15 Players,,,,,990,10,10,5,3,2,2,8,25.0,6,109,35,32.1,28,45,36,20,3,0,17,9,19,14,0
