,Minute,Player,Squad,Outcome,Distance,Body Part,Notes,Player_SCA 1,Event_SCA 1,Player_SCA 2,Event_SCA 2
0,26,José Luis Gayà,Valencia,Blocked,11.0,Left Foot,,Yunus Musah,Pass (Live),Daniel Wass,Pass (Live)
1,29,Carlos Soler,Valencia,Saved,22.0,Right Foot,,Gonçalo Guedes,Pass (Live),Denis Cheryshev,Tackle
2,29,Mouctar Diakhaby,Valencia,Goal,6.0,Head,,Carlos Soler,Pass (Dead),Carlos Soler,Shot
3,33,Gabriel Paulista,Valencia,Blocked,10.0,Head,,Carlos Soler,Pass (Dead),Uroš Račić,Dribble
4,33,Antoine Griezmann,Barcelona,Saved,12.0,Right Foot,,Pedri,Pass (Live),Pedri,Fouled
5,45+4,Lionel Messi  (pen),Barcelona,Saved,12.0,Left Foot,,Antoine Griezmann,Fouled,,
6,,,,,,,,,,,
7,52,Ronald Araújo,Barcelona,Goal,12.0,Right Foot,Overhead kick,,,,
8,56,Martin Braithwaite,Barcelona,Saved,2.0,Head,,Lionel Messi,Pass (Live),Lionel Messi,Dribble
9,58,Uroš Račić,Valencia,Off Target,18.0,Right Foot,,Alejandro Blanco,Pass (Live),Gonçalo Guedes,Pass (Live)
10,61,Sergiño Dest,Barcelona,Off Target,20.0,Left Foot,,Antoine Griezmann,Pass (Live),Jordi Alba,Pass (Live)
11,63,Jordi Alba,Barcelona,Off Target,25.0,Left Foot,Half volley,Antoine Griezmann,Pass (Live),Ronald Araújo,Pass (Live)
12,73,Pedri,Barcelona,Off Target,22.0,Right Foot,,Lionel Messi,Pass (Live),Lionel Messi,Dribble
13,84,Francisco Trincão,Barcelona,Blocked,17.0,Left Foot,,Óscar Mingueza,Pass (Live),Sergiño Dest,Pass (Live)
14,88,Miralem Pjanić,Barcelona,Blocked,19.0,Left Foot,,Frenkie de Jong,Pass (Live),Lionel Messi,Pass (Live)
