,Barcelona (3-4-3),Barcelona (3-4-3).1
0,1,Marc-André ter Stegen
1,2,Sergiño Dest
2,4,Ronald Araújo
3,8,Miralem Pjanić
4,9,Martin Braithwaite
5,10,Lionel Messi
6,15,Clément Lenglet
7,16,Pedri
8,18,Jordi Alba
9,21,Frenkie de Jong
10,28,Óscar Mingueza
11,Bench,Bench
12,13,Neto
13,26,Iñaki
14,5,Sergio Busquets
15,6,Carles Aleñá
16,7,Antoine Griezmann
17,12,Riqui Puig
18,14,Philippe Coutinho
19,17,Francisco Trincão
20,23,Samuel Umtiti
21,24,Junior Firpo
