,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Maranhão,16.0,br  BRA,FW,24-063,45,12.0,0.0,2.0,8.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,8.0,56.0,10.0,1.0,0.0,0.0,3.0,1.0,22.0,11.0,50.0,4.0
1,Toni Villa,19.0,es  ESP,FW,25-350,45,39.0,0.0,4.0,18.0,19.0,2.0,35.0,1.0,1.0,100.0,1.0,0.0,30.0,147.0,76.0,3.0,1.0,1.0,0.0,2.0,38.0,33.0,86.8,2.0
2,Shon Weissman,9.0,il  ISR,FW,24-312,90,15.0,0.0,1.0,8.0,6.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,7.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,31.0,2.0
3,Óscar Plano,10.0,es  ESP,LM,29-315,56,23.0,0.0,3.0,16.0,5.0,0.0,22.0,0.0,0.0,,0.0,0.0,16.0,112.0,90.0,3.0,0.0,0.0,2.0,1.0,25.0,17.0,68.0,3.0
4,Kike Pérez,8.0,es  ESP,LM,23-312,34,26.0,0.0,6.0,16.0,8.0,1.0,26.0,1.0,1.0,100.0,1.0,0.0,20.0,191.0,81.0,4.0,1.0,1.0,0.0,1.0,23.0,21.0,91.3,1.0
5,Rubén Alcaraz,14.0,es  ESP,"CM,CB",29-235,90,63.0,3.0,23.0,38.0,8.0,0.0,62.0,0.0,0.0,,0.0,0.0,38.0,226.0,143.0,3.0,3.0,0.0,0.0,0.0,49.0,47.0,95.9,0.0
6,Míchel,21.0,es  ESP,CM,32-146,56,36.0,3.0,15.0,19.0,3.0,0.0,35.0,0.0,0.0,,0.0,0.0,21.0,68.0,40.0,0.0,0.0,0.0,1.0,1.0,26.0,26.0,100.0,0.0
7,Roque Mesa,17.0,es  ESP,CM,31-198,34,29.0,0.0,8.0,16.0,6.0,2.0,28.0,0.0,0.0,,0.0,0.0,21.0,112.0,36.0,3.0,0.0,0.0,1.0,1.0,21.0,20.0,95.2,0.0
8,Jota,40.0,pt  POR,RM,21-267,56,,,,,,,,,,,,,,,,,,,,,,,,
9,Fabián Orellana,12.0,cl  CHI,RM,34-330,34,20.0,0.0,1.0,10.0,10.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,13.0,56.0,35.0,2.0,1.0,0.0,0.0,1.0,17.0,16.0,94.1,8.0
10,Nacho,22.0,es  ESP,LB,31-290,90,65.0,0.0,24.0,34.0,13.0,0.0,57.0,0.0,0.0,,0.0,0.0,37.0,214.0,106.0,2.0,1.0,0.0,1.0,0.0,48.0,42.0,87.5,1.0
11,Javi Sánchez,5.0,es  ESP,CB,23-283,78,39.0,8.0,24.0,16.0,1.0,1.0,38.0,1.0,1.0,100.0,1.0,0.0,21.0,154.0,70.0,3.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0
12,Sergi Guardiola,7.0,es  ESP,CM,29-207,12,9.0,0.0,1.0,7.0,2.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,6.0,38.0,11.0,1.0,1.0,0.0,0.0,0.0,10.0,8.0,80.0,1.0
13,Joaquín Fernández,24.0,es  ESP,CB,24-205,90,56.0,16.0,38.0,20.0,1.0,0.0,53.0,0.0,0.0,,0.0,0.0,27.0,125.0,79.0,1.0,1.0,0.0,0.0,0.0,34.0,32.0,94.1,0.0
14,Pablo Hervías,11.0,es  ESP,RB,27-289,90,70.0,3.0,20.0,36.0,19.0,0.0,61.0,0.0,2.0,0.0,0.0,0.0,44.0,377.0,187.0,9.0,4.0,0.0,1.0,0.0,58.0,52.0,89.7,2.0
15,Jordi Masip,1.0,es  ESP,GK,31-354,90,34.0,33.0,34.0,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,9.0,38.0,20.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0
16,16 Players,,,,,990,536.0,66.0,204.0,262.0,106.0,11.0,495.0,3.0,9.0,33.3,3.0,0.0,318.0,1935.0,988.0,35.0,13.0,2.0,9.0,8.0,430.0,364.0,84.7,24.0
