,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Martin Braithwaite,9.0,dk  DEN,FW,29-200,90,7,9,77.8,105,8,4,4,100.0,2,4,50.0,1,1,100.0,0,0.0,0,0,0,0,0
1,Pedri,16.0,es  ESP,AM,18-027,80,38,50,76.0,643,179,19,21,90.5,13,17,76.5,4,6,66.7,1,0.8,4,3,3,0,9
2,Philippe Coutinho,14.0,br  BRA,AM,28-193,10,10,10,100.0,141,23,7,7,100.0,2,2,100.0,1,1,100.0,0,0.0,0,0,0,0,0
3,Lionel Messi,10.0,ar  ARG,AM,33-181,90,81,88,92.0,1246,363,51,54,94.4,24,26,92.3,4,5,80.0,1,0.3,3,9,7,0,14
4,Frenkie de Jong,21.0,nl  NED,DM,23-224,70,55,65,84.6,889,196,31,33,93.9,16,22,72.7,5,7,71.4,0,0.3,2,2,0,0,5
5,Sergio Busquets,5.0,es  ESP,DM,32-159,20,23,25,92.0,432,134,9,9,100.0,9,9,100.0,4,5,80.0,0,0.4,2,2,1,0,2
6,Miralem Pjanić,8.0,ba  BIH,DM,30-264,90,108,112,96.4,1747,483,51,52,98.1,50,50,100.0,5,8,62.5,0,0.0,1,11,3,0,10
7,Jordi Alba,18.0,es  ESP,WB,31-276,70,47,54,87.0,832,195,23,25,92.0,19,22,86.4,4,4,100.0,0,0.5,2,3,1,1,3
8,Junior Firpo,24.0,es  ESP,WB,24-122,20,12,12,100.0,210,35,6,6,100.0,5,5,100.0,1,1,100.0,0,0.1,1,0,0,0,1
9,Sergiño Dest,2.0,us  USA,WB,20-049,90,47,52,90.4,645,182,27,28,96.4,18,20,90.0,0,0,,1,1.2,5,0,1,1,3
10,Clément Lenglet,15.0,fr  FRA,CB,25-188,90,73,75,97.3,1426,559,27,27,100.0,37,37,100.0,9,10,90.0,0,0.0,0,7,0,0,5
11,Ronald Araújo,4.0,uy  URU,CB,21-290,70,46,47,97.9,1014,160,12,12,100.0,26,26,100.0,8,9,88.9,0,0.0,0,0,0,0,0
12,Samuel Umtiti,23.0,fr  FRA,CB,27-038,20,6,7,85.7,119,33,2,2,100.0,4,4,100.0,0,1,0.0,0,0.0,0,0,0,0,0
13,Óscar Mingueza,28.0,es  ESP,CB,21-223,90,60,68,88.2,989,366,30,31,96.8,25,26,96.2,4,10,40.0,0,0.0,0,6,0,0,4
14,Marc-André ter Stegen,1.0,de  GER,GK,28-236,90,35,43,81.4,1008,681,9,9,100.0,11,11,100.0,15,23,65.2,0,0.0,0,0,0,0,0
15,15 Players,,,,,990,648,717,90.4,11446,3597,308,320,96.3,261,281,92.9,65,91,71.4,3,3.6,20,43,16,2,56
