,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Martin Braithwaite,9.0,dk  DEN,FW,29-200,90,0,0,0,0,1,0,0,1,1,0,0,0,3,1,1,50.0
1,Pedri,16.0,es  ESP,AM,18-027,80,0,0,0,1,1,0,0,0,1,0,0,0,8,0,0,
2,Philippe Coutinho,14.0,br  BRA,AM,28-193,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
3,Lionel Messi,10.0,ar  ARG,AM,33-181,90,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,100.0
4,Frenkie de Jong,21.0,nl  NED,DM,23-224,70,1,0,0,3,3,0,2,0,0,0,0,0,5,5,0,100.0
5,Sergio Busquets,5.0,es  ESP,DM,32-159,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
6,Miralem Pjanić,8.0,ba  BIH,DM,30-264,90,0,0,0,1,3,0,1,1,0,0,0,0,11,0,1,0.0
7,Jordi Alba,18.0,es  ESP,WB,31-276,70,1,0,0,1,0,0,2,2,2,0,0,0,8,0,0,
8,Junior Firpo,24.0,es  ESP,WB,24-122,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
9,Sergiño Dest,2.0,us  USA,WB,20-049,90,0,0,0,1,0,0,5,1,0,0,0,0,5,0,0,
10,Clément Lenglet,15.0,fr  FRA,CB,25-188,90,0,0,0,2,1,0,0,2,0,0,0,0,8,3,0,100.0
11,Ronald Araújo,4.0,uy  URU,CB,21-290,70,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,50.0
12,Samuel Umtiti,23.0,fr  FRA,CB,27-038,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
13,Óscar Mingueza,28.0,es  ESP,CB,21-223,90,0,0,0,1,1,0,0,2,3,0,0,0,5,0,2,0.0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-236,90,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
15,15 Players,,,,,990,2,0,0,11,13,0,11,9,9,0,0,0,67,11,6,64.7
