,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Maranhão,16.0,br  BRA,FW,24-063,45,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,4.0,0.0
1,Toni Villa,19.0,es  ESP,FW,25-350,45,0,0,0,1,1,2,2,0,0,0.0,0.0,0,2.0,0.0,0.0,
2,Shon Weissman,9.0,il  ISR,FW,24-312,90,0,0,0,0,1,2,0,0,1,0.0,0.0,0,2.0,0.0,2.0,0.0
3,Óscar Plano,10.0,es  ESP,LM,29-315,56,0,0,0,1,1,0,0,1,1,0.0,0.0,0,3.0,0.0,0.0,
4,Kike Pérez,8.0,es  ESP,LM,23-312,34,0,0,0,1,0,0,0,1,0,0.0,0.0,0,4.0,1.0,0.0,100.0
5,Rubén Alcaraz,14.0,es  ESP,"CM,CB",29-235,90,0,0,0,2,1,0,0,2,5,0.0,0.0,0,5.0,0.0,1.0,0.0
6,Míchel,21.0,es  ESP,CM,32-146,56,0,0,0,3,0,0,1,2,0,0.0,0.0,0,5.0,0.0,1.0,0.0
7,Roque Mesa,17.0,es  ESP,CM,31-198,34,0,0,0,4,0,0,0,0,2,0.0,0.0,0,5.0,0.0,0.0,
8,Jota,40.0,pt  POR,RM,21-267,56,0,0,0,0,2,0,1,0,0,,,0,,,,
9,Fabián Orellana,12.0,cl  CHI,RM,34-330,34,0,0,0,0,0,0,1,1,0,0.0,0.0,0,3.0,0.0,0.0,
10,Nacho,22.0,es  ESP,LB,31-290,90,0,0,0,1,1,0,1,0,2,0.0,0.0,0,9.0,0.0,0.0,
11,Javi Sánchez,5.0,es  ESP,CB,23-283,78,0,0,0,0,1,0,0,3,1,0.0,0.0,0,7.0,2.0,1.0,66.7
12,Sergi Guardiola,7.0,es  ESP,CM,29-207,12,0,0,0,0,2,0,0,1,0,0.0,0.0,0,0.0,1.0,1.0,50.0
13,Joaquín Fernández,24.0,es  ESP,CB,24-205,90,1,0,0,1,0,0,0,0,3,0.0,0.0,0,10.0,2.0,1.0,66.7
14,Pablo Hervías,11.0,es  ESP,RB,27-289,90,0,0,0,0,1,0,3,0,0,0.0,0.0,0,7.0,0.0,0.0,
15,Jordi Masip,1.0,es  ESP,GK,31-354,90,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,
16,16 Players,,,,,990,1,0,0,14,11,4,9,11,15,0.0,0.0,0,67.0,6.0,11.0,35.3
