,Player,#,Nation,Pos,Age,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ%_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,1/3_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec%_Receiving,Prog_Receiving
0,Martin Braithwaite,9.0,dk  DEN,FW,29-200,90,25,0,1,5,19,11,24,0,0,,0,0,16,82,58,4,0,2,3,4,33,17,51.5,6
1,Pedri,16.0,es  ESP,AM,18-027,80,61,0,4,25,35,7,57,2,2,100.0,2,0,40,216,114,6,1,0,2,4,50,44,88.0,12
2,Philippe Coutinho,14.0,br  BRA,AM,28-193,10,12,0,0,10,4,1,11,0,1,0.0,0,0,8,51,44,3,1,1,0,0,13,11,84.6,1
3,Lionel Messi,10.0,ar  ARG,AM,33-181,90,104,0,1,60,54,11,99,5,7,71.4,5,0,86,458,324,16,8,3,0,3,104,94,90.4,16
4,Frenkie de Jong,21.0,nl  NED,DM,23-224,70,73,1,11,48,23,2,73,2,2,100.0,2,0,51,329,214,12,3,1,0,2,69,64,92.8,4
5,Sergio Busquets,5.0,es  ESP,DM,32-159,20,29,3,10,18,2,0,29,2,2,100.0,2,0,18,63,30,2,1,0,0,0,29,27,93.1,1
6,Miralem Pjanić,8.0,ba  BIH,DM,30-264,90,116,3,21,75,29,2,115,1,1,100.0,1,0,68,266,125,5,4,1,1,0,105,102,97.1,1
7,Jordi Alba,18.0,es  ESP,WB,31-276,70,62,2,17,18,28,4,59,0,0,,0,0,29,76,47,2,0,0,2,0,48,44,91.7,7
8,Junior Firpo,24.0,es  ESP,WB,24-122,20,14,1,4,8,6,2,12,1,1,100.0,1,0,12,50,29,2,0,2,0,1,11,11,100.0,0
9,Sergiño Dest,2.0,us  USA,WB,20-049,90,58,1,7,18,33,6,52,1,4,25.0,2,0,41,144,93,3,0,0,0,1,53,44,83.0,7
10,Clément Lenglet,15.0,fr  FRA,CB,25-188,90,85,4,35,53,2,1,84,0,0,,0,0,54,302,164,3,0,0,0,0,66,65,98.5,1
11,Ronald Araújo,4.0,uy  URU,CB,21-290,70,47,6,24,24,0,0,46,0,0,,0,0,36,120,51,1,0,0,0,0,42,41,97.6,0
12,Samuel Umtiti,23.0,fr  FRA,CB,27-038,20,10,2,7,3,0,0,10,0,0,,0,0,8,30,5,0,0,0,1,0,8,8,100.0,0
13,Óscar Mingueza,28.0,es  ESP,CB,21-223,90,76,4,28,45,10,0,72,0,0,,0,0,58,264,156,6,3,0,0,0,55,54,98.2,0
14,Marc-André ter Stegen,1.0,de  GER,GK,28-236,90,46,46,46,0,0,0,34,0,0,,0,0,23,84,27,0,0,0,0,0,22,22,100.0,0
15,15 Players,,,,,990,818,73,216,410,245,47,777,14,20,70.0,15,0,548,2535,1481,65,21,10,9,15,708,648,91.5,56
