,Possession_Valladolid,Possession_Barcelona
0,40%,60%
1,Passing Accuracy,Passing Accuracy
2,387 of 470 —  82%,90%  — 648 of 717
3,Shots on Target,Shots on Target
4,5 of 12 —  42%,48%  — 10 of 21
5,Saves,Saves
6,7 of 10 —  70%,100%  — 5 of 5
7,Cards,Cards
8,,
