,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Starts_Playing Time,Min_Playing Time,90s_Playing Time,Gls_Performance,Ast_Performance,G-PK_Performance,PK_Performance,PKatt_Performance,CrdY_Performance,CrdR_Performance,Gls_Per 90 Minutes,Ast_Per 90 Minutes,G+A_Per 90 Minutes,G-PK_Per 90 Minutes,G+A-PK_Per 90 Minutes,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,xG_Per 90 Minutes,xAG_Per 90 Minutes,xG+xAG_Per 90 Minutes,npxG_Per 90 Minutes,npxG+xAG_Per 90 Minutes
0,Luis Abram,pe  PER,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.04,0.04,0.04
1,Marcos Acuña,ar  ARG,DF,Sevilla,29,1991,31,26,2260,25.1,1,3,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,1.5,1.5,3.5,5.0,0.06,0.14,0.20,0.06,0.20
2,Martin Agirregabiria,es  ESP,DF,Alavés,25,1996,24,17,1616,18.0,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,0.6,0.9,0.01,0.04,0.05,0.01,0.05
3,Julen Agirrezabala,es  ESP,GK,Athletic Club,20,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
4,Sergio Agüero,ar  ARG,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.2,1.2,0.2,1.4,0.69,0.11,0.80,0.69,0.80
5,Álvaro Aguirre,es  ESP,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
6,Joseph Aidoo,gh  GHA,DF,Celta Vigo,25,1995,32,30,2637,29.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.9,0.02,0.02,0.03,0.02,0.03
7,Carlos Akapo,gq  EQG,DF,Cádiz,28,1993,25,21,1844,20.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.03,0.02,0.05,0.03,0.05
8,Ilias Akhomach,es  ESP,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,0.9,0.14,0.53,0.67,0.14,0.67
9,Paul Akouokou,ci  CIV,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.03,0.04,0.01,0.04
10,David Alaba,at  AUT,DF,Real Madrid,29,1992,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.10,0.17,0.07,0.17,1.7,1.7,2.1,3.9,0.06,0.07,0.13,0.06,0.13
11,Tomás Alarcón,cl  CHI,MF,Cádiz,22,1999,23,16,1425,15.8,0,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,1.3,2.6,0.08,0.08,0.16,0.08,0.16
12,Jordi Alba,es  ESP,DF,Barcelona,32,1989,30,30,2644,29.4,2,10,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,1.8,1.8,6.7,8.5,0.06,0.23,0.29,0.06,0.29
13,Raúl Albiol,es  ESP,DF,Villarreal,35,1985,28,28,2465,27.4,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.6,0.02,0.00,0.02,0.02,0.02
14,Paco Alcácer,es  ESP,FW,Villarreal,27,1993,18,10,787,8.7,1,3,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,3.3,3.3,2.0,5.3,0.37,0.23,0.60,0.37,0.60
15,Rubén Alcaraz,es  ESP,MF,Cádiz,30,1991,14,12,1105,12.3,2,0,2,0,0,7,0,0.16,0.00,0.16,0.16,0.16,1.6,1.6,1.1,2.7,0.13,0.09,0.22,0.13,0.22
16,Omar Alderete,py  PAR,DF,Valencia,24,1996,29,28,2403,26.7,2,0,2,0,0,15,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04
17,Iván Alejo,es  ESP,"MF,FW",Cádiz,26,1995,20,11,1065,11.8,2,2,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,1.3,1.3,2.3,3.6,0.11,0.19,0.30,0.11,0.30
18,Carles Aleñá,es  ESP,MF,Getafe,23,1998,33,30,2320,25.8,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,2.4,2.3,1.5,3.8,0.09,0.06,0.15,0.09,0.15
19,Mircea Alexandru Tirlea,ro  ROU,DF,Alavés,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
20,Hugo Álvarez,es  ESP,FW,Celta Vigo,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.57,0.00,1.57,1.57,1.57
21,Yeray Álvarez,es  ESP,DF,Athletic Club,26,1995,22,21,1860,20.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04
22,Dani Alves,br  BRA,DF,Barcelona,38,1983,14,13,1098,12.2,1,3,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,0.3,0.3,2.3,2.6,0.02,0.19,0.21,0.02,0.21
23,Emmanuel Amankwaa Akurugu,gh  GHA,DF,Getafe,19,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.1,0.2,0.04,0.16,0.20,0.04,0.20
24,Amath,sn  SEN,"FW,MF",Mallorca,25,1996,19,9,884,9.8,0,1,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,1.5,1.5,0.8,2.3,0.15,0.08,0.23,0.15,0.23
25,Florin Andone,ro  ROU,FW,Cádiz,28,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.13,0.08,0.21,0.13,0.21
26,José Ángel,es  ESP,DF,Osasuna,31,1989,23,12,1083,12.0,1,1,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,0.3,0.3,1.4,1.7,0.03,0.11,0.14,0.03,0.14
27,Josep Antoni Gayá,es  ESP,DF,Mallorca,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
28,Mauro Arambarri,uy  URU,MF,Getafe,25,1995,31,31,2663,29.6,0,5,0,0,0,13,0,0.00,0.17,0.17,0.00,0.17,1.7,1.7,2.8,4.5,0.06,0.09,0.15,0.06,0.15
29,Néstor Araujo,mx  MEX,DF,Celta Vigo,29,1991,34,29,2617,29.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.01,0.01,0.02,0.01,0.02
30,Ronald Araújo,uy  URU,DF,Barcelona,22,1999,30,25,2272,25.2,4,0,4,0,0,6,0,0.16,0.00,0.16,0.16,0.16,1.8,1.8,1.2,3.0,0.07,0.05,0.12,0.07,0.12
31,Jesús Areso,es  ESP,DF,Osasuna,22,1999,3,2,188,2.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
32,Matias Arezo,uy  URU,"FW,MF",Granada,18,2002,8,1,162,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.4,1.4,0.54,0.24,0.78,0.54,0.78
33,Santiago Arias,co  COL,DF,Granada,29,1992,12,4,440,4.9,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.6,0.6,0.5,1.1,0.13,0.09,0.23,0.13,0.23
34,Santiago Arzamendia,py  PAR,MF,Cádiz,23,1998,14,5,469,5.2,1,0,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,0.3,0.3,0.1,0.4,0.06,0.01,0.07,0.06,0.07
35,Sergio Asenjo,es  ESP,GK,Villarreal,32,1989,6,6,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
36,Alejandro Asensio,es  ESP,FW,Rayo Vallecano,20,2000,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.27,0.31,0.58,0.27,0.58
37,Marco Asensio,es  ESP,"FW,MF",Real Madrid,25,1996,31,19,1731,19.2,10,0,10,0,0,2,0,0.52,0.00,0.52,0.52,0.52,8.4,8.4,3.0,11.4,0.44,0.16,0.59,0.44,0.59
38,Iago Aspas,es  ESP,FW,Celta Vigo,33,1987,37,36,3087,34.3,18,5,15,3,5,9,0,0.52,0.15,0.67,0.44,0.58,14.8,10.8,6.7,17.5,0.43,0.20,0.63,0.32,0.51
39,Pierre-Emerick Aubameyang,ga  GAB,FW,Barcelona,32,1989,17,13,1082,12.0,11,1,11,0,0,0,0,0.91,0.08,1.00,0.91,1.00,7.0,7.0,1.0,8.0,0.58,0.09,0.67,0.58,0.67
40,Ludwig Augustinsson,se  SWE,"DF,FW",Sevilla,27,1994,19,9,793,8.8,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.3,0.3,0.9,1.2,0.04,0.10,0.14,0.04,0.14
41,Serge Aurier,ci  CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,1.0,1.0,1.1,2.0,0.09,0.10,0.18,0.09,0.18
42,Ezequiel Ávila,ar  ARG,"FW,MF",Osasuna,27,1994,36,22,1870,20.8,6,1,5,1,1,9,1,0.29,0.05,0.34,0.24,0.29,4.7,4.5,1.8,6.4,0.23,0.09,0.31,0.22,0.31
43,Iddrisu Baba,gh  GHA,MF,Mallorca,25,1996,26,23,1934,21.5,1,0,1,0,0,9,0,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.9,2.5,0.07,0.04,0.12,0.07,0.12
44,Carlos Bacca,co  COL,FW,Granada,34,1986,17,4,513,5.7,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,1.0,1.0,1.2,2.2,0.18,0.20,0.38,0.18,0.38
45,Édgar Badía,es  ESP,GK,Elche,29,1992,24,24,2160,24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
46,Miguel Baeza,es  ESP,DF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
47,Alejandro Balde,es  ESP,"DF,FW",Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05
48,Gareth Bale,wls  WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,1,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.3,1.3,0.1,1.5,0.43,0.04,0.47,0.43,0.47
49,Mikel Balenziaga,es  ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.8,0.01,0.02,0.04,0.01,0.04
