,Player,Nation,Pos,Squad,Age,Born,MP_Playing Time,Min_Playing Time,Mn/MP_Playing Time,Min%_Playing Time,90s_Playing Time,Starts_Playing Time,Mn/Start_Starts,Compl_Starts,Subs_Subs,Mn/Sub_Subs,unSub_Subs,PPM_Team Success,onG_Team Success,onGA_Team Success,+/-_Team Success,+/-90_Team Success,On-Off_Team Success,onxG_Team Success (xG),onxGA_Team Success (xG),xG+/-_Team Success (xG),xG+/-90_Team Success (xG),On-Off_Team Success (xG)
0,Abdelkabir Abqar,ma  MAR,DF,Alavés,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
1,Luis Abram,pe  PER,DF,Granada,25,1996,8,560,70,16.4,6.2,6,80,4,2,39,12,1.38,8,5,+3,+0.48,+1.11,5.4,8.0,-2.6,-0.42,+0.11
2,Marcos Acuña,ar  ARG,DF,Sevilla,29,1991,31,2260,73,66.1,25.1,26,83,17,5,22,1,1.87,32,13,+19,+0.76,+0.45,34.4,22.9,+11.6,+0.46,+0.96
3,Martin Agirregabiria,es  ESP,DF,Alavés,25,1996,24,1616,67,47.3,18.0,17,83,11,7,28,13,0.96,13,31,-18,-1.00,-0.20,18.2,29.7,-11.5,-0.64,-0.04
4,Julen Agirrezabala,es  ESP,GK,Athletic Club,20,2000,4,360,90,10.5,4.0,4,90,4,0,,10,1.25,5,5,0,0.00,-0.21,4.9,6.0,-1.1,-0.29,-0.64
5,Sergio Agüero,ar  ARG,FW,Barcelona,33,1988,4,151,38,4.4,1.7,2,65,1,2,11,0,1.00,1,2,-1,-0.60,-1.45,3.8,2.3,+1.5,+0.90,+0.18
6,Álvaro Aguirre,es  ESP,FW,Rayo Vallecano,21,2000,1,9,9,0.3,0.1,0,,0,1,9,0,0.00,0,0,0,0.00,+0.29,0.1,0.1,0.0,-0.37,-0.33
7,Joseph Aidoo,gh  GHA,DF,Celta Vigo,25,1995,32,2637,82,77.1,29.3,30,87,24,2,7,3,1.22,35,31,+4,+0.14,+0.60,36.6,36.5,+0.1,0.00,+0.34
8,Carlos Akapo,gq  EQG,DF,Cádiz,28,1993,25,1844,74,53.9,20.5,21,84,14,4,21,5,1.08,15,27,-12,-0.59,-0.36,23.4,27.9,-4.5,-0.22,+0.08
9,Ilias Akhomach,es  ESP,FW,Barcelona,17,2004,2,124,62,3.6,1.4,2,62,0,0,,3,3.00,1,0,+1,+0.73,-0.07,2.1,0.4,+1.7,+1.23,+0.52
10,Paul Akouokou,ci  CIV,MF,Betis,23,1997,8,516,65,15.1,5.7,6,82,2,2,11,19,1.38,7,3,+4,+0.70,+0.14,7.2,5.4,+1.8,+0.32,+0.06
11,David Alaba,at  AUT,DF,Real Madrid,29,1992,30,2642,88,77.3,29.4,30,88,27,0,,0,2.30,60,26,+34,+1.16,-0.58,60.4,34.0,+26.4,+0.90,+0.41
12,Jony Álamo,es  ESP,MF,Elche,19,2001,0,,,,,0,,0,0,,8,,,,,,,,,,,
13,Tomás Alarcón,cl  CHI,MF,Cádiz,22,1999,23,1425,62,41.7,15.8,16,81,9,7,19,5,0.96,12,23,-11,-0.69,-0.47,14.3,24.7,-10.5,-0.66,-0.69
