,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Martin Braithwaite,9.0,dk  DEN,FW,29-177,60,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,
1,Francisco Trincão,17.0,pt  POR,"RW,FW",20-336,30,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.0
2,Antoine Griezmann,7.0,fr  FRA,"LW,AM",29-253,90,0,0,0,0,2,0,2,0,2,0,0,0,8,1,1,50.0
3,Lionel Messi,10.0,ar  ARG,"RW,FW",33-158,90,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,
4,Philippe Coutinho,14.0,br  BRA,CM,28-170,60,0,0,0,0,1,0,2,1,0,0,0,0,4,1,1,50.0
5,Ousmane Dembélé,11.0,fr  FRA,"LW,CM",23-198,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
6,Pedri,16.0,es  ESP,CM,18-004,45,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0.0
7,Sergio Busquets,5.0,es  ESP,CM,32-136,45,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,100.0
8,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-201,90,0,0,0,0,2,0,0,1,0,0,0,0,12,1,3,25.0
9,Jordi Alba,18.0,es  ESP,LB,31-253,90,0,0,0,0,0,0,7,1,0,0,0,0,8,0,1,0.0
10,Clément Lenglet,15.0,fr  FRA,CB,25-165,66,0,0,0,1,1,0,0,0,1,0,0,0,8,2,1,66.7
11,Carles Aleñá,6.0,es  ESP,CM,22-329,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
12,Óscar Mingueza,28.0,es  ESP,CB,21-200,90,0,0,0,4,0,0,0,2,1,0,0,0,9,1,1,50.0
13,Sergiño Dest,2.0,us  USA,RB,20-026,60,0,0,0,1,0,0,2,1,1,0,0,0,7,0,0,
14,Junior Firpo,24.0,es  ESP,RB,24-099,30,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0.0
15,Marc-André ter Stegen,1.0,de  GER,GK,28-213,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
16,16 Players,,,,,990,1,0,0,8,13,1,15,11,7,0,0,0,75,7,11,38.9
