,Osasuna (4-4-2),Osasuna (4-4-2).1
0,1,Sergio Herrera
1,2,Nacho Vidal
2,4,Unai García
3,6,Oier Sanjurjo
4,7,Jony
5,12,Facundo Roncaglia
6,14,Rubén García
7,17,Ante Budimir
8,21,Iñigo Pérez
9,22,Raúl Navas
10,27,Jon Moncayola
11,Bench,Bench
12,13,Rubén
13,26,Iñaki Álvarez Goñi
14,3,Juan Cruz Armada
15,8,Darko Brašanac
16,10,Roberto Torres
17,11,Kike Barja
18,19,Enric Gallego
19,23,Aridane Hernández
20,37,Javier Delgado
