,Player,#,Nation,Pos,Age,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog
0,Martin Braithwaite,9.0,dk  DEN,FW,29-177,60,11,13,84.6,122,3,8,8,100.0,3,4,75.0,0,0,,0,0.0,0,0,0,0,0
1,Francisco Trincão,17.0,pt  POR,"RW,FW",20-336,30,18,22,81.8,236,87,15,15,100.0,1,1,100.0,2,4,50.0,1,0.1,1,1,0,0,0
2,Antoine Griezmann,7.0,fr  FRA,"LW,AM",29-253,90,68,74,91.9,1054,177,40,44,90.9,23,25,92.0,5,5,100.0,1,1.1,2,3,0,0,4
3,Lionel Messi,10.0,ar  ARG,"RW,FW",33-158,90,61,69,88.4,1211,486,30,31,96.8,17,22,77.3,12,14,85.7,0,0.8,4,10,10,1,16
4,Philippe Coutinho,14.0,br  BRA,CM,28-170,60,54,62,87.1,730,133,34,38,89.5,18,21,85.7,1,1,100.0,0,0.1,1,4,3,0,6
5,Ousmane Dembélé,11.0,fr  FRA,"LW,CM",23-198,30,10,15,66.7,130,26,7,8,87.5,3,6,50.0,0,1,0.0,0,0.0,0,1,0,0,1
6,Pedri,16.0,es  ESP,CM,18-004,45,37,39,94.9,788,51,12,12,100.0,20,20,100.0,5,7,71.4,0,0.0,0,2,0,0,0
7,Sergio Busquets,5.0,es  ESP,CM,32-136,45,43,46,93.5,586,210,25,26,96.2,15,17,88.2,2,2,100.0,0,0.0,0,3,0,0,0
8,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-201,90,96,104,92.3,1519,542,54,58,93.1,33,34,97.1,7,9,77.8,0,0.1,1,7,1,0,5
9,Jordi Alba,18.0,es  ESP,LB,31-253,90,92,111,82.9,1357,437,58,62,93.5,26,34,76.5,6,11,54.5,0,0.5,3,1,3,0,4
10,Clément Lenglet,15.0,fr  FRA,CB,25-165,66,62,67,92.5,1204,505,16,18,88.9,37,38,97.4,8,10,80.0,0,0.0,0,2,0,0,0
11,Carles Aleñá,6.0,es  ESP,CM,22-329,24,29,30,96.7,576,134,11,12,91.7,11,11,100.0,7,7,100.0,0,0.0,0,2,0,0,5
12,Óscar Mingueza,28.0,es  ESP,CB,21-200,90,69,78,88.5,1275,331,27,29,93.1,36,39,92.3,6,9,66.7,0,0.0,0,2,0,0,2
13,Sergiño Dest,2.0,us  USA,RB,20-026,60,47,51,92.2,727,241,27,28,96.4,19,22,86.4,1,1,100.0,0,0.0,0,2,0,0,1
14,Junior Firpo,24.0,es  ESP,RB,24-099,30,29,29,100.0,416,130,16,16,100.0,13,13,100.0,0,0,,0,0.0,0,3,0,0,1
15,Marc-André ter Stegen,1.0,de  GER,GK,28-213,90,40,42,95.2,1050,645,7,7,100.0,21,21,100.0,12,14,85.7,0,0.0,0,0,0,0,0
16,16 Players,,,,,990,766,852,89.9,12981,4138,387,412,93.9,296,328,90.2,74,95,77.9,2,2.6,12,43,17,1,45
