,Player,#,Nation,Pos,Age,Min,Gls_Performance,Ast_Performance,PK_Performance,PKatt_Performance,Sh_Performance,SoT_Performance,CrdY_Performance,CrdR_Performance,Touches_Performance,Press_Performance,Tkl_Performance,Int_Performance,Blocks_Performance,xG_Expected,npxG_Expected,xA_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp%_Passes,Prog_Passes,Carries_Carries,Prog_Carries,Succ_Dribbles,Att_Dribbles
0,Martin Braithwaite,9.0,dk  DEN,FW,29-177,60,1,0,0,0,2,2,0,0,22,10,0,1,0,0.6,0.6,0.0,1,1,11,13,84.6,0,16,1,0,0
1,Francisco Trincão,17.0,pt  POR,"RW,FW",20-336,30,0,1,0,0,1,0,0,0,25,1,0,1,0,0.3,0.3,0.1,1,1,18,22,81.8,0,23,2,1,2
2,Antoine Griezmann,7.0,fr  FRA,"LW,AM",29-253,90,1,1,0,0,4,3,0,0,83,11,2,0,0,0.6,0.6,1.1,5,1,68,74,91.9,4,74,1,2,3
3,Lionel Messi,10.0,ar  ARG,"RW,FW",33-158,90,1,0,0,0,5,2,1,0,80,5,0,1,0,0.3,0.3,0.8,8,1,61,69,88.4,16,72,14,3,4
4,Philippe Coutinho,14.0,br  BRA,CM,28-170,60,1,0,0,0,6,3,0,0,72,3,0,1,0,1.7,1.7,0.1,2,0,54,62,87.1,6,62,9,0,1
5,Ousmane Dembélé,11.0,fr  FRA,"LW,CM",23-198,30,0,0,0,0,1,0,0,0,19,5,1,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,17,4,0,1
6,Pedri,16.0,es  ESP,CM,18-004,45,0,0,0,0,0,0,0,0,44,8,1,0,2,0.0,0.0,0.0,1,0,37,39,94.9,0,38,4,1,1
7,Sergio Busquets,5.0,es  ESP,CM,32-136,45,0,0,0,0,0,0,0,0,48,6,0,2,0,0.0,0.0,0.0,0,0,43,46,93.5,0,38,0,0,0
8,Frenkie de Jong,21.0,nl  NED,"DM,CB",23-201,90,0,0,0,0,1,0,0,0,110,6,0,1,1,0.4,0.4,0.1,4,0,96,104,92.3,5,91,4,1,1
9,Jordi Alba,18.0,es  ESP,LB,31-253,90,0,0,0,0,0,0,0,0,119,3,2,1,3,0.0,0.0,0.5,5,0,92,111,82.9,4,96,14,0,0
10,Clément Lenglet,15.0,fr  FRA,CB,25-165,66,0,0,0,0,0,0,0,0,72,7,2,0,2,0.0,0.0,0.0,0,0,62,67,92.5,0,55,2,0,0
11,Carles Aleñá,6.0,es  ESP,CM,22-329,24,0,0,0,0,0,0,0,0,32,3,0,0,0,0.0,0.0,0.0,0,0,29,30,96.7,5,30,1,0,1
12,Óscar Mingueza,28.0,es  ESP,CB,21-200,90,0,0,0,0,0,0,0,0,87,7,2,2,1,0.0,0.0,0.0,0,0,69,78,88.5,2,71,3,0,0
13,Sergiño Dest,2.0,us  USA,RB,20-026,60,0,0,0,0,0,0,0,0,59,11,2,1,2,0.0,0.0,0.0,2,0,47,51,92.2,1,45,7,0,0
14,Junior Firpo,24.0,es  ESP,RB,24-099,30,0,0,0,0,0,0,0,0,32,2,0,0,0,0.0,0.0,0.0,0,0,29,29,100.0,1,23,0,1,1
15,Marc-André ter Stegen,1.0,de  GER,GK,28-213,90,0,0,0,0,0,0,0,0,44,0,0,0,0,0.0,0.0,0.0,2,0,40,42,95.2,0,31,0,0,0
16,16 Players,,,,,990,4,2,0,0,20,10,1,0,948,88,12,11,11,3.9,3.9,2.6,31,4,766,852,89.9,45,782,66,9,15
