,Player,#,Nation,Pos,Age,Min,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs_Performance,Int_Performance,TklW_Performance,PKwon_Performance,PKcon_Performance,OG_Performance,Recov_Performance,Won_Aerial Duels,Lost_Aerial Duels,Won%_Aerial Duels
0,Ante Budimir,17.0,hr  CRO,FW,29-130,73,0,0,0,0,2,0,2,0,2,0,0,0,3,4,2,66.7
1,Enric Gallego,19.0,es  ESP,FW,34-078,17,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,50.0
2,Rubén García,14.0,es  ESP,FW,27-138,73,0,0,0,2,1,0,2,0,0,0,0,0,4,0,1,0.0
3,Kike Barja,11.0,es  ESP,FW,23-242,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Jony,7.0,es  ESP,LM,29-143,22,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,
5,Juan Cruz Armada,3.0,es  ESP,LM,28-124,68,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,100.0
6,Iñigo Pérez,21.0,es  ESP,CM,32-316,62,0,0,0,1,0,0,2,1,2,0,0,0,6,0,0,
7,Roberto Torres,10.0,es  ESP,CM,31-267,28,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,
8,Oier Sanjurjo,6.0,es  ESP,CM,34-188,63,0,0,0,3,0,1,0,1,1,0,0,0,11,2,2,50.0
9,Darko Brašanac,8.0,rs  SRB,CM,28-291,27,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,100.0
10,Jon Moncayola,27.0,es  ESP,RM,22-200,90,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,
11,Facundo Roncaglia,12.0,ar  ARG,LB,33-293,90,0,0,0,1,1,0,1,1,0,0,0,0,4,0,0,
12,Raúl Navas,22.0,es  ESP,CB,32-202,90,0,0,0,1,0,0,0,3,2,0,0,0,9,0,0,
13,Unai García,4.0,es  ESP,CB,28-300,90,0,0,0,1,0,0,2,0,0,0,0,0,9,1,0,100.0
14,Nacho Vidal,2.0,es  ESP,RB,25-310,90,0,0,0,1,1,0,2,1,1,0,0,0,6,1,1,50.0
15,Sergio Herrera,1.0,es  ESP,GK,27-177,90,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
16,16 Players,,,,,990,0,0,0,14,7,2,18,7,9,0,0,0,78,11,7,61.1
